"type","username","useraddress","userid","timestamp","roomname","content"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:03:41","jeopardy101","join"
"presence","Chas","undefined:undefined","1","2021-03-29 21:09:12","jeopardy62556","join"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:09:13","jeopardy62556","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:09:15","jeopardy62556","https://i.imgur.com/95bdk6j.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:09:19","jeopardy62556","Hello! I'm Alice. Take a minute to introduce yourselves. Go ahead and chat a little more if you have extra time. :-)"
"presence","Chas","undefined:undefined","1","2021-03-29 21:09:20","jeopardy62556","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:09:59","jeopardy62556","Welcome to WGU Academy. :-) Courses in WGU Academy are entirely self-paced. YOU study on your own, and YOU decide when you're ready to tackle assessments. That's the beauty of competency-based education!"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:10:15","jeopardy62556","https://i.imgur.com/1Rlzdsn.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:10:19","jeopardy62556","Now, let's play a game inspired by Jeopardy! You will have 7 minutes to play. "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:10:25","jeopardy62556","Okay! Let's begin."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:10:33","jeopardy62556","In this game, you will be prompted with a clue that represents an answer. Your job is to give the corresponding question! For example, upon picking a category and point value, you will receive something like this: 'This university is the largest fully-online nonprofit university in the country.'"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:10:38","jeopardy62556","Then... You will answer with the question! In this case, it should be: 'What is WGU?', or you may simply type: 'WGU'. Please alternate turns to give everyone an equal chance to play. Only the person who asks for the question will be given points for an answer."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:11:05","jeopardy62556","https://i.imgur.com/QaHL22C.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:11:11","jeopardy62556","Whoever has the name that comes first in the alphabet... You're first! Please type in the chat a category using the format: category + value. For example, type: 'English Composition for 100' into the chat box. Your time for this activity starts now!"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:21:18","jeopardy101","join"
"presence","Rae","undefined:undefined","2","2021-03-29 21:21:28","jeopardy101","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:21:29","jeopardy101","https://i.imgur.com/95bdk6j.png"
"presence","Chas","undefined:undefined","1","2021-03-29 21:21:31","jeopardy101","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:21:33","jeopardy101","Hello! I'm Alice. Take a minute to introduce yourselves. Go ahead and chat a little more if you have extra time. :-)"
"text","Chas","undefined:undefined","1","2021-03-29 21:21:44","jeopardy101","I&#39;m Chas"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:21:45","jeopardy101","Hi, Chas."
"text","Rae","undefined:undefined","2","2021-03-29 21:21:53","jeopardy101","I am Raeann"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:21:55","jeopardy101","Howdy, Raeann!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:22:13","jeopardy101","Welcome to WGU Academy. :-) Courses in WGU Academy are entirely self-paced. YOU study on your own, and YOU decide when you're ready to tackle assessments. That's the beauty of competency-based education!"
"presence","Chas","undefined:undefined","1","2021-03-29 21:22:22","jeopardy101","leave"
"presence","Rae","undefined:undefined","2","2021-03-29 21:22:25","jeopardy101","leave"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:22:27","jeopardy101","https://i.imgur.com/1Rlzdsn.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:22:33","jeopardy101","Now, let's play a game inspired by Jeopardy! You will have 7 minutes to play. "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:22:47","jeopardy101","In this game, you will be prompted with a clue that represents an answer. Your job is to give the corresponding question! For example, upon picking a category and point value, you will receive something like this: 'This university is the largest fully-online nonprofit university in the country.'"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:22:52","jeopardy101","Then... You will answer with the question! In this case, it should be: 'What is WGU?', or you may simply type: 'WGU'. Please alternate turns to give everyone an equal chance to play. Only the person who asks for the question will be given points for an answer."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:23:19","jeopardy101","https://i.imgur.com/QaHL22C.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:23:25","jeopardy101","Whoever has the name that comes first in the alphabet... You're first! Please type in the chat a category using the format: category + value. For example, type: 'English Composition for 100' into the chat box. Your time for this activity starts now!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:30:38","jeopardy101","That's all we have time for! Please share something you learned during this game inspired by Jeopardy!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:31:14","jeopardy101","Great job! I hope you both enjoyed that as much as I did. Nothing like a little friendly competition! ;-)"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:31:24","jeopardy101","https://i.imgur.com/ghKvx84.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:31:28","jeopardy101","In your English Composition class, each of your assignments is one piece of a larger funnel that leads into your goal of graduating from Academy and ultimately enrolling at WGU. All of your assignments are required to complete this course, and this course is required to complete WGU Academy. Upon completion of WGU Academy, you are guaranteed admission to WGU!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:31:33","jeopardy101","With that being said, it is crucial to keep up with your assignments and set short-term goals to work towards your larger long-term career goals."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:31:56","jeopardy101","Completing your English assignments in a timely manner and working toward completing each portion of your funnel will set you up for success. \
"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:10","jeopardy101","https://i.imgur.com/G7vtzE8.png"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:12","jeopardy101","https://i.imgur.com/dWLUrxv.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:14","jeopardy101","At WGU Academy, we like to set SMARTER goals. 'SMARTER' stands for: Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:19","jeopardy101","By making SMARTER goals, we are setting ourselves up for success to complete our funnel. For example, instead of saying 'I will do well in my English course,' try setting a SMARTER goal such as 'I will complete my Personal Narrative assignment in 1 week by setting aside one hour each evening to work on it. Along the way, I will evaluate my progress, and when I finish, I will celebrate with my family!'"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:48","jeopardy101","https://i.imgur.com/l97GY5t.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:32:52","jeopardy101","Take 30 seconds to share what your next assignment is in your English Composition class. "
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:33:26","jeopardy101","https://i.imgur.com/cRq4QUF.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:33:28","jeopardy101","Now, take 3 minutes to take turns sharing SMARTER goals for completing your next assignment. Make sure they follow the acronym of Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward! If you are not sure if your goals follow the SMARTER template, ask your partner! "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:36:42","jeopardy101","Take 30 seconds to assess each other's goals. Do each of the goals follow the SMARTER steps? How can your goals be improved? How can you help each other with your goals? "
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:37:22","jeopardy101","https://i.imgur.com/gWrycCA.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:37:28","jeopardy101","If you'd like, please share your email address, social media, or phone number with each other to keep in contact after this activity. Your personal information will not be used in any way outside of this conversation. Remember to stick around to fill out the Google Form."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:38:06","jeopardy101","https://i.imgur.com/s0ArPlY.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:38:08","jeopardy101","IMPORTANT: Please copy and paste the following Google Form link into a new window or tab and fill out the form to mark your attendance for this activity. Thank you for your participation!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:38:18","jeopardy101","https://forms.gle/LoH4qHHTG2paKWeA8"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 21:38:20","jeopardy101","For further information about WGU Academy, FAQs, and more, please visit: https://academy.wgu.edu/."
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:21:28","jeopardy101","leave"
"presence","Chas","undefined:undefined","1","2021-03-29 22:32:52","jeopardy62557","join"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:32:53","jeopardy62557","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:32:54","jeopardy62557","https://i.imgur.com/95bdk6j.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:32:58","jeopardy62557","Hello! I'm Alice. Take a minute to introduce yourselves. Go ahead and chat a little more if you have extra time. :-)"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:33:38","jeopardy62557","Welcome to WGU Academy. :-) Courses in WGU Academy are entirely self-paced. YOU study on your own, and YOU decide when you're ready to tackle assessments. That's the beauty of competency-based education!"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:33:54","jeopardy62557","https://i.imgur.com/1Rlzdsn.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:33:58","jeopardy62557","Now, let's play a game inspired by Jeopardy! You will have 7 minutes to play. "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:34:04","jeopardy62557","Okay! Let's begin."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:34:12","jeopardy62557","In this game, you will be prompted with a clue that represents an answer. Your job is to give the corresponding question! For example, upon picking a category and point value, you will receive something like this: 'This university is the largest fully-online nonprofit university in the country.'"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:34:17","jeopardy62557","Then... You will answer with the question! In this case, it should be: 'What is WGU?', or you may simply type: 'WGU'. Please alternate turns to give everyone an equal chance to play. Only the person who asks for the question will be given points for an answer."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:34:44","jeopardy62557","https://i.imgur.com/QaHL22C.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:34:50","jeopardy62557","Whoever has the name that comes first in the alphabet... You're first! Please type in the chat a category using the format: category + value. For example, type: 'English Composition for 100' into the chat box. Your time for this activity starts now!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:42:02","jeopardy62557","That's all we have time for! Please share something you learned during this game inspired by Jeopardy!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:42:38","jeopardy62557","Great job! I hope you both enjoyed that as much as I did. Nothing like a little friendly competition! ;-)"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:42:48","jeopardy62557","https://i.imgur.com/ghKvx84.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:42:52","jeopardy62557","In your English Composition class, each of your assignments is one piece of a larger funnel that leads into your goal of graduating from Academy and ultimately enrolling at WGU. All of your assignments are required to complete this course, and this course is required to complete WGU Academy. Upon completion of WGU Academy, you are guaranteed admission to WGU!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:42:57","jeopardy62557","With that being said, it is crucial to keep up with your assignments and set short-term goals to work towards your larger long-term career goals."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:43:20","jeopardy62557","Completing your English assignments in a timely manner and working toward completing each portion of your funnel will set you up for success. \
"
"presence","Chas","undefined:undefined","1","2021-03-29 22:43:24","jeopardy62557","leave"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:43:36","jeopardy62557","https://i.imgur.com/G7vtzE8.png"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:43:38","jeopardy62557","https://i.imgur.com/dWLUrxv.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:43:40","jeopardy62557","At WGU Academy, we like to set SMARTER goals. 'SMARTER' stands for: Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:43:45","jeopardy62557","By making SMARTER goals, we are setting ourselves up for success to complete our funnel. For example, instead of saying 'I will do well in my English course,' try setting a SMARTER goal such as 'I will complete my Personal Narrative assignment in 1 week by setting aside one hour each evening to work on it. Along the way, I will evaluate my progress, and when I finish, I will celebrate with my family!'"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:44:12","jeopardy62557","https://i.imgur.com/l97GY5t.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:44:16","jeopardy62557","Take 30 seconds to share what your next assignment is in your English Composition class. "
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:44:50","jeopardy62557","https://i.imgur.com/cRq4QUF.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:44:54","jeopardy62557","Now, take 3 minutes to take turns sharing SMARTER goals for completing your next assignment. Make sure they follow the acronym of Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward! If you are not sure if your goals follow the SMARTER template, ask your partner! "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:48:06","jeopardy62557","Take 30 seconds to assess each other's goals. Do each of the goals follow the SMARTER steps? How can your goals be improved? How can you help each other with your goals? "
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:48:47","jeopardy62557","https://i.imgur.com/gWrycCA.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:48:53","jeopardy62557","If you'd like, please share your email address, social media, or phone number with each other to keep in contact after this activity. Your personal information will not be used in any way outside of this conversation. Remember to stick around to fill out the Google Form."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:49:31","jeopardy62557","https://i.imgur.com/s0ArPlY.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:49:33","jeopardy62557","IMPORTANT: Please copy and paste the following Google Form link into a new window or tab and fill out the form to mark your attendance for this activity. Thank you for your participation!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:49:43","jeopardy62557","https://forms.gle/LoH4qHHTG2paKWeA8"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 22:49:45","jeopardy62557","For further information about WGU Academy, FAQs, and more, please visit: https://academy.wgu.edu/."
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-29 23:32:53","jeopardy62557","leave"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:42:00","jeopardy101","join"
"presence","Rae","undefined:undefined","2","2021-03-30 16:42:17","jeopardy101","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:42:17","jeopardy101","https://i.imgur.com/95bdk6j.png"
"presence","Chas","undefined:undefined","1","2021-03-30 16:42:20","jeopardy101","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:42:23","jeopardy101","Hello! I'm Alice. Take a minute to introduce yourselves. Go ahead and chat a little more if you have extra time. :-)"
"text","Chas","undefined:undefined","1","2021-03-30 16:42:28","jeopardy101","I&#39;m chas"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:42:29","jeopardy101","Hello, Chas!"
"text","Rae","undefined:undefined","2","2021-03-30 16:42:36","jeopardy101","I&#39;m Raeann"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:42:37","jeopardy101","Howdy, Raeann!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:03","jeopardy101","Welcome to WGU Academy. :-) Courses in WGU Academy are entirely self-paced. YOU study on your own, and YOU decide when you're ready to tackle assessments. That's the beauty of competency-based education!"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:17","jeopardy101","https://i.imgur.com/1Rlzdsn.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:23","jeopardy101","Now, let's play a game inspired by Jeopardy! You will have 7 minutes to play. "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:29","jeopardy101","Okay! Let's begin."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:37","jeopardy101","In this game, you will be prompted with a clue that represents an answer. Your job is to give the corresponding question! For example, upon picking a category and point value, you will receive something like this: 'This university is the largest fully-online nonprofit university in the country.'"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:43:42","jeopardy101","Then... You will answer with the question! In this case, it should be: 'What is WGU?', or you may simply type: 'WGU'. Please alternate turns to give everyone an equal chance to play. Only the person who asks for the question will be given points for an answer."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:44:09","jeopardy101","https://i.imgur.com/QaHL22C.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:44:13","jeopardy101","Whoever has the name that comes first in the alphabet... You're first! Please type in the chat a category using the format: category + value. For example, type: 'English Composition for 100' into the chat box. Your time for this activity starts now!"
"presence","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:47:40","jeopardy101","join"
"presence","Raeannadanna","undefined:undefined","2","2021-03-30 16:47:58","jeopardy101","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:47:59","jeopardy101","https://i.imgur.com/95bdk6j.png"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:48:01","jeopardy101","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:48:03","jeopardy101","Hello! I'm Alice. Take a minute to introduce yourselves. Go ahead and chat a little more if you have extra time. :-)"
"text","Raeannadanna","undefined:undefined","2","2021-03-30 16:48:13","jeopardy101","I&#39;m Raeriffic"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:48:15","jeopardy101","Hello, Raeriffic!"
"text","Chasmo","undefined:undefined","1","2021-03-30 16:48:20","jeopardy101","I&#39;m Chasmo"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:48:21","jeopardy101","Howdy, Chasmo!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:48:43","jeopardy101","Welcome to WGU Academy. :-) Courses in WGU Academy are entirely self-paced. YOU study on your own, and YOU decide when you're ready to tackle assessments. That's the beauty of competency-based education!"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:48:59","jeopardy101","https://i.imgur.com/1Rlzdsn.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:03","jeopardy101","Now, let's play a game inspired by Jeopardy! You will have 7 minutes to play. "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:09","jeopardy101","Okay! Let's begin."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:17","jeopardy101","In this game, you will be prompted with a clue that represents an answer. Your job is to give the corresponding question! For example, upon picking a category and point value, you will receive something like this: 'This university is the largest fully-online nonprofit university in the country.'"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:22","jeopardy101","Then... You will answer with the question! In this case, it should be: 'What is WGU?', or you may simply type: 'WGU'. Please alternate turns to give everyone an equal chance to play. Only the person who asks for the question will be given points for an answer."
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:49","jeopardy101","https://i.imgur.com/QaHL22C.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:49:55","jeopardy101","Whoever has the name that comes first in the alphabet... You're first! Please type in the chat a category using the format: category + value. For example, type: 'English Composition for 100' into the chat box. Your time for this activity starts now!"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:53:12","jeopardy101","leave"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:53:17","jeopardy101","join"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:54:12","jeopardy101","leave"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:54:14","jeopardy101","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:54:17","jeopardy101","I can't do this on my own :-)"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:55:09","jeopardy101","leave"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:55:13","jeopardy101","join"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:56:08","jeopardy101","leave"
"presence","Chasmo","undefined:undefined","1","2021-03-30 16:56:13","jeopardy101","join"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:57:07","jeopardy101","That's all we have time for! Please share something you learned during this game inspired by Jeopardy!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:57:17","jeopardy101","Let's stick to this."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:57:43","jeopardy101","Great job! I hope you both enjoyed that as much as I did. Nothing like a little friendly competition! ;-)"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:57:53","jeopardy101","https://i.imgur.com/ghKvx84.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:57:57","jeopardy101","In your English Composition class, each of your assignments is one piece of a larger funnel that leads into your goal of graduating from Academy and ultimately enrolling at WGU. All of your assignments are required to complete this course, and this course is required to complete WGU Academy. Upon completion of WGU Academy, you are guaranteed admission to WGU!"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:02","jeopardy101","With that being said, it is crucial to keep up with your assignments and set short-term goals to work towards your larger long-term career goals."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:25","jeopardy101","Completing your English assignments in a timely manner and working toward completing each portion of your funnel will set you up for success. \
"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:41","jeopardy101","https://i.imgur.com/G7vtzE8.png"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:43","jeopardy101","https://i.imgur.com/dWLUrxv.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:45","jeopardy101","At WGU Academy, we like to set SMARTER goals. 'SMARTER' stands for: Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward."
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:58:50","jeopardy101","By making SMARTER goals, we are setting ourselves up for success to complete our funnel. For example, instead of saying 'I will do well in my English course,' try setting a SMARTER goal such as 'I will complete my Personal Narrative assignment in 1 week by setting aside one hour each evening to work on it. Along the way, I will evaluate my progress, and when I finish, I will celebrate with my family!'"
"presence","Raeannadanna","undefined:undefined","2","2021-03-30 16:58:52","jeopardy101","leave"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:59:17","jeopardy101","https://i.imgur.com/l97GY5t.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:59:21","jeopardy101","Take 30 seconds to share what your next assignment is in your English Composition class. "
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:59:55","jeopardy101","https://i.imgur.com/cRq4QUF.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 16:59:59","jeopardy101","Now, take 3 minutes to take turns sharing SMARTER goals for completing your next assignment. Make sure they follow the acronym of Specific, Measurable, Actionable, Relevant, Time-Bound, Evaluate, and Reward! If you are not sure if your goals follow the SMARTER template, ask your partner! "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:03:11","jeopardy101","Take 30 seconds to assess each other's goals. Do each of the goals follow the SMARTER steps? How can your goals be improved? How can you help each other with your goals? "
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:03:21","jeopardy101","I can't do this on my own :-)"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:03:51","jeopardy101","https://i.imgur.com/gWrycCA.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:03:57","jeopardy101","If you'd like, please share your email address, social media, or phone number with each other to keep in contact after this activity. Your personal information will not be used in any way outside of this conversation. Remember to stick around to fill out the Google Form."
"presence","Chasmo","undefined:undefined","1","2021-03-30 17:04:00","jeopardy101","leave"
"presence","Chasmo","undefined:undefined","1","2021-03-30 17:04:02","jeopardy101","join"
"image","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:04:35","jeopardy101","https://i.imgur.com/s0ArPlY.png"
"text","Alice the Alpaca","undefined:undefined",\N,"2021-03-30 17:04:37","jeopardy101","IMPORTANT: Please copy and paste the following Google Form link into a new window or tab and fill out the form to mark your attendance for this activity. Thank you for your participation!"
