quality,similarity,unique words,length ratio
1,0.727007,4,0.000000
0,0.752750,2,0.250000
1,0.895080,13,0.272727
0,0.829826,12,0.222222
1,0.763945,5,0.214286
1,0.771364,8,0.304348
0,0.677795,8,0.250000
1,0.900515,15,0.041667
0,0.659583,4,0.222222
0,0.764720,9,0.280000
1,0.933747,16,0.185185
0,0.650367,4,0.333333
1,0.841275,13,0.125000
1,0.715997,4,0.307692
1,0.770533,8,0.125000
1,0.881164,14,0.181818
1,0.795766,6,0.153846
1,0.887760,16,0.142857
0,0.662577,4,0.125000
1,0.821508,7,0.166667
1,0.871413,16,0.083333
1,0.762498,8,0.210526
1,0.776176,10,0.307692
1,0.874538,16,0.166667
0,0.770702,5,0.058824
0,0.693259,6,0.153846
1,0.940836,17,0.000000
1,0.852956,13,0.250000
0,0.807441,12,0.263158
0,0.653145,7,0.200000
0,0.737291,6,0.214286
0,0.773915,10,0.000000
1,0.779080,12,0.250000
1,0.775870,11,0.100000
0,0.828374,12,0.352941
1,0.820407,12,0.200000
1,0.710633,8,0.055556
1,0.861346,10,0.312500
1,0.721817,9,0.142857
1,0.916056,20,0.172414
1,0.978098,15,0.050000
0,0.776163,7,0.076923
1,0.881700,13,0.235294
0,0.795090,15,0.160000
1,0.863491,16,0.222222
0,0.816608,7,0.545455
0,0.678566,2,0.300000
1,0.872425,9,0.153846
0,0.739035,7,0.176471
1,0.710406,7,0.083333
1,0.783861,7,0.214286
1,0.674981,4,0.428571
1,0.914147,14,0.187500
1,0.813463,16,0.040000
1,0.949687,13,0.105263
1,0.828276,7,0.181818
1,0.843746,13,0.130435
1,0.831957,13,0.047619
1,0.924194,22,0.137931
0,0.706160,11,0.105263
1,0.874628,16,0.041667
1,0.904862,13,0.117647
1,0.717699,5,0.333333
1,0.720854,11,0.130435
1,0.719791,5,0.230769
0,0.691495,8,0.055556
0,0.761021,9,0.294118
1,0.872788,11,0.058824
1,0.853224,17,0.111111
1,0.850553,11,0.461538
1,0.876011,14,0.052632
0,0.700739,7,0.117647
1,0.803290,11,0.117647
1,0.831207,9,0.266667
1,0.960592,7,0.000000
1,0.990182,21,0.035714
1,0.873756,16,0.086957
0,0.886172,16,0.500000
1,0.792109,13,0.166667
1,0.875667,13,0.263158
0,0.819005,13,0.304348
1,0.836358,14,0.052632
1,0.874872,19,0.142857
1,0.899985,21,0.037037
1,0.707152,6,0.153846
1,0.863736,13,0.095238
0,0.713055,11,0.035714
0,0.831168,15,0.083333
0,0.696891,9,0.105263
1,0.884797,12,0.437500
0,0.634208,1,0.000000
1,0.655985,5,0.166667
1,0.827073,11,0.375000
0,0.651478,5,0.222222
0,0.741582,6,0.125000
0,0.803656,7,0.200000
1,0.753152,8,0.176471
1,0.894036,18,0.217391
1,0.790642,6,0.454545
0,0.841296,12,0.157895
0,0.877741,16,0.450000
0,0.749995,12,0.037037
1,0.870463,18,0.038462
0,0.808627,9,0.347826
0,0.803284,9,0.333333
1,0.925165,18,0.148148
1,0.917797,18,0.181818
0,0.695499,5,0.133333
1,0.773014,11,0.095238
0,0.734478,6,0.214286
1,0.902725,17,0.074074
1,0.866110,18,0.285714
0,0.683168,6,0.166667
0,0.825250,15,0.166667
1,0.820896,8,0.062500
1,0.905726,12,0.277778
1,0.823632,12,0.266667
0,0.796938,9,0.235294
0,0.754063,10,0.217391
1,0.769319,7,0.400000
1,0.799474,5,0.400000
0,0.646252,4,0.000000
1,0.891721,14,0.000000
0,0.734868,6,0.153846
1,0.913650,15,0.214286
1,0.684797,6,0.058824
0,0.721467,8,0.238095
1,0.666593,3,0.000000
0,0.840733,15,0.240000
1,0.885359,11,0.227273
1,0.891843,9,0.312500
1,0.763762,11,0.052632
1,0.834711,11,0.181818
1,0.809295,10,0.318182
0,0.647224,6,0.071429
1,0.836962,17,0.133333
0,0.908182,14,0.470588
1,0.743792,4,0.555556
1,0.883175,14,0.000000
1,0.590686,5,0.071429
0,0.705749,8,0.357143
0,0.843020,9,0.454545
0,0.698815,8,0.357143
1,0.930044,16,0.000000
1,0.759007,5,0.285714
1,0.679274,7,0.277778
1,0.927909,3,0.375000
0,0.764809,9,0.125000
1,0.665000,7,0.076923
0,0.852284,19,0.172414
1,0.890286,15,0.100000
0,0.746670,4,0.000000
0,0.836369,13,0.388889
1,0.937918,20,0.148148
0,0.777821,8,0.105263
1,0.738856,2,0.333333
1,0.841264,12,0.200000
0,0.665738,5,0.071429
1,0.944944,21,0.037037
1,0.907312,17,0.037037
1,0.645637,2,0.272727
1,0.939597,21,0.076923
0,0.664815,7,0.117647
1,0.817961,14,0.095238
0,0.877732,10,0.352941
0,0.677336,7,0.250000
0,0.695430,4,0.307692
1,0.699148,11,0.200000
1,0.865213,16,0.307692
1,0.894550,16,0.040000
1,0.890214,15,0.260870
1,0.783434,5,0.333333
1,0.922097,21,0.111111
1,0.786508,8,0.333333
1,0.775416,9,0.000000
1,0.768875,12,0.045455
1,0.835302,7,0.176471
0,0.690750,4,0.272727
0,0.839150,15,0.208333
0,0.829934,16,0.250000
0,0.825328,8,0.181818
1,0.788309,11,0.500000
1,0.877728,14,0.050000
1,0.948005,13,0.050000
0,0.619786,3,0.250000
1,0.802743,10,0.222222
0,0.708805,5,0.066667
0,0.699978,6,0.222222
0,0.780200,12,0.000000
1,0.800510,12,0.142857
1,0.746502,5,0.230769
1,0.777255,6,0.062500
1,0.929479,22,0.000000
1,0.913927,17,0.272727
0,0.874838,13,0.428571
1,0.935191,14,0.000000
1,0.806005,10,0.043478
1,0.787522,10,0.058824
0,0.575117,4,0.230769
1,0.924174,16,0.045455
0,0.707673,7,0.125000
0,0.731849,7,0.000000
0,0.693839,4,0.307692
0,0.694195,5,0.181818
1,0.734403,8,0.250000
1,0.900088,13,0.052632
1,0.891094,17,0.296296
1,0.762563,9,0.111111
1,0.867710,7,0.187500
0,0.758508,6,0.250000
0,0.686179,6,0.187500
1,0.759706,8,0.000000
1,0.782736,11,0.411765
1,0.870385,16,0.038462
1,0.864137,8,0.000000
0,0.705565,5,0.176471
1,0.881279,15,0.130435
1,0.824634,15,0.181818
0,0.798704,6,0.166667
1,0.814377,10,0.375000
1,0.801320,6,0.625000
1,0.850788,12,0.320000
1,0.818598,11,0.000000
1,0.757478,6,0.222222
1,0.821972,14,0.250000
0,0.678528,6,0.263158
1,0.880832,12,0.000000
1,0.766593,7,0.076923
1,0.880942,16,0.045455
1,0.678152,6,0.230769
1,0.891447,19,0.038462
1,0.907958,16,0.000000
0,0.645122,5,0.285714
1,0.866644,13,0.105263
1,0.876834,16,0.115385
1,0.916492,16,0.136364
1,0.700989,7,0.272727
1,0.737684,3,0.300000
1,0.884982,12,0.062500
1,0.840338,11,0.000000
0,0.740470,7,0.304348
0,0.725078,3,0.214286
0,0.725668,5,0.066667
1,0.865243,17,0.217391
0,0.851480,15,0.038462
1,0.732718,6,0.285714
1,0.871431,16,0.444444
1,0.858377,6,0.076923
0,0.782883,6,0.153846
1,0.779596,10,0.000000
1,0.911397,18,0.380952
0,0.645126,4,0.100000
1,0.872213,17,0.388889
1,0.879593,13,0.000000
1,0.846168,12,0.421053
1,0.854289,20,0.040000
1,0.928406,15,0.181818
0,0.779650,13,0.000000
1,0.866306,8,0.125000
1,0.737129,5,0.181818
0,0.915590,14,0.153846
1,0.828626,11,0.461538
0,0.868565,14,0.000000
1,0.697020,7,0.285714
1,0.838565,10,0.500000
0,0.917771,15,0.529412
1,0.903956,21,0.115385
0,0.751675,8,0.333333
0,0.669371,3,0.583333
0,0.780029,12,0.588235
0,0.908335,15,0.562500
1,0.836377,16,0.190476
0,0.864147,13,0.120000
1,0.709850,4,0.315789
1,0.856109,16,0.222222
1,0.827828,14,0.142857
1,0.805837,11,0.181818
0,0.652356,7,0.375000
1,0.780963,5,0.083333
0,0.737423,2,0.315789
0,0.788538,7,0.294118
0,0.798543,10,0.210526
1,0.736259,11,0.352941
0,0.870808,14,0.172414
1,0.856498,15,0.222222
1,0.865192,14,0.125000
1,0.843363,10,0.200000
1,0.741629,9,0.200000
0,0.749346,12,0.142857
0,0.801144,8,0.157895
1,0.785548,11,0.043478
0,0.858216,12,0.500000
0,0.686179,6,0.187500
0,0.716506,4,0.333333
1,0.911642,9,0.416667
1,0.765367,7,0.052632
1,0.752141,10,0.000000
1,0.848996,15,0.307692
0,0.650224,1,0.428571
1,0.919964,10,0.111111
0,0.759018,10,0.428571
1,0.863976,16,0.125000
1,0.912253,10,0.066667
1,0.833818,11,0.250000
0,0.613080,2,0.090909
0,0.697450,13,0.111111
1,0.858375,16,0.090909
1,0.847698,13,0.304348
1,0.918042,9,0.000000
1,0.893028,17,0.160000
1,0.980173,6,0.272727
0,0.661392,4,0.200000
1,0.795580,13,0.210526
1,0.737678,9,0.058824
1,0.804736,5,0.066667
1,0.712035,4,0.076923
1,0.890528,23,0.000000
1,0.698281,6,0.400000
0,0.776926,10,0.500000
0,0.710762,12,0.000000
1,0.799636,9,0.058824
1,0.877890,12,0.444444
1,0.687365,5,0.166667
1,0.782331,7,0.214286
1,0.693795,9,0.000000
1,0.789738,12,0.045455
1,0.839338,5,0.090909
1,0.726615,9,0.055556
0,0.674313,8,0.125000
0,0.831183,9,0.294118
1,0.889287,10,0.266667
1,0.787206,11,0.037037
1,0.838671,12,0.250000
1,0.863193,13,0.055556
1,0.795002,8,0.000000
1,0.879382,11,0.111111
1,0.897052,15,0.227273
0,0.611207,4,0.083333
0,0.896161,19,0.275862
0,0.736378,6,0.312500
1,0.869670,16,0.388889
0,0.826086,5,0.214286
1,0.903877,19,0.214286
1,0.909941,18,0.400000
1,0.898027,18,0.166667
1,0.970095,18,0.250000
1,0.923866,18,0.045455
1,0.778984,7,0.454545
1,0.907917,19,0.076923
1,0.894513,16,0.230769
1,0.794413,8,0.200000
1,0.925863,12,0.000000
0,0.641985,7,0.214286
0,0.636501,7,0.285714
0,0.761551,8,0.250000
1,0.797666,8,0.363636
1,0.868483,11,0.095238
1,0.840840,4,0.000000
1,0.834910,11,0.437500
1,0.918049,16,0.235294
1,0.844791,15,0.038462
1,0.857799,5,0.000000
1,0.856356,16,0.040000
0,0.753839,7,0.000000
1,0.800398,8,0.384615
1,0.868593,18,0.076923
1,0.656462,4,0.250000
1,0.846259,9,0.294118
1,0.661640,4,0.200000
1,0.807229,14,0.136364
1,0.742242,7,0.166667
0,0.758702,13,0.230769
1,0.902374,19,0.238095
1,0.812289,9,0.388889
1,0.932483,14,0.105263
1,0.824927,8,0.230769
0,0.885077,14,0.444444
0,0.832497,13,0.125000
0,0.650307,4,0.333333
1,0.907305,19,0.000000
1,0.697893,6,0.363636
1,0.856410,15,0.250000
1,0.943248,17,0.157895
0,0.797823,9,0.230769
1,0.781234,5,0.363636
1,0.841374,16,0.280000
1,0.923918,19,0.166667
1,0.865595,14,0.047619
1,0.959339,15,0.142857
1,0.689421,8,0.238095
1,0.846829,12,0.157895
1,0.875219,15,0.294118
1,0.861101,12,0.181818
0,0.716667,8,0.153846
1,0.884090,13,0.120000
1,0.793476,9,0.333333
1,0.894850,21,0.100000
0,0.596923,5,0.083333
1,0.786328,12,0.095238
1,0.876892,18,0.086957
1,0.833507,11,0.000000
1,0.827825,11,0.166667
1,0.852919,8,0.153846
1,0.893648,9,0.142857
1,0.582771,4,0.153846
1,0.856905,8,0.214286
1,0.789728,8,0.095238
0,0.736970,11,0.259259
1,0.839500,12,0.166667
1,0.817454,17,0.074074
1,0.912887,9,0.105263
0,0.760973,7,0.133333
1,0.937535,12,0.000000
1,0.946495,21,0.107143
1,0.892169,13,0.055556
1,0.788598,9,0.050000
0,0.887711,16,0.275862
1,0.888476,15,0.050000
1,0.888710,17,0.043478
0,0.716612,6,0.214286
1,0.804278,6,0.166667
0,0.781309,11,0.210526
0,0.865652,14,0.315789
1,0.920224,18,0.272727
1,0.944989,18,0.230769
0,0.711323,8,0.176471
1,0.880432,18,0.000000
1,0.880031,17,0.190476
1,0.811635,10,0.388889
1,0.624342,6,0.058824
0,0.847615,11,0.315789
1,0.906292,16,0.200000
1,0.803504,9,0.187500
1,0.834029,13,0.227273
1,0.679532,11,0.277778
1,0.897893,14,0.000000
1,0.911616,19,0.043478
1,0.905175,17,0.074074
1,0.833348,16,0.368421
0,0.725924,5,0.076923
1,0.845892,6,0.076923
1,0.923035,20,0.037037
1,0.771288,11,0.055556
1,0.819864,11,0.055556
1,0.918447,16,0.040000
1,0.728175,5,0.555556
0,0.772670,6,0.291667
1,0.846554,10,0.000000
1,0.822459,8,0.312500
1,0.853730,13,0.000000
0,0.816333,10,0.346154
0,0.679582,9,0.200000
1,0.680867,4,0.000000
0,0.784115,11,0.000000
1,0.817692,6,0.066667
1,0.860490,8,0.294118
1,0.705154,6,0.111111
1,0.785550,9,0.142857
1,0.904227,14,0.173913
1,0.784909,6,0.285714
0,0.779192,7,0.000000
0,0.747681,9,0.250000
0,0.802789,10,0.105263
0,0.759920,11,0.300000
1,0.759853,8,0.357143
1,0.830613,16,0.000000
1,0.866720,12,0.090909
0,0.757751,5,0.300000
1,0.821238,14,0.076923
0,0.848204,13,0.136364
1,0.828831,9,0.052632
1,0.747945,9,0.187500
1,0.813995,15,0.130435
1,0.799510,9,0.058824
0,0.918012,13,0.375000
0,0.873290,16,0.272727
1,0.788855,11,0.045455
0,0.807171,14,0.421053
1,0.844974,17,0.181818
1,0.726618,7,0.071429
1,0.904181,19,0.035714
0,0.658269,8,0.058824
0,0.730879,6,0.285714
1,0.816878,11,0.107143
1,0.957415,19,0.130435
1,0.915265,18,0.173913
1,0.711821,7,0.157895
1,0.908759,16,0.227273
1,0.756330,7,0.200000
1,0.898831,10,0.454545
0,0.750558,6,0.315789
1,0.738084,8,0.125000
0,0.884613,19,0.033333
1,0.948635,19,0.086957
0,0.759103,9,0.000000
1,0.829300,14,0.120000
1,0.908805,14,0.304348
1,0.857821,10,0.222222
1,0.715252,6,0.083333
0,0.771742,5,0.200000
1,0.950444,14,0.095238
1,0.962071,12,0.058824
1,0.978242,16,0.111111
1,0.677890,5,0.181818
1,0.883844,14,0.000000
0,0.769180,16,0.071429
0,0.696280,4,0.272727
0,0.633665,6,0.142857
1,0.860602,9,0.000000
1,0.717022,4,0.100000
0,0.877889,13,0.047619
1,0.877809,17,0.038462
1,0.794168,12,0.208333
1,0.846093,13,0.280000
1,0.876739,10,0.117647
1,0.888759,14,0.100000
1,0.820012,11,0.400000
1,0.736814,7,0.181818
1,0.894383,21,0.040000
1,0.605667,4,0.000000
0,0.709361,8,0.235294
0,0.797581,8,0.285714
1,0.853851,11,0.260870
1,0.819629,12,0.047619
1,0.582876,2,0.000000
0,0.827610,9,0.200000
1,0.885721,16,0.263158
1,0.714323,8,0.375000
1,0.909312,20,0.080000
1,0.867052,16,0.035714
0,0.739061,8,0.058824
1,0.912168,16,0.047619
1,0.732744,10,0.050000
1,0.852587,17,0.136364
0,0.910799,7,0.230769
1,0.878309,10,0.117647
0,0.707511,3,0.214286
1,0.787800,5,0.200000
0,0.601636,4,0.090909
1,0.763501,8,0.062500
1,0.859119,16,0.120000
0,0.829709,15,0.150000
1,0.870282,15,0.411765
0,0.639759,3,0.285714
1,0.734554,7,0.071429
1,0.907267,11,0.000000
0,0.720940,4,0.200000
0,0.846611,11,0.263158
1,0.934336,21,0.068966
0,0.832111,9,0.545455
1,0.788771,12,0.214286
0,0.843370,12,0.055556
1,0.947344,20,0.000000
1,0.921087,9,0.062500
1,0.875939,11,0.357143
0,0.740612,3,0.000000
1,0.887130,14,0.000000
1,0.832897,14,0.100000
1,0.777607,6,0.133333
1,0.805953,16,0.086957
1,0.949209,17,0.037037
0,0.762515,10,0.176471
0,0.710974,5,0.200000
1,0.858208,13,0.080000
1,0.897892,19,0.111111
0,0.758089,4,0.000000
1,0.861230,12,0.250000
1,0.810956,9,0.200000
1,0.931697,20,0.068966
1,0.880949,13,0.333333
1,0.901904,13,0.210526
1,0.870262,7,0.461538
1,0.926055,18,0.080000
1,0.813214,11,0.266667
1,0.703512,5,0.266667
1,0.866897,14,0.222222
1,0.730618,7,0.062500
1,0.785309,7,0.250000
0,0.688303,4,0.076923
1,0.856709,15,0.041667
0,0.758283,5,0.187500
0,0.756296,6,0.125000
1,0.722408,9,0.235294
1,0.823387,8,0.333333
1,0.856487,14,0.230769
0,0.718902,6,0.214286
1,0.816246,14,0.153846
1,0.871759,17,0.040000
0,0.753704,7,0.117647
1,0.926997,8,0.062500
0,0.805690,11,0.080000
1,0.898597,13,0.125000
1,0.943039,18,0.074074
1,0.649907,5,0.285714
1,0.939802,17,0.285714
0,0.906091,12,0.333333
1,0.691984,5,0.166667
0,0.627220,4,0.200000
1,0.748170,13,0.192308
1,0.845845,14,0.173913
0,0.746088,4,0.083333
1,0.677303,3,0.222222
1,0.930940,21,0.000000
1,0.817411,14,0.222222
0,0.671953,6,0.222222
0,0.805422,9,0.500000
0,0.812657,10,0.105263
0,0.700054,5,0.000000
0,0.695587,7,0.333333
1,0.706861,4,0.600000
1,0.919767,11,0.250000
0,0.733225,6,0.214286
1,0.828505,13,0.200000
1,0.628808,5,0.000000
1,0.857135,12,0.294118
1,0.971730,22,0.120000
0,0.738560,4,0.333333
1,0.835353,10,0.217391
0,0.831337,11,0.227273
0,0.780031,12,0.185185
0,0.844677,16,0.217391
1,0.870797,7,0.000000
1,0.881794,12,0.333333
0,0.695659,3,0.083333
0,0.810220,5,0.062500
1,0.912667,14,0.047619
1,0.884206,17,0.142857
0,0.699338,6,0.133333
0,0.745780,6,0.117647
1,0.931019,19,0.076923
0,0.782150,13,0.086957
0,0.817588,13,0.190476
1,0.844264,9,0.470588
1,0.894721,18,0.148148
1,0.932763,20,0.080000
0,0.762526,10,0.269231
0,0.839898,11,0.238095
1,0.885710,16,0.090909
0,0.730648,13,0.214286
1,0.828224,14,0.040000
1,0.826501,13,0.181818
1,0.696683,3,0.100000
0,0.826470,7,0.300000
1,0.861419,17,0.142857
1,0.881814,12,0.428571
1,0.926400,16,0.000000
0,0.623851,5,0.333333
1,0.823419,12,0.000000
1,0.962343,4,0.250000
1,0.877163,8,0.076923
1,0.884659,9,0.200000
1,0.816460,8,0.000000
1,0.794809,6,0.066667
1,0.752329,10,0.095238
1,0.826971,14,0.095238
1,0.961603,17,0.160000
1,0.738093,8,0.312500
1,0.916376,11,0.000000
0,0.884779,11,0.400000
1,0.870227,4,0.500000
1,0.738875,8,0.363636
1,0.763596,6,0.066667
0,0.790469,12,0.444444
1,0.709722,4,0.333333
1,0.906641,16,0.260870
1,0.819587,9,0.000000
1,0.835304,16,0.263158
1,0.917449,13,0.227273
1,0.864885,14,0.166667
1,0.655865,7,0.142857
1,0.774970,7,0.062500
1,0.886574,18,0.040000
1,0.789619,14,0.300000
1,0.761887,10,0.222222
1,0.898307,18,0.285714
1,0.798328,14,0.153846
1,0.791843,10,0.294118
1,0.858085,8,0.071429
1,0.805526,11,0.176471
1,0.866007,16,0.086957
1,0.699269,9,0.461538
1,0.852303,13,0.160000
1,0.615699,4,0.363636
1,0.822119,6,0.214286
1,0.845713,12,0.375000
1,0.864171,14,0.320000
1,0.936089,10,0.250000
1,0.719874,5,0.210526
1,0.914018,10,0.055556
1,0.877711,16,0.368421
1,0.846565,7,0.083333
0,0.739227,5,0.235294
1,0.852478,16,0.190476
0,0.751668,13,0.040000
1,0.837559,15,0.250000
1,0.912980,12,0.187500
0,0.793674,9,0.166667
0,0.810616,5,0.333333
1,0.866519,18,0.000000
1,0.932434,14,0.117647
0,0.760477,9,0.200000
1,0.894737,18,0.178571
1,0.884456,15,0.190476
1,0.933041,11,0.111111
1,0.758166,8,0.312500
0,0.802139,10,0.058824
1,0.683306,4,0.214286
1,0.716037,9,0.157895
1,0.912958,18,0.083333
0,0.697090,6,0.166667
0,0.736418,5,0.062500
0,0.808573,11,0.285714
0,0.829607,9,0.142857
0,0.716767,7,0.538462
0,0.820585,11,0.300000
1,0.978372,20,0.000000
1,0.750477,5,0.600000
0,0.642110,4,0.384615
1,0.696517,5,0.176471
1,0.898799,17,0.238095
0,0.791775,6,0.000000
1,0.734660,6,0.000000
0,0.624937,5,0.230769
1,0.865916,11,0.136364
1,0.825190,14,0.045455
0,0.856599,7,0.214286
1,0.823657,11,0.086957
0,0.806801,10,0.333333
1,0.754056,15,0.133333
0,0.704548,10,0.178571
0,0.833690,16,0.238095
0,0.815219,5,0.571429
1,0.772328,8,0.000000
0,0.677962,7,0.133333
0,0.826772,7,0.285714
1,0.868276,13,0.086957
1,0.835819,10,0.111111
1,0.909757,12,0.277778
1,0.835906,14,0.038462
1,0.742482,6,0.636364
0,0.723010,9,0.304348
0,0.679597,3,0.000000
1,0.855169,14,0.166667
1,0.879625,22,0.035714
1,0.900182,16,0.185185
1,0.778616,7,0.250000
0,0.723527,5,0.142857
1,0.847129,15,0.095238
0,0.873101,14,0.450000
1,0.895779,19,0.120000
1,0.796437,8,0.111111
1,0.889422,8,0.222222
0,0.774365,2,0.384615
0,0.856013,3,0.250000
0,0.770725,12,0.125000
1,0.818307,10,0.000000
1,0.909319,18,0.160000
0,0.649503,8,0.058824
1,0.869186,7,0.000000
1,0.889696,20,0.178571
1,0.841860,11,0.058824
0,0.653084,7,0.214286
1,0.764262,5,0.315789
0,0.874021,7,0.058824
1,0.720498,6,0.055556
1,0.792333,3,0.000000
0,0.864910,9,0.142857
0,0.852409,5,0.100000
0,0.741846,6,0.117647
1,0.802796,13,0.181818
1,0.695887,5,0.125000
0,0.698310,7,0.000000
1,0.741405,8,0.117647
1,0.670108,2,0.111111
1,0.826240,7,0.230769
0,0.728853,13,0.173913
1,0.951077,20,0.040000
1,0.815589,13,0.050000
1,0.817063,9,0.315789
0,0.832670,11,0.050000
1,0.946455,19,0.076923
1,0.855514,8,0.062500
1,0.947972,17,0.083333
0,0.666752,6,0.391304
1,0.823231,7,0.318182
1,0.698812,6,0.400000
1,0.891436,18,0.227273
1,0.809009,11,0.320000
0,0.718161,3,0.111111
0,0.653508,3,0.166667
0,0.757345,10,0.466667
0,0.725613,5,0.263158
1,0.673732,6,0.000000
0,0.855879,18,0.034483
1,0.798185,9,0.222222
1,0.818193,11,0.238095
1,0.749951,13,0.333333
0,0.860479,18,0.037037
0,0.876062,10,0.230769
0,0.788316,9,0.533333
1,0.939120,23,0.038462
0,0.768784,10,0.105263
1,0.839313,8,0.142857
1,0.721283,11,0.238095
1,0.776092,7,0.210526
0,0.596259,5,0.200000
0,0.690471,7,0.153846
0,0.793317,9,0.294118
1,0.810920,9,0.333333
0,0.880418,17,0.350000
1,0.992717,21,0.038462
1,0.800167,8,0.384615
1,0.894174,15,0.333333
1,0.830245,12,0.142857
1,0.916107,12,0.055556
0,0.675674,3,0.230769
1,0.869079,16,0.222222
1,0.916752,16,0.100000
1,0.859952,14,0.045455
1,0.780633,4,0.285714
1,0.766095,9,0.187500
1,0.723529,10,0.227273
1,0.713754,10,0.000000
1,0.879828,16,0.136364
1,0.876293,14,0.100000
0,0.729141,12,0.107143
0,0.763181,6,0.000000
0,0.842843,16,0.238095
1,0.913464,18,0.120000
1,0.879577,15,0.136364
1,0.961888,17,0.041667
0,0.666944,3,0.100000
1,0.875638,10,0.058824
1,0.821083,5,0.300000
0,0.906605,15,0.280000
1,0.915635,18,0.206897
1,0.700071,6,0.125000
1,0.941284,21,0.040000
1,0.947384,18,0.083333
1,0.902978,16,0.000000
0,0.739849,9,0.315789
1,0.625956,4,0.076923
1,0.863860,17,0.285714
1,0.799973,13,0.300000
0,0.727107,4,0.000000
0,0.838253,11,0.312500
0,0.671120,8,0.312500
0,0.744454,5,0.000000
1,0.720829,12,0.263158
0,0.819512,8,0.190476
0,0.789259,12,0.176471
0,0.698969,9,0.260870
1,0.859050,10,0.375000
1,0.924039,14,0.050000
1,0.869425,11,0.045455
0,0.755112,10,0.217391
0,0.738854,9,0.055556
1,0.770446,8,0.125000
1,0.757623,10,0.000000
1,0.786276,10,0.277778
1,0.770446,8,0.272727
0,0.830424,12,0.238095
1,0.704745,5,0.000000
0,0.646551,7,0.235294
1,0.842203,9,0.055556
0,0.859264,5,0.083333
1,0.926941,16,0.136364
1,0.881622,19,0.076923
1,0.892094,9,0.105263
1,0.856983,13,0.000000
1,0.733675,8,0.222222
1,0.939211,17,0.083333
1,0.724489,8,0.058824
1,0.862185,19,0.074074
1,0.893566,16,0.120000
1,0.976328,21,0.000000
0,0.824037,13,0.045455
0,0.698406,11,0.045455
1,0.939259,15,0.136364
1,0.817194,9,0.055556
1,0.942714,23,0.071429
1,0.816674,7,0.454545
1,0.834838,17,0.227273
1,0.863733,13,0.269231
0,0.863676,12,0.368421
0,0.748098,2,0.230769
1,0.640489,5,0.000000
1,0.777662,9,0.000000
1,0.736517,5,0.076923
1,0.880768,15,0.000000
1,0.853883,11,0.461538
1,0.745620,8,0.058824
1,0.830223,16,0.160000
1,0.882682,7,0.181818
1,0.634846,6,0.000000
0,0.750091,5,0.142857
1,0.904535,20,0.111111
0,0.791089,9,0.470588
1,0.939540,17,0.200000
1,0.722864,10,0.136364
0,0.794136,13,0.045455
1,0.674852,10,0.080000
0,0.730874,8,0.428571
0,0.822666,14,0.148148
1,0.677699,9,0.166667
1,0.976896,23,0.137931
1,0.709571,8,0.000000
0,0.760780,9,0.277778
0,0.835702,12,0.285714
1,0.927426,22,0.035714
