quality,similarity,unique words,length ratio,negation,negation parity,unusual tokens,unusual ratio
Yes,0.877053,0.730769,0.190476,0,0,4,0.000000
Yes,0.907361,0.681818,0.100000,1,1,0,1.000000
Yes,0.962592,0.809524,0.166667,0,0,0,1.000000
No,0.888759,0.571429,0.142857,0,0,0,1.000000
Yes,0.899039,0.640000,0.047619,0,0,2,0.800000
Yes,0.793065,0.280000,0.285714,0,0,1,0.000000
No,0.893925,0.421053,0.153846,0,0,0,1.000000
Yes,0.820498,0.321429,0.291667,0,0,2,0.500000
Yes,0.927817,0.478261,0.055556,0,0,3,0.625000
Yes,0.778744,0.407407,0.227273,0,0,4,0.000000
Yes,0.865433,0.545455,0.157895,0,0,1,0.000000
Yes,0.906491,0.448276,0.222222,0,0,0,1.000000
Yes,0.697038,0.240000,0.176471,0,0,0,1.000000
Yes,0.809738,0.434783,0.428571,0,0,4,0.333333
No,0.836447,0.333333,0.200000,0,0,2,0.333333
Yes,0.948357,0.739130,0.333333,0,0,2,0.600000
Yes,0.779878,0.416667,0.300000,0,0,1,0.000000
Yes,0.735564,0.238095,0.166667,0,0,3,0.625000
Yes,0.845208,0.636364,0.100000,0,0,0,1.000000
No,0.701079,0.260870,0.117647,0,0,9,0.000000
Yes,0.937618,0.730769,0.333333,0,0,0,1.000000
Yes,0.891781,0.642857,0.083333,0,0,3,0.500000
Yes,0.844534,0.583333,0.111111,0,0,1,0.833333
Yes,0.862538,0.615385,0.086957,0,0,0,1.000000
Yes,0.879867,0.458333,0.105263,0,0,1,0.666667
Yes,0.845162,0.290323,0.045455,0,0,7,0.125000
Yes,0.944922,0.740741,0.083333,0,0,0,1.000000
Yes,0.859869,0.457143,0.172414,0,0,5,0.545455
No,0.689577,0.260870,0.066667,0,0,3,0.250000
Yes,0.582694,0.280000,0.133333,1,1,3,0.000000
No,0.775447,0.217391,0.200000,0,0,9,0.100000
Yes,0.970780,0.703704,0.076923,0,0,0,1.000000
Yes,0.841632,0.500000,0.238095,0,0,3,0.666667
Yes,0.852866,0.307692,0.176471,0,0,2,0.714286
Yes,0.947501,0.538462,0.125000,0,0,0,1.000000
Yes,0.795950,0.310345,0.352941,0,0,3,0.625000
Yes,0.842840,0.461538,0.000000,0,0,0,1.000000
Yes,0.902298,0.758621,0.040000,0,0,4,0.600000
No,0.519498,0.058824,0.363636,0,0,6,0.250000
Yes,0.968898,0.629630,0.076923,0,0,0,1.000000
No,0.790922,0.500000,0.076923,0,0,3,0.625000
Yes,0.786833,0.520000,0.260870,0,0,4,0.000000
No,0.535554,0.200000,0.000000,0,0,4,0.000000
Yes,0.792756,0.388889,0.083333,0,0,7,0.125000
Yes,0.930820,0.650000,0.125000,0,0,1,0.666667
No,0.703352,0.350000,0.200000,0,0,2,0.600000
Yes,1.000000,0.700000,0.000000,0,0,0,1.000000
Yes,0.967272,0.666667,0.043478,0,0,0,1.000000
Yes,0.737458,0.222222,0.055556,0,0,3,0.500000
Yes,0.835696,0.411765,0.153846,0,0,1,0.500000
Yes,0.945682,0.611111,0.071429,0,0,2,0.666667
Yes,0.850548,0.500000,0.047619,1,1,1,0.800000
Yes,0.746599,0.185185,0.285714,0,0,7,0.363636
Yes,0.859921,0.448276,0.142857,0,0,2,0.333333
Yes,0.870080,0.636364,0.312500,0,0,3,0.500000
Yes,0.842250,0.500000,0.227273,0,0,3,0.700000
Yes,0.886304,0.700000,0.000000,0,0,6,0.333333
Yes,0.869493,0.680000,0.095238,0,0,3,0.000000
Yes,0.747983,0.379310,0.555556,0,0,2,0.333333
Yes,0.953562,0.714286,0.210526,0,0,0,1.000000
No,0.809378,0.312500,0.296296,0,0,6,0.454545
Yes,0.918559,0.526316,0.384615,0,0,1,0.750000
No,0.625331,0.192308,0.133333,0,0,10,0.000000
Yes,0.846712,0.600000,0.217391,0,0,2,0.333333
No,0.717161,0.148148,0.000000,0,0,8,0.200000
Yes,0.719965,0.208333,0.187500,0,0,5,0.166667
Yes,0.934130,0.850000,0.166667,0,0,0,1.000000
Yes,0.899129,0.500000,0.083333,0,0,2,0.500000
Yes,0.777315,0.269231,0.357143,0,0,3,0.571429
Yes,0.898059,0.633333,0.200000,0,0,2,0.600000
Yes,0.870172,0.516129,0.083333,0,0,8,0.111111
No,0.851812,0.592593,0.086957,0,0,3,0.500000
Yes,0.956706,0.555556,0.130435,0,0,3,0.625000
No,0.775838,0.272727,0.333333,0,0,8,0.000000
Yes,0.834856,0.578947,0.125000,0,0,3,0.571429
No,0.697317,0.260870,0.235294,0,0,2,0.333333
Yes,0.871439,0.590909,0.043478,0,0,1,0.500000
Yes,0.830791,0.450000,0.222222,0,0,2,0.333333
Yes,0.856838,0.500000,0.000000,0,0,1,0.000000
Yes,0.784954,0.423077,0.105263,0,0,1,0.750000
Yes,0.841021,0.608696,0.280000,0,0,5,0.166667
No,0.773004,0.172414,0.111111,0,0,7,0.500000
No,0.850333,0.625000,0.190476,0,0,0,1.000000
Yes,0.857827,0.633333,0.037037,0,0,3,0.500000
Yes,0.678149,0.250000,0.333333,0,0,2,0.000000
No,0.760949,0.304348,0.176471,0,0,8,0.333333
No,0.817827,0.440000,0.411765,0,0,5,0.545455
Yes,0.866021,0.629630,0.043478,0,0,2,0.000000
Yes,0.782043,0.500000,0.210526,0,0,3,0.250000
No,0.832055,0.500000,0.285714,0,0,1,0.666667
Yes,0.967722,0.590909,0.105263,1,1,0,1.000000
Yes,0.885886,0.409091,0.285714,0,0,4,0.000000
No,0.702961,0.280000,0.315789,0,0,7,0.222222
Yes,0.677652,0.300000,0.352941,0,0,3,0.500000
Yes,0.734810,0.315789,0.363636,0,0,0,1.000000
Yes,0.984671,0.666667,0.000000,0,0,1,0.800000
Yes,0.785170,0.411765,0.080000,0,0,0,1.000000
No,0.615458,0.250000,0.500000,0,0,4,0.200000
Yes,0.762138,0.347826,0.400000,0,0,2,0.600000
Yes,0.849783,0.263158,0.266667,0,0,2,0.666667
Yes,0.746849,0.200000,0.076923,2,0,1,0.000000
No,0.842965,0.357143,0.352941,0,0,15,0.000000
No,0.868775,0.468750,0.185185,0,0,1,0.500000
Yes,0.833437,0.250000,0.166667,0,0,2,0.333333
Yes,0.884237,0.533333,0.038462,0,0,3,0.700000
No,0.647311,0.318182,0.416667,0,0,1,0.833333
Yes,0.672315,0.300000,0.266667,0,0,5,0.375000
Yes,0.930548,0.607143,0.000000,0,0,0,1.000000
Yes,0.776176,0.523810,0.133333,0,0,2,0.750000
Yes,0.874985,0.434783,0.428571,0,0,4,0.500000
No,0.806373,0.320000,0.058824,0,0,5,0.545455
No,0.776689,0.241379,0.000000,0,0,4,0.636364
Yes,0.750417,0.285714,0.176471,0,0,8,0.333333
Yes,0.858453,0.478261,0.055556,0,0,3,0.400000
Yes,0.854432,0.468750,0.000000,0,0,3,0.000000
Yes,0.842123,0.521739,0.181818,0,0,3,0.500000
Yes,0.861154,0.666667,0.100000,0,0,0,1.000000
Yes,0.907466,0.652174,0.157895,0,0,2,0.500000
No,0.779474,0.312500,0.047619,0,0,7,0.500000
Yes,0.836528,0.518519,0.100000,0,0,2,0.600000
No,0.618942,0.190476,0.333333,0,0,5,0.444444
Yes,0.887759,0.608696,0.142857,0,0,1,0.800000
Yes,0.908461,0.392857,0.277778,0,0,2,0.833333
Yes,0.877456,0.531250,0.115385,0,0,0,1.000000
No,0.812730,0.333333,0.227273,0,0,2,0.333333
Yes,0.884242,0.461538,0.181818,0,0,2,0.333333
Yes,0.607813,0.111111,0.125000,0,0,9,0.100000
Yes,0.928386,0.607143,0.125000,0,0,0,1.000000
Yes,0.877257,0.666667,0.266667,0,0,1,0.666667
Yes,0.832204,0.416667,0.055556,0,0,0,1.000000
Yes,0.830895,0.450000,0.235294,0,0,1,0.800000
Yes,0.796668,0.541667,0.166667,0,0,1,0.000000
Yes,0.721652,0.352941,0.230769,0,0,1,0.500000
Yes,0.862700,0.560000,0.050000,0,0,1,0.857143
Yes,0.740967,0.250000,0.083333,0,0,0,1.000000
Yes,0.711933,0.400000,0.120000,0,0,5,0.000000
Yes,0.917616,0.500000,0.312500,0,0,0,1.000000
No,0.747544,0.321429,0.142857,0,0,6,0.250000
Yes,0.947311,0.766667,0.137931,0,0,0,1.000000
Yes,0.845554,0.586207,0.090909,0,0,0,1.000000
No,0.666718,0.333333,0.111111,0,0,1,0.000000
Yes,0.900047,0.656250,0.038462,0,0,0,1.000000
No,0.844387,0.476190,0.214286,0,0,2,0.333333
Yes,0.907864,0.642857,0.000000,0,0,0,1.000000
Yes,0.666063,0.296296,0.227273,1,1,1,0.000000
Yes,0.868190,0.607143,0.142857,0,0,7,0.125000
Yes,0.893749,0.692308,0.285714,0,0,0,1.000000
Yes,0.827866,0.423077,0.352941,0,0,1,0.500000
No,0.903329,0.625000,0.181818,0,0,1,0.666667
No,0.685516,0.111111,0.222222,0,0,4,0.200000
Yes,0.868244,0.531250,0.040000,0,0,1,0.750000
Yes,0.802981,0.480000,0.260870,0,0,7,0.222222
Yes,0.838798,0.619048,0.157895,0,0,2,0.333333
No,0.730655,0.192308,0.000000,0,0,5,0.285714
Yes,0.773227,0.375000,0.086957,0,0,3,0.750000
No,0.824264,0.560000,0.130435,0,0,1,0.500000
Yes,0.851711,0.578947,0.142857,0,0,3,0.571429
Yes,0.717715,0.320000,0.111111,0,0,2,0.000000
Yes,0.778547,0.371429,0.148148,0,0,1,0.500000
No,0.830752,0.413793,0.291667,0,0,4,0.200000
Yes,0.809725,0.416667,0.000000,0,0,1,0.800000
Yes,0.916781,0.600000,0.045455,0,0,1,0.000000
Yes,0.811584,0.361111,0.037037,0,0,6,0.250000
Yes,0.895426,0.523810,0.133333,0,0,3,0.666667
Yes,0.781724,0.333333,0.000000,0,0,5,0.166667
No,0.874850,0.464286,0.047619,0,0,0,1.000000
Yes,0.965556,0.607143,0.083333,0,0,0,1.000000
No,0.764617,0.375000,0.500000,0,0,1,0.000000
Yes,0.817217,0.484848,0.227273,0,0,1,0.666667
No,0.745558,0.285714,0.250000,0,0,12,0.294118
Yes,0.890512,0.692308,0.080000,0,0,0,1.000000
Yes,0.680124,0.071429,0.142857,0,0,3,0.250000
Yes,0.799859,0.476190,0.266667,0,0,3,0.400000
Yes,0.762567,0.473684,0.000000,0,0,0,1.000000
No,0.901646,0.444444,0.312500,0,0,1,0.000000
No,0.821650,0.444444,0.454545,0,0,1,0.800000
Yes,0.861015,0.560000,0.045455,0,0,0,1.000000
Yes,0.802348,0.375000,0.142857,0,0,2,0.600000
Yes,0.805355,0.578947,0.307692,0,0,3,0.000000
Yes,0.874924,0.619048,0.210526,0,0,3,0.000000
Yes,0.875472,0.520000,0.052632,0,0,1,0.750000
No,0.752602,0.294118,0.200000,0,0,2,0.500000
Yes,0.767259,0.409091,0.176471,0,0,0,1.000000
No,0.856420,0.333333,0.277778,0,0,1,0.000000
Yes,0.851393,0.392857,0.050000,0,0,6,0.500000
Yes,0.863286,0.421053,0.071429,0,0,5,0.285714
Yes,0.887193,0.619048,0.117647,0,0,1,0.500000
No,0.709440,0.400000,0.333333,0,0,2,0.666667
Yes,0.823085,0.451613,0.238095,0,0,4,0.428571
Yes,0.852927,0.483871,0.120000,0,0,3,0.500000
Yes,0.823929,0.518519,0.388889,0,0,3,0.727273
No,0.884283,0.523810,0.315789,0,0,3,0.500000
Yes,0.841488,0.433333,0.214286,0,0,0,1.000000
No,0.831460,0.361111,0.217391,1,1,5,0.375000
Yes,0.917091,0.750000,0.208333,0,0,6,0.333333
No,0.808770,0.440000,0.136364,0,0,0,1.000000
Yes,0.926739,0.428571,0.133333,0,0,5,0.166667
No,0.867215,0.590909,0.117647,0,0,5,0.500000
No,0.642806,0.125000,0.200000,0,0,6,0.250000
Yes,0.734424,0.350000,0.000000,0,0,0,1.000000
Yes,0.839396,0.416667,0.312500,0,0,6,0.400000
No,0.814207,0.315789,0.250000,0,0,8,0.111111
No,0.765733,0.233333,0.533333,0,0,3,0.250000
Yes,0.943436,0.714286,0.080000,0,0,2,0.750000
Yes,0.895782,0.708333,0.000000,0,0,2,0.500000
No,0.837381,0.370370,0.333333,1,1,0,1.000000
Yes,0.839193,0.619048,0.266667,0,0,2,0.833333
Yes,0.980021,0.800000,0.083333,0,0,0,1.000000
Yes,0.866483,0.483871,0.038462,1,1,2,0.666667
Yes,0.788016,0.407407,0.166667,0,0,2,0.714286
Yes,0.781517,0.363636,0.000000,0,0,1,0.750000
Yes,0.789385,0.500000,0.181818,0,0,0,1.000000
Yes,0.762891,0.333333,0.047619,0,0,2,0.333333
No,0.792224,0.388889,0.214286,0,0,0,1.000000
No,0.729578,0.250000,0.125000,0,0,19,0.050000
No,0.804256,0.565217,0.150000,0,0,0,1.000000
No,0.640036,0.214286,0.111111,0,0,3,0.400000
No,0.659977,0.363636,0.285714,0,0,3,0.000000
No,0.734895,0.333333,0.047619,0,0,3,0.400000
Yes,0.831780,0.190476,0.333333,0,0,4,0.333333
Yes,0.733051,0.217391,0.000000,0,0,3,0.400000
Yes,0.810097,0.346154,0.117647,0,0,3,0.666667
No,0.665975,0.346154,0.312500,0,0,3,0.400000
Yes,0.887109,0.592593,0.043478,0,0,0,1.000000
Yes,0.870430,0.684211,0.055556,0,0,2,0.333333
No,0.825915,0.347826,0.315789,0,0,9,0.181818
No,0.765755,0.423077,0.260870,0,0,4,0.000000
No,0.778877,0.482759,0.041667,0,0,5,0.285714
No,0.743605,0.256410,0.166667,0,0,3,0.666667
Yes,0.625283,0.315789,0.266667,0,0,3,0.250000
No,0.872979,0.484848,0.300000,0,0,0,1.000000
Yes,0.808816,0.416667,0.000000,0,0,3,0.400000
Yes,0.860624,0.653846,0.047619,0,0,0,1.000000
Yes,0.956086,0.727273,0.105263,0,0,0,1.000000
Yes,0.828138,0.551724,0.074074,0,0,0,1.000000
No,0.715144,0.368421,0.000000,0,0,2,0.333333
Yes,0.853779,0.541667,0.000000,0,0,4,0.428571
Yes,0.941370,0.777778,0.083333,0,0,1,0.833333
Yes,0.946172,0.642857,0.086957,0,0,1,0.857143
Yes,0.905518,0.666667,0.000000,0,0,2,0.666667
No,0.672077,0.368421,0.416667,0,0,5,0.000000
Yes,0.815316,0.464286,0.000000,0,0,0,1.000000
Yes,0.837241,0.468750,0.285714,0,0,3,0.400000
Yes,0.804143,0.486486,0.034483,0,0,3,0.500000
Yes,0.903046,0.315789,0.142857,0,0,0,1.000000
Yes,0.937532,0.607143,0.090909,0,0,1,0.666667
Yes,0.869358,0.500000,0.045455,0,0,1,0.800000
Yes,0.958685,0.560000,0.050000,0,0,0,1.000000
No,0.725419,0.454545,0.200000,0,0,6,0.250000
Yes,0.806457,0.500000,0.000000,0,0,0,1.000000
No,0.717945,0.200000,0.400000,0,0,16,0.111111
Yes,0.806844,0.478261,0.263158,0,0,2,0.500000
Yes,0.804082,0.380952,0.066667,0,0,0,1.000000
No,0.719437,0.240000,0.062500,0,0,14,0.176471
Yes,0.952757,0.652174,0.000000,0,0,1,0.800000
No,0.840637,0.526316,0.500000,0,0,4,0.600000
Yes,0.709709,0.407407,0.142857,0,0,7,0.125000
Yes,0.731448,0.333333,0.153846,0,0,1,0.000000
Yes,0.795987,0.413793,0.047619,1,1,3,0.666667
Yes,0.691210,0.375000,0.428571,0,0,8,0.384615
No,0.679828,0.300000,0.142857,1,1,0,1.000000
No,0.720154,0.307692,0.000000,0,0,4,0.555556
Yes,0.801935,0.473684,0.235294,0,0,2,0.500000
Yes,0.648539,0.272727,0.250000,0,0,0,1.000000
Yes,0.874280,0.416667,0.157895,0,0,1,0.800000
Yes,0.733582,0.238095,0.000000,0,0,5,0.166667
Yes,0.952442,0.428571,0.200000,0,0,1,0.666667
No,0.581810,0.238095,0.266667,0,0,7,0.222222
No,0.783151,0.461538,0.352941,0,0,1,0.800000
No,0.777032,0.409091,0.285714,0,0,3,0.400000
No,0.694858,0.304348,0.125000,0,0,0,1.000000
Yes,0.872733,0.531250,0.071429,0,0,4,0.500000
Yes,0.909776,0.423077,0.294118,0,0,0,1.000000
Yes,0.792020,0.520000,0.173913,0,0,4,0.000000
Yes,0.931395,0.481481,0.105263,0,0,2,0.666667
Yes,0.746104,0.300000,0.086957,0,0,4,0.555556
No,0.614481,0.294118,0.000000,0,0,1,0.800000
Yes,0.760432,0.307692,0.000000,0,0,11,0.000000
No,0.884093,0.500000,0.269231,0,0,1,0.000000
No,0.744991,0.259259,0.333333,0,0,10,0.333333
Yes,0.827162,0.133333,0.300000,0,0,5,0.285714
Yes,0.739749,0.294118,0.083333,0,0,3,0.250000
Yes,0.813103,0.444444,0.388889,0,0,4,0.428571
No,0.701824,0.428571,0.000000,0,0,7,0.222222
Yes,0.844838,0.250000,0.333333,0,0,1,0.500000
Yes,0.852439,0.464286,0.185185,0,0,0,1.000000
Yes,0.824537,0.360000,0.000000,0,0,0,1.000000
Yes,0.846786,0.517241,0.214286,0,0,0,1.000000
Yes,0.886210,0.565217,0.105263,0,0,0,1.000000
Yes,0.712479,0.363636,0.125000,0,0,0,1.000000
No,0.838390,0.433333,0.321429,1,1,3,0.400000
Yes,0.748443,0.280000,0.238095,0,0,0,1.000000
Yes,0.894223,0.550000,0.176471,0,0,2,0.750000
Yes,0.873712,0.538462,0.208333,0,0,0,1.000000
No,0.772631,0.320000,0.062500,0,0,11,0.266667
Yes,0.702738,0.268293,0.037037,0,0,5,0.375000
Yes,0.808681,0.437500,0.153846,0,0,1,0.000000
No,0.769809,0.409091,0.176471,0,0,1,0.800000
Yes,0.748522,0.473684,0.111111,0,0,1,0.500000
Yes,0.921459,0.692308,0.160000,0,0,2,0.800000
No,0.855014,0.409091,0.400000,0,0,1,0.666667
Yes,0.849749,0.625000,0.071429,0,0,0,1.000000
Yes,0.706145,0.285714,0.055556,0,0,3,0.250000
Yes,0.784984,0.466667,0.045455,0,0,2,0.000000
Yes,0.778205,0.500000,0.333333,0,0,1,0.666667
Yes,0.891909,0.724138,0.000000,0,0,2,0.600000
No,0.789226,0.230769,0.133333,0,0,6,0.454545
No,0.867378,0.533333,0.192308,0,0,0,1.000000
Yes,0.900736,0.483871,0.190476,0,0,0,1.000000
Yes,0.930033,0.833333,0.000000,0,0,2,0.500000
Yes,0.910530,0.640000,0.090909,0,0,1,0.800000
Yes,0.889711,0.571429,0.272727,0,0,3,0.571429
No,0.663002,0.166667,0.153846,0,0,1,0.750000
Yes,0.816024,0.458333,0.150000,0,0,2,0.500000
No,0.843448,0.550000,0.166667,0,0,1,0.500000
No,0.840635,0.441176,0.120000,0,0,5,0.375000
Yes,0.831143,0.500000,0.166667,0,0,0,1.000000
Yes,0.918839,0.636364,0.100000,0,0,2,0.600000
No,0.580005,0.047619,0.090909,1,1,0,1.000000
Yes,0.831674,0.500000,0.058824,0,0,2,0.600000
Yes,0.930266,0.629630,0.076923,0,0,1,0.875000
No,0.686709,0.238095,0.166667,0,0,1,0.000000
Yes,0.820397,0.531250,0.074074,0,0,5,0.444444
Yes,0.840678,0.440000,0.200000,0,0,5,0.285714
Yes,0.982895,0.760000,0.000000,0,0,0,1.000000
Yes,0.952999,0.700000,0.000000,0,0,1,0.833333
