quality,unique_words,length_ratio,sim_0,negations,neg_parity,unusuals_0,unusual_ratio_0,sim_1,unusuals_1,unusual_ratio_1,sim_2,unusuals_2,unusual_ratio_2,sim_3,unusuals_3,unusual_ratio_3,sim_4,unusuals_4,unusual_ratio_4,max_sim,min_sim,line,text
Yes,0.85,0.227273,0.899718628,0,0,3,0.25,0.811106578,3,0.571428571,0.953659782,4,0.2,0.954603721,4,0.2,0.912403825,4,0.2,0.954603721,0.811106578,32,"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion. | Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year."
Yes,0.777778,0.222222,0.920752753,0,0,0,1,0.795141859,1,0.75,0.944700968,1,0.666666667,0.978647183,1,0.666666667,0.974221956,1,0.666666667,0.978647183,0.795141859,33,The AFL-CIO is waiting until October to decide if it will endorse a candidate. | The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.
No,0.647059,0.294118,0.929340164,1,1,1,0,0.828508348,1,0,0.816301623,1,0,0.90290892,1,0,0.844006313,1,0,0.929340164,0.816301623,34,"No dates have been set for the civil or the criminal trial. | No dates have been set for the criminal or civil cases, but Shanley has pleaded not guilty."
Yes,1.333333,0.333333,0.745510329,0,0,1,0,0.725701242,1,0,0.972732462,2,0,0.893492678,2,0,0.828238577,2,0,0.972732462,0.725701242,35,"The largest gains were seen in prices, new orders, inventories and exports. | Sub-indexes measuring prices, new orders, inventories and exports increased."
Yes,0.866667,0.133333,0.915163203,0,0,0,1,0.765816921,7,0.3,0.933265716,1,0.75,0.967623406,1,0.75,0.943104948,1,0.75,0.967623406,0.765816921,36,"Trading in Loral was halted yesterday; the shares closed on Monday at $3.01. | The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday."
No,0.928571,0.071429,0.818912337,0,0,4,0,0.618374053,6,0,0.902538551,5,0,0.968678157,5,0,0.93523286,5,0,0.968678157,0.618374053,37,Earnings per share from recurring operations will be 13 cents to 14 cents. | That beat the company's April earnings forecast of 8 to 9 cents a share.
Yes,0.933333,0.066667,0.919838634,0,0,1,0.666666667,0.888366746,1,0.8,0.99827033,2,0.6,0.975478889,2,0.6,0.971736013,2,0.6,0.99827033,0.888366746,38,"He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel. | After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there."
Yes,1,0,0.993333421,0,0,1,0.8,0.99274855,1,0.9,0.997811253,1,0.833333333,0.991390722,1,0.833333333,0.990478788,1,0.833333333,0.997811253,0.990478788,39,Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday. | Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.
Yes,1.444444,0.444444,0.906369514,0,0,0,1,0.737859668,2,0,0.886761293,1,0,0.838558532,1,0,0.844249099,1,0,0.906369514,0.737859668,40,Prosecutors filed a motion informing Lee they intend to seek the death penalty. | He added that prosecutors will seek the death penalty.
Yes,0.896552,0.103448,0.972793057,0,0,0,1,0.899128916,2,0.5,0.898594793,1,0.8,0.996800982,1,0.8,0.996045457,1,0.8,0.996800982,0.898594793,41,"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools. | Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools."
No,1.2,0.2,0.865084297,0,0,1,0,0.719902675,2,0,0.812805377,3,0.25,0.855022752,3,0.25,0.852295179,3,0.25,0.865084297,0.719902675,42,"He beat testicular cancer that had spread to his lungs and brain. | Armstrong, 31, battled testicular cancer that spread to his brain."
Yes,1.1875,0.235294,0.945017021,0,0,0,1,0.909233777,0,1,0.999313024,1,0,0.973746148,1,0,0.887947528,1,0,0.999313024,0.887947528,43,"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately. | Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury."
No,1,0.1,0.777527975,0,0,7,0.222222222,0.731676987,8,0.2,0.985025829,7,0.222222222,0.944386862,7,0.222222222,0.944386862,7,0.222222222,0.985025829,0.731676987,44,"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo. | Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque."
Yes,0.944444,0.181818,0.933192952,0,0,5,0.5,0.88215941,6,0.454545455,0.824159766,5,0.5,0.992055725,5,0.5,0.963260653,5,0.5,0.992055725,0.824159766,45,"The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004. | The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004."
Yes,0.913043,0.086957,0.977911096,0,0,0,1,0.921572797,2,0.777777778,0.953495363,0,1,0.993592009,0,1,0.99904186,0,1,0.99904186,0.921572797,46,"The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan. | The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan."
No,1.4375,0.470588,0.914503185,0,0,0,1,0.748349549,0,1,0.929733125,1,0.75,0.963819367,1,0.75,0.985927876,1,0.75,0.985927876,0.748349549,47,"The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually. | An average residential customer paying $840 a year for electricity could see a savings of $30 annually."
Yes,0.736842,0.263158,0.833430619,0,0,1,0.666666667,0.756325578,2,0.5,0.659635063,1,0.75,0.998625574,1,0.75,0.948838288,1,0.75,0.998625574,0.659635063,48,"The company has said it plans to restate its earnings for 2000 through 2002. | The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000."
Yes,0.818182,0.217391,0.961884764,0,0,1,0.75,0.940463434,1,0.857142857,0.999099475,1,0.8,0.990276948,1,0.8,0.943409386,1,0.8,0.999099475,0.940463434,49,Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight. | Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.
Yes,0.869565,0.130435,0.990776217,0,0,0,1,0.949995383,0,1,0.982014868,0,1,0.981562137,0,1,0.984260878,0,1,0.990776217,0.949995383,50,"The result is an overall package that will provide significant economic growth for our employees over the next four years. | The result is an overall package that will provide a significant economic growth for our employees over the next few years, he said."
Yes,0.772727,0.227273,0.906652255,0,0,3,0,0.794854433,3,0,0.963361718,3,0,0.746793301,3,0,0.764456853,3,0,0.963361718,0.746793301,51,Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed. | It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.
Yes,1.181818,0.166667,0.860394471,0,0,1,0.666666667,0.85313623,1,0.666666667,0.923058317,2,0.5,0.906643185,2,0.5,0.771549037,2,0.5,0.923058317,0.771549037,52,"The songs are on offer for 99 cents each, or $9.99 for an album. | The company will offer songs for 99 cents and albums for $9.95."
Yes,1.043478,0.043478,0.99994896,0,0,0,1,0.952268934,0,1,0.983311956,0,1,1,0,1,1,0,1,1,0.952268934,53,"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive. | The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive."
Yes,1.384615,0.384615,0.87565132,0,0,4,0.2,0.754926614,5,0.444444444,0.919385727,4,0.2,0.869638138,4,0.2,0.914591169,4,0.2,0.919385727,0.754926614,54,Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market. | The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.
No,1.176471,0.105263,0.841025657,0,0,3,0.25,0.799434391,4,0.2,0.937086701,3,0.4,0.944266575,3,0.4,0.938600426,3,0.4,0.944266575,0.799434391,55,"While dioxin levels in the environment were up last year, they have dropped by 75 percent since the 1970s, said Caswell. | The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s."
Yes,0.863636,0.086957,0.897327368,0,0,1,0.666666667,0.850626649,3,0.666666667,0.858135079,3,0.4,0.852921474,3,0.4,0.93846627,3,0.4,0.93846627,0.850626649,56,"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET. | IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net."
Yes,1.05,0,0.945781136,0,0,3,0,0.839291326,5,0.166666667,0.941937566,3,0,0.910169812,3,0,0.943662051,3,0,0.945781136,0.839291326,57,"The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance. | The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said."
No,0.611111,0.388889,0.888090051,0,0,1,0,0.687875917,2,0.5,0.815841455,1,0.5,0.871960526,1,0.5,0.938541996,1,0.5,0.938541996,0.687875917,58,"A former teammate, Carlton Dotson, has been charged with the murder. | His body was found July 25, and former teammate Carlton Dotson has been charged in his shooting death."
Yes,1.272727,0.416667,0.915129583,0,0,0,1,0.805311762,0,1,0.926662631,1,0,0.921196594,1,0,0.85387514,1,0,0.926662631,0.805311762,59,Several of the questions asked by the audience in the fast-paced forum were new to the candidates. | Several of the audience questions were new to the candidates as well.
Yes,1,0.038462,0.939201816,0,0,2,0.5,0.827343843,3,0.571428571,0.976714778,2,0.5,0.995279243,2,0.5,0.990977435,2,0.5,0.995279243,0.827343843,60,"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November. | The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November."
No,0.708333,0.307692,0.86302759,0,0,1,0.5,0.764947059,2,0.666666667,0.906444521,5,0.166666667,0.88210906,5,0.166666667,0.844344405,5,0.166666667,0.906444521,0.764947059,61,"The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein's fallen regime. | Twenty-seven Iraqis were killed, pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein's fallen regime."
No,0.705882,0.294118,0.88576363,1,1,8,0,0.731346677,8,0,0.916282513,8,0.111111111,0.999915992,8,0.111111111,0.999999741,8,0.111111111,0.999999741,0.731346677,62,"The women then had follow-up examinations after five, 12 and 24 years. | The women had follow-up examinations in 1974-75, 1980-81 and 1992-93, but were not asked about stress again."
No,0.785714,0.214286,0.844818016,0,0,1,0.5,0.792446484,4,0.428571429,0.713254217,1,0.5,0.879034803,1,0.5,0.788684397,1,0.5,0.879034803,0.713254217,63,The Embraer jets are scheduled to be delivered by September 2006. | The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.
Yes,0.952381,0.041667,0.870608216,0,0,1,0,0.866824864,2,0.5,0.94947342,2,0,0.942650985,2,0,0.969596884,2,0,0.969596884,0.866824864,64,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come."" | Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come."
No,0.8,0.190476,0.884111912,0,0,1,0.75,0.77053485,4,0.428571429,0.894712914,1,0.75,0.993052478,1,0.75,0.906354244,1,0.75,0.993052478,0.77053485,65,"Application Intelligence will be included as part of the company's SmartDefense application, which is included with Firewall-1. | The new application intelligence features will be available June 3 and are included with the SmartDefense product, which comes with FireWall-1."
No,0.65,0.409091,0.925382069,0,0,1,0,0.839631632,2,0.8,0.970688283,3,0,0.812443171,3,0,0.862685388,3,0,0.970688283,0.812443171,66,"American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed. | Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."""
Yes,1.1875,0.222222,0.878815239,0,0,0,1,0.788126424,1,0.666666667,0.879865152,0,1,0.98599406,0,1,0.946404024,0,1,0.98599406,0.788126424,67,"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet. | The downtime is expected to take 60 million to 70 million board feet out of the companys system."
Yes,1.166667,0.25,0.825915827,0,0,2,0.333333333,0.833350988,2,0.5,0.954541637,2,0.333333333,0.965491232,2,0.333333333,0.941803901,2,0.333333333,0.965491232,0.825915827,68,"On July 3, Troy is expected to be sentenced to life in prison without parole. | Troy faces life in prison without parole at his July 30 sentencing."
Yes,0.916667,0.08,0.88064555,0,0,0,1,0.787839213,1,0.875,0.838140261,2,0.333333333,0.937834733,2,0.333333333,0.899893653,2,0.333333333,0.937834733,0.787839213,69,"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June. | The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates."
Yes,0.8,0.2,0.862125744,0,0,1,0,0.850766295,2,0.714285714,0.888883324,2,0,0.682808334,2,0,0.640591595,2,0,0.888883324,0.640591595,70,"The processors were announced in San Jose at the Intel Developer Forum. | The new processor was unveiled at the Intel Developer Forum 2003 in San Jose, Calif."
No,1.318182,0.304348,0.882969355,0,0,0,1,0.80837508,0,1,0.844663161,5,0,0.932173633,5,0,0.942425579,5,0,0.942425579,0.80837508,71,"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities. | The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities."
Yes,0.952381,0,0.88948768,0,0,0,1,0.808630038,0,1,0.998468191,7,0.222222222,0.992687517,7,0.222222222,0.991586532,7,0.222222222,0.998468191,0.808630038,72,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry. | The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.
Yes,1,0,0.981384838,0,0,2,0.333333333,0.965764424,4,0.555555556,0.999875426,2,0.714285714,0.997163704,2,0.714285714,0.994764424,2,0.714285714,0.999875426,0.965764424,73,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night."" | Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night."""
Yes,1.142857,0.142857,0.971941116,0,0,0,1,0.826419007,0,1,0.847714649,1,0.833333333,0.951609492,1,0.833333333,0.972963479,1,0.833333333,0.972963479,0.826419007,74,"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000. | For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent."
Yes,0.916667,0.083333,0.749285793,0,0,0,1,0.565875644,1,0.8,0.513903837,4,0,0.918937058,4,0,0.89291571,4,0,0.918937058,0.513903837,75,But Secretary of State Colin Powell brushed off this possibility Wednesday. | Secretary of State Colin Powell last week ruled out a non-aggression treaty.
Yes,1.052632,0,0.955848604,0,0,0,1,0.915971177,0,1,0.999809471,0,1,0.998212377,0,1,0.992669559,0,1,0.999809471,0.915971177,76,"Thomas and Tauzin say, as do many doctors, that the Bush administration has the power to correct some of those flaws. | Like many doctors, Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws."
Yes,0.75,0.25,0.955540482,0,0,1,0,0.887876488,3,0,0.931095528,2,0,0.91871229,2,0,0.905799975,2,0,0.955540482,0.887876488,77,"Based on experience elsewhere, it could take up to two years before regular elections are held, he added. | U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world."
Yes,0.818182,0.181818,0.935299187,0,0,0,1,0.882488444,1,0.8,0.954680028,0,1,0.983482131,0,1,0.974666509,0,1,0.983482131,0.882488444,78,"The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today. | The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online Monday."
Yes,1,0,0.930384977,0,0,1,0,0.879528169,4,0.428571429,0.904621334,1,0.5,0.97939289,1,0.5,0.957813438,1,0.5,0.97939289,0.879528169,79,"The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday. | The first biotechnology treatment for asthma, the constriction of the airways that affects millions of Americans, received approval from the U.S. Food and Drug Administration on Friday."
Yes,0.892857,0.103448,0.952234968,0,0,1,0.5,0.909734484,2,0.5,0.986361305,1,0.8,0.98748082,1,0.8,0.988272853,1,0.8,0.988272853,0.909734484,80,"The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers. | Bin Laden’s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers."
Yes,1.086957,0.125,0.914967038,0,0,3,0,0.843061903,6,0.333333333,0.878740293,4,0,0.922625162,4,0,0.878141425,4,0,0.922625162,0.843061903,81,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday. | A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations."
