quality,unique_words,length_ratio,sim_0,negation_0,neg_parity_0,unusuals_0,unusual_ratio_0,max_sim,min_sim
Yes,0.956522,0.111111,0.9995402583524864,0,0,0,1.0,0.9995402583524864,0.9995402583524864
No,1.312500,0.437500,0.9709690104219122,0,0,1,0.5,0.9709690104219122,0.9709690104219122
Yes,1.000000,0.000000,0.9592013938139239,0,0,4,0.42857142857142855,0.9592013938139239,0.9592013938139239
Yes,1.047619,0.037037,0.9273246973888601,0,0,4,0.5555555555555556,0.9273246973888601,0.9273246973888601
Yes,0.733333,0.266667,0.9211894668196734,0,0,2,0.3333333333333333,0.9211894668196734,0.9211894668196734
No,0.611111,0.318182,0.9474704450256584,0,0,6,0.25,0.9474704450256584,0.9474704450256584
No,0.818182,0.040000,0.9235869042005403,0,0,6,0.25,0.9235869042005403,0.9235869042005403
Yes,0.947368,0.052632,0.961106831226605,0,0,3,0.5,0.961106831226605,0.961106831226605
Yes,1.214286,0.285714,0.8186486109778619,0,0,5,0.375,0.8186486109778619,0.8186486109778619
Yes,1.307692,0.312500,0.9099718250158148,0,0,2,0.0,0.9099718250158148,0.9099718250158148
No,0.937500,0.062500,0.850431029298394,0,0,4,0.6,0.850431029298394,0.850431029298394
No,1.312500,0.312500,0.914729714478515,0,0,4,0.0,0.914729714478515,0.914729714478515
Yes,0.850000,0.227273,0.8745821452156073,0,0,4,0.2,0.8745821452156073,0.8745821452156073
Yes,0.777778,0.222222,0.993999496345069,0,0,1,0.6666666666666666,0.993999496345069,0.993999496345069
No,0.647059,0.294118,0.9200046559721066,1,1,1,0.0,0.9200046559721066,0.9200046559721066
Yes,1.333333,0.333333,0.8410121612172854,0,0,2,0.0,0.8410121612172854,0.8410121612172854
Yes,0.866667,0.133333,0.8759058653999934,0,0,1,0.75,0.8759058653999934,0.8759058653999934
No,0.928571,0.071429,0.874587255028358,0,0,5,0.0,0.874587255028358,0.874587255028358
Yes,0.933333,0.066667,0.8962486068204317,0,0,2,0.6,0.8962486068204317,0.8962486068204317
Yes,1.000000,0.000000,0.9949311874689788,0,0,1,0.8333333333333334,0.9949311874689788,0.9949311874689788
Yes,1.444444,0.444444,0.6891574860472399,0,0,1,0.0,0.6891574860472399,0.6891574860472399
Yes,0.896552,0.103448,0.9231673043809782,0,0,1,0.8,0.9231673043809782,0.9231673043809782
No,1.200000,0.200000,0.7160084436337539,0,0,3,0.25,0.7160084436337539,0.7160084436337539
Yes,1.187500,0.235294,0.9124466621392577,0,0,1,0.0,0.9124466621392577,0.9124466621392577
No,1.000000,0.100000,0.941658131877618,0,0,7,0.2222222222222222,0.941658131877618,0.941658131877618
Yes,0.944444,0.181818,0.8836876273639084,0,0,5,0.5,0.8836876273639084,0.8836876273639084
Yes,0.913043,0.086957,0.993445187686749,0,0,0,1.0,0.993445187686749,0.993445187686749
No,1.437500,0.470588,0.9376521649104765,0,0,1,0.75,0.9376521649104765,0.9376521649104765
Yes,0.736842,0.263158,0.9056313313411032,0,0,1,0.75,0.9056313313411032,0.9056313313411032
Yes,0.818182,0.217391,0.9980098579079693,0,0,1,0.8,0.9980098579079693,0.9980098579079693
Yes,0.869565,0.130435,0.9562854349042493,0,0,0,1.0,0.9562854349042493,0.9562854349042493
Yes,0.772727,0.227273,0.9020487418711408,0,0,3,0.0,0.9020487418711408,0.9020487418711408
Yes,1.181818,0.166667,0.9162018976694706,0,0,2,0.5,0.9162018976694706,0.9162018976694706
Yes,1.043478,0.043478,0.9176503694492147,0,0,0,1.0,0.9176503694492147,0.9176503694492147
Yes,1.384615,0.384615,0.7806589178551957,0,0,4,0.2,0.7806589178551957,0.7806589178551957
No,1.176471,0.105263,0.9944918359804741,0,0,3,0.4,0.9944918359804741,0.9944918359804741
Yes,0.863636,0.086957,0.960323674810861,0,0,3,0.4,0.960323674810861,0.960323674810861
Yes,1.050000,0.000000,0.9932395080183312,0,0,3,0.0,0.9932395080183312,0.9932395080183312
No,0.611111,0.388889,0.6682266393046463,0,0,1,0.5,0.6682266393046463,0.6682266393046463
Yes,1.272727,0.416667,0.9434712742674143,0,0,1,0.0,0.9434712742674143,0.9434712742674143
Yes,1.000000,0.038462,0.9904676402765443,0,0,2,0.5,0.9904676402765443,0.9904676402765443
No,0.708333,0.307692,0.9542101401466421,0,0,5,0.16666666666666666,0.9542101401466421,0.9542101401466421
No,0.705882,0.294118,0.7794468000296112,1,1,8,0.1111111111111111,0.7794468000296112,0.7794468000296112
No,0.785714,0.214286,0.878382021454858,0,0,1,0.5,0.878382021454858,0.878382021454858
Yes,0.952381,0.041667,0.9664171334311964,0,0,2,0.0,0.9664171334311964,0.9664171334311964
No,0.800000,0.190476,0.8356268641857046,0,0,1,0.75,0.8356268641857046,0.8356268641857046
No,0.650000,0.409091,0.9801984896660767,0,0,3,0.0,0.9801984896660767,0.9801984896660767
Yes,1.187500,0.222222,0.881781395904351,0,0,0,1.0,0.881781395904351,0.881781395904351
Yes,1.166667,0.250000,0.9319051134173242,0,0,2,0.3333333333333333,0.9319051134173242,0.9319051134173242
Yes,0.916667,0.080000,0.9143763699579862,0,0,2,0.3333333333333333,0.9143763699579862,0.9143763699579862
Yes,0.800000,0.200000,0.8524582350518954,0,0,2,0.0,0.8524582350518954,0.8524582350518954
No,1.318182,0.304348,0.9058460571920914,0,0,5,0.0,0.9058460571920914,0.9058460571920914
Yes,0.952381,0.000000,0.988597817986361,0,0,7,0.2222222222222222,0.988597817986361,0.988597817986361
Yes,1.000000,0.000000,0.9993402987355089,0,0,2,0.7142857142857143,0.9993402987355089,0.9993402987355089
Yes,1.142857,0.142857,0.8963889436428282,0,0,1,0.8333333333333334,0.8963889436428282,0.8963889436428282
Yes,0.916667,0.083333,0.7716752004777814,0,0,4,0.0,0.7716752004777814,0.7716752004777814
Yes,1.052632,0.000000,0.9766322552300495,0,0,0,1.0,0.9766322552300495,0.9766322552300495
Yes,0.750000,0.250000,0.9373416564392121,0,0,2,0.0,0.9373416564392121,0.9373416564392121
Yes,0.818182,0.181818,0.9463387541983667,0,0,0,1.0,0.9463387541983667,0.9463387541983667
Yes,1.000000,0.000000,0.9926232707935989,0,0,1,0.5,0.9926232707935989,0.9926232707935989
Yes,0.892857,0.103448,0.9673058535531948,0,0,1,0.8,0.9673058535531948,0.9673058535531948
Yes,1.086957,0.125000,0.9814961730337886,0,0,4,0.0,0.9814961730337886,0.9814961730337886
No,0.750000,0.250000,0.8022253566750789,0,0,2,0.5,0.8022253566750789,0.8022253566750789
Yes,1.100000,0.142857,0.9546079511223124,0,0,1,0.8,0.9546079511223124,0.9546079511223124
No,0.733333,0.388889,0.9489184452771706,0,0,0,1.0,0.9489184452771706,0.9489184452771706
No,1.000000,0.095238,0.7810148328138107,0,0,15,0.0,0.7810148328138107,0.7810148328138107
Yes,0.928571,0.071429,0.9128977410048783,0,0,4,0.2,0.9128977410048783,0.9128977410048783
Yes,0.875000,0.038462,0.9476582086666567,0,0,1,0.5,0.9476582086666567,0.9476582086666567
Yes,0.947368,0.095238,0.9808888022085103,0,0,0,1.0,0.9808888022085103,0.9808888022085103
Yes,1.133333,0.000000,0.984031221312003,0,0,0,1.0,0.984031221312003,0.984031221312003
Yes,0.818182,0.166667,0.9080697130828911,0,0,2,0.0,0.9080697130828911,0.9080697130828911
No,1.076923,0.076923,0.9575367334711162,0,0,6,0.3333333333333333,0.9575367334711162,0.9575367334711162
No,0.928571,0.187500,0.967302346780376,0,0,4,0.3333333333333333,0.967302346780376,0.967302346780376
No,1.214286,0.214286,0.6848297882610276,0,0,12,0.07692307692307693,0.6848297882610276,0.6848297882610276
Yes,0.947368,0.050000,0.9248028252240733,0,0,3,0.625,0.9248028252240733,0.9248028252240733
No,1.214286,0.214286,0.9180718084190863,0,0,11,0.15384615384615385,0.9180718084190863,0.9180718084190863
No,0.687500,0.294118,0.9344842097164503,0,0,2,0.6666666666666666,0.9344842097164503,0.9344842097164503
Yes,1.000000,0.000000,0.8222881253569114,0,0,7,0.125,0.8222881253569114,0.8222881253569114
No,1.187500,0.250000,0.7889569832181881,0,0,1,0.0,0.7889569832181881,0.7889569832181881
No,1.076923,0.230769,0.8938142471329097,0,0,1,0.0,0.8938142471329097,0.8938142471329097
Yes,1.130435,0.125000,0.9958216527019276,0,0,5,0.2857142857142857,0.9958216527019276,0.9958216527019276
Yes,0.823529,0.222222,0.9471837550732302,0,0,8,0.1111111111111111,0.9471837550732302,0.9471837550732302
No,1.076923,0.153846,0.8379132716743863,0,0,4,0.2,0.8379132716743863,0.8379132716743863
Yes,0.923077,0.037037,0.9821592840478302,0,0,3,0.5,0.9821592840478302,0.9821592840478302
Yes,1.166667,0.150000,0.9692331650895172,0,0,5,0.2857142857142857,0.9692331650895172,0.9692331650895172
Yes,1.250000,0.250000,0.9380901620348547,0,0,0,1.0,0.9380901620348547,0.9380901620348547
Yes,1.083333,0.083333,0.8226727030255652,0,0,0,1.0,0.8226727030255652,0.8226727030255652
No,0.636364,0.363636,0.992176272238905,0,0,1,0.6666666666666666,0.992176272238905,0.992176272238905
Yes,0.722222,0.315789,0.8518926881542936,0,0,1,0.5,0.8518926881542936,0.8518926881542936
Yes,1.000000,0.000000,0.6816836068800155,0,0,2,0.0,0.6816836068800155,0.6816836068800155
Yes,0.954545,0.041667,0.9812735448311277,0,0,0,1.0,0.9812735448311277,0.9812735448311277
Yes,0.952381,0.047619,0.9582318148256277,0,0,4,0.3333333333333333,0.9582318148256277,0.9582318148256277
Yes,1.043478,0.043478,0.886308592392336,0,0,2,0.6,0.886308592392336,0.886308592392336
Yes,0.954545,0.040000,0.97406062696754,0,0,6,0.4,0.97406062696754,0.97406062696754
No,1.428571,0.428571,0.9359594058832684,0,0,8,0.2,0.9359594058832684,0.9359594058832684
No,1.266667,0.266667,0.8600525758520845,0,0,13,0.07142857142857142,0.8600525758520845,0.8600525758520845
Yes,1.066667,0.062500,0.8106661209435153,0,0,0,1.0,0.8106661209435153,0.8106661209435153
No,1.133333,0.333333,0.9131722071561773,0,0,12,0.14285714285714285,0.9131722071561773,0.9131722071561773
Yes,1.294118,0.294118,0.990272359640828,0,0,4,0.42857142857142855,0.990272359640828,0.990272359640828
No,0.809524,0.190476,0.9920422730006212,0,0,9,0.1,0.9920422730006212,0.9920422730006212
Yes,0.928571,0.068966,0.9972678301779824,0,0,0,1.0,0.9972678301779824,0.9972678301779824
Yes,1.000000,0.038462,0.9905544799263829,0,0,2,0.6,0.9905544799263829,0.9905544799263829
Yes,1.000000,0.000000,0.9392766074034538,0,0,5,0.2857142857142857,0.9392766074034538,0.9392766074034538
Yes,1.190476,0.217391,0.9474309591130831,0,0,1,0.5,0.9474309591130831,0.9474309591130831
No,1.157895,0.100000,0.9727904981354907,0,0,1,0.0,0.9727904981354907,0.9727904981354907
Yes,1.300000,0.300000,0.9863943350523616,0,0,1,0.0,0.9863943350523616,0.9863943350523616
Yes,1.105263,0.090909,0.9421335922154549,0,0,1,0.5,0.9421335922154549,0.9421335922154549
Yes,1.350000,0.400000,0.9490395402108571,0,0,0,1.0,0.9490395402108571,0.9490395402108571
Yes,1.047619,0.238095,0.985054972073409,0,0,0,1.0,0.985054972073409,0.985054972073409
Yes,0.956522,0.043478,0.9750087304969289,0,0,0,1.0,0.9750087304969289,0.9750087304969289
Yes,0.863636,0.173913,0.9999999925132812,0,0,0,1.0,0.9999999925132812,0.9999999925132812
No,1.125000,0.050000,0.811215627318035,0,0,4,0.5,0.811215627318035,0.811215627318035
No,1.307692,0.333333,0.9565406180959083,0,0,1,0.0,0.9565406180959083,0.9565406180959083
Yes,1.153846,0.153846,0.9730353097379745,0,0,4,0.0,0.9730353097379745,0.9730353097379745
Yes,0.800000,0.185185,0.9677828931112694,0,0,1,0.0,0.9677828931112694,0.9677828931112694
Yes,1.058824,0.117647,0.9794310102941501,0,0,1,0.6666666666666666,0.9794310102941501,0.9794310102941501
Yes,1.157895,0.210526,0.961598548778077,0,0,5,0.375,0.961598548778077,0.961598548778077
No,1.153846,0.230769,0.8940789944280031,0,0,2,0.0,0.8940789944280031,0.8940789944280031
Yes,1.300000,0.300000,0.9794370867816579,0,0,0,1.0,0.9794370867816579,0.9794370867816579
Yes,1.000000,0.000000,0.9442742858056539,0,0,0,1.0,0.9442742858056539,0.9442742858056539
No,1.333333,0.176471,0.9811520542634001,0,0,0,1.0,0.9811520542634001,0.9811520542634001
Yes,1.000000,0.000000,0.7930934001941211,0,0,1,0.0,0.7930934001941211,0.7930934001941211
Yes,0.909091,0.043478,0.929927280228412,0,0,2,0.5,0.929927280228412,0.929927280228412
Yes,1.045455,0.045455,0.9844201834137383,0,0,0,1.0,0.9844201834137383,0.9844201834137383
No,1.153846,0.153846,0.8220484867766413,0,0,9,0.25,0.8220484867766413,0.8220484867766413
Yes,1.187500,0.117647,0.9645949437701035,0,0,2,0.6,0.9645949437701035,0.9645949437701035
No,1.000000,0.000000,0.9023626630004842,0,0,1,0.5,0.9023626630004842,0.9023626630004842
Yes,1.272727,0.363636,0.8852651847023648,0,0,4,0.3333333333333333,0.8852651847023648,0.8852651847023648
Yes,1.142857,0.190476,0.9328309005711405,0,0,2,0.5,0.9328309005711405,0.9328309005711405
Yes,1.055556,0.100000,0.9142575749362756,1,1,0,1.0,0.9142575749362756,0.9142575749362756
Yes,0.809524,0.166667,0.9976008680596244,0,0,0,1.0,0.9976008680596244,0.9976008680596244
No,0.913043,0.142857,0.9889254788850664,0,0,2,0.5,0.9889254788850664,0.9889254788850664
Yes,0.952381,0.047619,0.9546086180861381,0,0,2,0.6,0.9546086180861381,0.9546086180861381
Yes,1.285714,0.285714,0.9268133923634737,0,0,1,0.0,0.9268133923634737,0.9268133923634737
No,1.076923,0.153846,0.9864403506633606,0,0,0,1.0,0.9864403506633606,0.9864403506633606
Yes,0.681818,0.291667,0.9387286538938379,0,0,1,0.75,0.9387286538938379,0.9387286538938379
Yes,0.888889,0.055556,0.9586073479906786,0,0,2,0.6,0.9586073479906786,0.9586073479906786
Yes,0.809524,0.227273,0.9316045052381855,0,0,1,0.0,0.9316045052381855,0.9316045052381855
Yes,0.888889,0.157895,0.9071725835160658,0,0,0,1.0,0.9071725835160658,0.9071725835160658
Yes,0.750000,0.222222,0.9891717435637328,0,0,0,1.0,0.9891717435637328,0.9891717435637328
Yes,0.823529,0.176471,0.8778734218244525,0,0,0,1.0,0.8778734218244525,0.8778734218244525
Yes,1.357143,0.428571,0.9728823082802697,0,0,6,0.25,0.9728823082802697,0.9728823082802697
No,1.222222,0.200000,0.6698280402707864,0,0,1,0.0,0.6698280402707864,0.6698280402707864
Yes,1.222222,0.333333,0.9890479492015659,0,0,1,0.75,0.9890479492015659,0.9890479492015659
Yes,0.700000,0.300000,0.9175434628649454,0,0,1,0.5,0.9175434628649454,0.9175434628649454
Yes,1.166667,0.166667,0.8446689441098805,0,0,2,0.5,0.8446689441098805,0.8446689441098805
Yes,0.894737,0.100000,0.9742381550065757,0,0,1,0.5,0.9742381550065757,0.9742381550065757
No,1.071429,0.117647,0.9436115947489396,0,0,8,0.0,0.9436115947489396,0.9436115947489396
Yes,0.730769,0.333333,0.9816973661897795,0,0,1,0.8,0.9816973661897795,0.9816973661897795
Yes,1.190476,0.083333,0.9899221458244872,0,0,0,1.0,0.9899221458244872,0.9899221458244872
Yes,1.111111,0.111111,0.932271500411324,0,0,0,1.0,0.932271500411324,0.932271500411324
Yes,0.909091,0.086957,0.8752735371278824,0,0,3,0.4,0.8752735371278824,0.8752735371278824
Yes,1.058824,0.105263,0.937287125634225,0,0,0,1.0,0.937287125634225,0.937287125634225
Yes,0.904762,0.045455,0.9837756353747963,0,0,3,0.4,0.9837756353747963,0.9837756353747963
Yes,1.043478,0.083333,0.9966230256114895,0,0,0,1.0,0.9966230256114895,0.9966230256114895
Yes,0.821429,0.172414,0.9069840252595608,0,0,4,0.3333333333333333,0.9069840252595608,0.9069840252595608
No,0.933333,0.066667,0.69827860130053,0,0,4,0.3333333333333333,0.69827860130053,0.69827860130053
Yes,1.133333,0.133333,0.8059885354174312,1,1,3,0.25,0.8059885354174312,0.8059885354174312
No,1.000000,0.200000,0.9637676978251316,0,0,7,0.125,0.9637676978251316,0.9637676978251316
Yes,0.916667,0.076923,0.9985459075227999,0,0,1,0.5,0.9985459075227999,0.9985459075227999
Yes,0.800000,0.238095,0.9383910753137501,0,0,2,0.6666666666666666,0.9383910753137501,0.9383910753137501
Yes,1.125000,0.176471,0.8927921869792622,0,0,4,0.2,0.8927921869792622,0.8927921869792622
Yes,0.904762,0.125000,0.9222658745364823,0,0,2,0.3333333333333333,0.9222658745364823,0.9222658745364823
Yes,1.375000,0.352941,0.8598770380445482,0,0,3,0.5,0.8598770380445482,0.8598770380445482
Yes,0.900000,0.000000,0.8776351944083305,0,0,2,0.7142857142857143,0.8776351944083305,0.8776351944083305
Yes,1.040000,0.040000,0.9586292352353826,0,0,1,0.8571428571428571,0.9586292352353826,0.9586292352353826
No,0.636364,0.363636,0.8295302061947983,0,0,6,0.14285714285714285,0.8295302061947983,0.8295302061947983
Yes,0.913043,0.076923,0.9996402113589544,0,0,0,1.0,0.9996402113589544,0.9996402113589544
No,0.846154,0.076923,0.9617255326259952,0,0,2,0.6,0.9617255326259952,0.9617255326259952
Yes,0.809524,0.260870,0.8145458178743756,0,0,1,0.5,0.8145458178743756,0.8145458178743756
No,1.000000,0.000000,0.8794303600223108,0,0,4,0.0,0.8794303600223108,0.8794303600223108
Yes,1.083333,0.083333,0.7266493866530612,0,0,8,0.1111111111111111,0.7266493866530612,0.7266493866530612
Yes,1.062500,0.125000,0.996006259172791,0,0,1,0.75,0.996006259172791,0.996006259172791
No,0.800000,0.200000,0.8039588845196936,0,0,0,1.0,0.8039588845196936,0.8039588845196936
Yes,1.000000,0.000000,0.8953008386734879,0,0,0,1.0,0.8953008386734879,0.8953008386734879
Yes,1.000000,0.043478,0.9918939277351407,0,0,3,0.4,0.9918939277351407,0.9918939277351407
Yes,1.062500,0.055556,0.6475340349075221,0,0,3,0.4,0.6475340349075221,0.6475340349075221
Yes,0.846154,0.153846,0.975756323078238,0,0,0,1.0,0.975756323078238,0.975756323078238
Yes,1.071429,0.071429,0.9416396768534895,0,0,1,0.75,0.9416396768534895,0.9416396768534895
Yes,1.052632,0.047619,0.9656993842762435,1,1,1,0.6666666666666666,0.9656993842762435,0.9656993842762435
Yes,1.285714,0.285714,0.7478065134342774,0,0,0,1.0,0.7478065134342774,0.7478065134342774
Yes,1.210526,0.142857,0.8912486748065133,0,0,2,0.3333333333333333,0.8912486748065133,0.8912486748065133
Yes,1.250000,0.312500,0.9616953013029108,0,0,0,1.0,0.9616953013029108,0.9616953013029108
Yes,1.285714,0.227273,0.9091176567893063,0,0,2,0.6666666666666666,0.9091176567893063,0.9091176567893063
Yes,1.040000,0.000000,0.935132049890237,0,0,1,0.0,0.935132049890237,0.935132049890237
Yes,1.100000,0.095238,0.9233086996496918,0,0,3,0.25,0.9233086996496918,0.9233086996496918
Yes,1.500000,0.555556,0.870703673792601,0,0,3,0.25,0.870703673792601,0.870703673792601
Yes,1.117647,0.210526,0.9849978618309226,0,0,0,1.0,0.9849978618309226,0.9849978618309226
No,0.750000,0.296296,0.9339765118667599,0,0,5,0.2857142857142857,0.9339765118667599,0.9339765118667599
Yes,1.416667,0.384615,0.9628213314380665,0,0,0,1.0,0.9628213314380665,0.9628213314380665
No,1.066667,0.133333,0.9782568410453496,0,0,9,0.1,0.9782568410453496,0.9782568410453496
Yes,1.086957,0.217391,0.9644560483034423,0,0,1,0.6666666666666666,0.9644560483034423,0.9644560483034423
No,0.937500,0.000000,0.9347288863841597,0,0,9,0.0,0.9347288863841597,0.9347288863841597
Yes,0.812500,0.187500,0.9035205115422486,0,0,4,0.2,0.9035205115422486,0.9035205115422486
Yes,0.947368,0.166667,0.9965011511524032,0,0,0,1.0,0.9965011511524032,0.9965011511524032
Yes,1.086957,0.083333,0.9961020669345365,0,0,1,0.75,0.9961020669345365,0.9961020669345365
Yes,1.357143,0.357143,0.9480455381648346,0,0,1,0.0,0.9480455381648346,0.9480455381648346
Yes,0.884615,0.200000,0.9515904007905299,0,0,0,1.0,0.9515904007905299,0.9515904007905299
Yes,1.043478,0.083333,0.9710195869092809,0,0,4,0.2,0.9710195869092809,0.9710195869092809
No,0.869565,0.086957,0.9615053460545069,0,0,4,0.42857142857142855,0.9615053460545069,0.9615053460545069
Yes,0.909091,0.130435,0.9886729067833103,0,0,3,0.7272727272727273,0.9886729067833103,0.9886729067833103
No,1.333333,0.333333,0.93721696921258,0,0,7,0.0,0.93721696921258,0.93721696921258
Yes,1.142857,0.125000,0.949209368260134,0,0,2,0.0,0.949209368260134,0.949209368260134
No,0.812500,0.235294,0.8380763734321436,0,0,1,0.0,0.8380763734321436,0.8380763734321436
Yes,0.944444,0.043478,0.9748828586546173,0,0,2,0.5,0.9748828586546173,0.9748828586546173
Yes,0.812500,0.222222,0.7894285777487006,0,0,1,0.0,0.7894285777487006,0.7894285777487006
Yes,1.052632,0.000000,0.8926375212667491,0,0,1,0.0,0.8926375212667491,0.8926375212667491
Yes,1.055556,0.105263,0.8612317841511629,0,0,0,1.0,0.8612317841511629,0.8612317841511629
Yes,0.761905,0.280000,0.9531180129518574,0,0,0,1.0,0.9531180129518574,0.9531180129518574
No,0.888889,0.111111,0.8958866065990003,0,0,5,0.375,0.8958866065990003,0.8958866065990003
No,1.166667,0.190476,0.9495325509749472,0,0,0,1.0,0.9495325509749472,0.9495325509749472
Yes,1.041667,0.037037,0.9747850380095834,0,0,2,0.3333333333333333,0.9747850380095834,0.9747850380095834
Yes,0.666667,0.333333,0.8698369994168135,0,0,2,0.3333333333333333,0.8698369994168135,0.8698369994168135
No,0.875000,0.176471,0.8841135248538837,0,0,5,0.375,0.8841135248538837,0.8841135248538837
No,1.117647,0.411765,0.8252023600993803,0,0,4,0.3333333333333333,0.8252023600993803,0.8252023600993803
Yes,1.000000,0.043478,0.9814274573014944,0,0,2,0.0,0.9814274573014944,0.9814274573014944
Yes,0.833333,0.210526,0.8883619485538221,0,0,2,0.0,0.8883619485538221,0.8883619485538221
No,0.714286,0.285714,0.8979577992546789,0,0,1,0.75,0.8979577992546789,0.8979577992546789
Yes,0.842105,0.105263,0.9554535960032053,1,1,0,1.0,0.9554535960032053,0.9554535960032053
Yes,1.214286,0.285714,0.9935145799535927,0,0,3,0.25,0.9935145799535927,0.9935145799535927
No,0.684211,0.315789,0.8864381845589103,0,0,2,0.0,0.8864381845589103,0.8864381845589103
Yes,0.733333,0.352941,0.9481165668182103,0,0,4,0.2,0.9481165668182103,0.9481165668182103
Yes,1.272727,0.363636,0.9711536317725837,0,0,0,1.0,0.9711536317725837,0.9711536317725837
Yes,1.045455,0.000000,0.9999971818646038,0,0,0,1.0,0.9999971818646038,0.9999971818646038
Yes,1.086957,0.080000,0.9419713730214038,0,0,5,0.5454545454545454,0.9419713730214038,0.9419713730214038
No,1.500000,0.500000,0.7918672410750598,0,0,2,0.0,0.7918672410750598,0.7918672410750598
Yes,1.384615,0.400000,0.9429211055541183,0,0,4,0.2,0.9429211055541183,0.9429211055541183
Yes,0.714286,0.266667,0.9769012021656323,0,0,0,1.0,0.9769012021656323,0.9769012021656323
Yes,0.846154,0.076923,0.9070431703902896,2,0,1,0.5,0.9070431703902896,0.9070431703902896
No,1.235294,0.352941,0.9810539772707311,0,0,14,0.0,0.9810539772707311,0.9810539772707311
No,0.807692,0.185185,0.9013042610314803,0,0,0,1.0,0.9013042610314803,0.9013042610314803
Yes,1.083333,0.166667,0.9891586785040062,0,0,0,1.0,0.9891586785040062,0.9891586785040062
Yes,1.000000,0.038462,0.9541340450586155,0,0,1,0.6666666666666666,0.9541340450586155,0.9541340450586155
No,1.416667,0.416667,0.8158147764214146,0,0,4,0.2,0.8158147764214146,0.8158147764214146
Yes,0.733333,0.266667,0.8755895796791686,0,0,2,0.0,0.8755895796791686,0.8755895796791686
Yes,0.956522,0.000000,0.9841466840973272,0,0,2,0.5,0.9841466840973272,0.9841466840973272
Yes,1.133333,0.133333,0.9147894665740302,0,0,3,0.25,0.9147894665740302,0.9147894665740302
Yes,1.357143,0.428571,0.7198535361212016,0,0,1,0.0,0.7198535361212016,0.7198535361212016
No,0.941176,0.058824,0.8688332668640734,0,0,3,0.5,0.8688332668640734,0.8688332668640734
No,1.000000,0.000000,0.9301712408906153,0,0,3,0.6666666666666666,0.9301712408906153,0.9301712408906153
Yes,0.687500,0.176471,0.8098096624818628,0,0,0,1.0,0.8098096624818628,0.8098096624818628
Yes,1.000000,0.055556,0.8362083766164575,0,0,4,0.2,0.8362083766164575,0.8362083766164575
Yes,0.958333,0.000000,0.8955788489089971,0,0,0,1.0,0.8955788489089971,0.8955788489089971
Yes,0.842105,0.181818,0.9949964076519303,0,0,2,0.3333333333333333,0.9949964076519303,0.9949964076519303
Yes,1.105263,0.100000,0.9482968392917622,0,0,3,0.4,0.9482968392917622,0.9482968392917622
Yes,1.111111,0.157895,0.9748931378321708,0,0,0,1.0,0.9748931378321708,0.9748931378321708
No,1.100000,0.047619,0.8660311484316259,0,0,7,0.2222222222222222,0.8660311484316259,0.8660311484316259
Yes,1.050000,0.100000,0.9642239435199311,0,0,4,0.3333333333333333,0.9642239435199311,0.9642239435199311
No,0.666667,0.333333,0.8791632551131289,0,0,1,0.0,0.8791632551131289,0.8791632551131289
Yes,0.850000,0.142857,0.9575091269975409,0,0,0,1.0,0.9575091269975409,0.9575091269975409
Yes,1.166667,0.277778,0.967496589744312,0,0,1,0.8,0.967496589744312,0.967496589744312
Yes,1.130435,0.115385,0.9526209285449858,0,0,2,0.75,0.9526209285449858,0.9526209285449858
