quality,unique_words,length_ratio,sim_0,negations,neg_parity,unusuals_0,unusual_ratio_0,sim_1,unusuals_1,unusual_ratio_1,sim_2,unusuals_2,unusual_ratio_2,sim_3,unusuals_3,unusual_ratio_3,sim_4,unusuals_4,unusual_ratio_4,max_sim,min_sim,text
No,1.3125,0.3125,0.905184759,0,0,3,0,0.689495782,8,0.384615385,0.990183244,4,0,0.802449156,4,0,0.783860669,4,0,0.990183244,0.689495782,31
Yes,0.85,0.227273,0.899718628,0,0,3,0.25,0.811106578,3,0.571428571,0.953659782,4,0.2,0.954603721,4,0.2,0.912403825,4,0.2,0.954603721,0.811106578,32
Yes,0.777778,0.222222,0.920752753,0,0,0,1,0.795141859,1,0.75,0.944700968,1,0.666666667,0.978647183,1,0.666666667,0.974221956,1,0.666666667,0.978647183,0.795141859,33
No,0.647059,0.294118,0.929340164,1,1,1,0,0.828508348,1,0,0.816301623,1,0,0.90290892,1,0,0.844006313,1,0,0.929340164,0.816301623,34
Yes,1.333333,0.333333,0.745510329,0,0,1,0,0.725701242,1,0,0.972732462,2,0,0.893492678,2,0,0.828238577,2,0,0.972732462,0.725701242,35
Yes,0.866667,0.133333,0.915163203,0,0,0,1,0.765816921,7,0.3,0.933265716,1,0.75,0.967623406,1,0.75,0.943104948,1,0.75,0.967623406,0.765816921,36
No,0.928571,0.071429,0.818912337,0,0,4,0,0.618374053,6,0,0.902538551,5,0,0.968678157,5,0,0.93523286,5,0,0.968678157,0.618374053,37
Yes,0.933333,0.066667,0.919838634,0,0,1,0.666666667,0.888366746,1,0.8,0.99827033,2,0.6,0.975478889,2,0.6,0.971736013,2,0.6,0.99827033,0.888366746,38
Yes,1,0,0.993333421,0,0,1,0.8,0.99274855,1,0.9,0.997811253,1,0.833333333,0.991390722,1,0.833333333,0.990478788,1,0.833333333,0.997811253,0.990478788,39
Yes,1.444444,0.444444,0.906369514,0,0,0,1,0.737859668,2,0,0.886761293,1,0,0.838558532,1,0,0.844249099,1,0,0.906369514,0.737859668,40
Yes,0.896552,0.103448,0.972793057,0,0,0,1,0.899128916,2,0.5,0.898594793,1,0.8,0.996800982,1,0.8,0.996045457,1,0.8,0.996800982,0.898594793,41
No,1.2,0.2,0.865084297,0,0,1,0,0.719902675,2,0,0.812805377,3,0.25,0.855022752,3,0.25,0.852295179,3,0.25,0.865084297,0.719902675,42
Yes,1.1875,0.235294,0.945017021,0,0,0,1,0.909233777,0,1,0.999313024,1,0,0.973746148,1,0,0.887947528,1,0,0.999313024,0.887947528,43
No,1,0.1,0.777527975,0,0,7,0.222222222,0.731676987,8,0.2,0.985025829,7,0.222222222,0.944386862,7,0.222222222,0.944386862,7,0.222222222,0.985025829,0.731676987,44
Yes,0.944444,0.181818,0.933192952,0,0,5,0.5,0.88215941,6,0.454545455,0.824159766,5,0.5,0.992055725,5,0.5,0.963260653,5,0.5,0.992055725,0.824159766,45
Yes,0.913043,0.086957,0.977911096,0,0,0,1,0.921572797,2,0.777777778,0.953495363,0,1,0.993592009,0,1,0.99904186,0,1,0.99904186,0.921572797,46
No,1.4375,0.470588,0.914503185,0,0,0,1,0.748349549,0,1,0.929733125,1,0.75,0.963819367,1,0.75,0.985927876,1,0.75,0.985927876,0.748349549,47
Yes,0.736842,0.263158,0.833430619,0,0,1,0.666666667,0.756325578,2,0.5,0.659635063,1,0.75,0.998625574,1,0.75,0.948838288,1,0.75,0.998625574,0.659635063,48
Yes,0.818182,0.217391,0.961884764,0,0,1,0.75,0.940463434,1,0.857142857,0.999099475,1,0.8,0.990276948,1,0.8,0.943409386,1,0.8,0.999099475,0.940463434,49
Yes,0.869565,0.130435,0.990776217,0,0,0,1,0.949995383,0,1,0.982014868,0,1,0.981562137,0,1,0.984260878,0,1,0.990776217,0.949995383,50
Yes,0.772727,0.227273,0.906652255,0,0,3,0,0.794854433,3,0,0.963361718,3,0,0.746793301,3,0,0.764456853,3,0,0.963361718,0.746793301,51
Yes,1.181818,0.166667,0.860394471,0,0,1,0.666666667,0.85313623,1,0.666666667,0.923058317,2,0.5,0.906643185,2,0.5,0.771549037,2,0.5,0.923058317,0.771549037,52
Yes,1.043478,0.043478,0.99994896,0,0,0,1,0.952268934,0,1,0.983311956,0,1,1,0,1,1,0,1,1,0.952268934,53
Yes,1.384615,0.384615,0.87565132,0,0,4,0.2,0.754926614,5,0.444444444,0.919385727,4,0.2,0.869638138,4,0.2,0.914591169,4,0.2,0.919385727,0.754926614,54
No,1.176471,0.105263,0.841025657,0,0,3,0.25,0.799434391,4,0.2,0.937086701,3,0.4,0.944266575,3,0.4,0.938600426,3,0.4,0.944266575,0.799434391,55
Yes,0.863636,0.086957,0.897327368,0,0,1,0.666666667,0.850626649,3,0.666666667,0.858135079,3,0.4,0.852921474,3,0.4,0.93846627,3,0.4,0.93846627,0.850626649,56
Yes,1.05,0,0.945781136,0,0,3,0,0.839291326,5,0.166666667,0.941937566,3,0,0.910169812,3,0,0.943662051,3,0,0.945781136,0.839291326,57
No,0.611111,0.388889,0.888090051,0,0,1,0,0.687875917,2,0.5,0.815841455,1,0.5,0.871960526,1,0.5,0.938541996,1,0.5,0.938541996,0.687875917,58
Yes,1.272727,0.416667,0.915129583,0,0,0,1,0.805311762,0,1,0.926662631,1,0,0.921196594,1,0,0.85387514,1,0,0.926662631,0.805311762,59
Yes,1,0.038462,0.939201816,0,0,2,0.5,0.827343843,3,0.571428571,0.976714778,2,0.5,0.995279243,2,0.5,0.990977435,2,0.5,0.995279243,0.827343843,60
No,0.708333,0.307692,0.86302759,0,0,1,0.5,0.764947059,2,0.666666667,0.906444521,5,0.166666667,0.88210906,5,0.166666667,0.844344405,5,0.166666667,0.906444521,0.764947059,61
No,0.705882,0.294118,0.88576363,1,1,8,0,0.731346677,8,0,0.916282513,8,0.111111111,0.999915992,8,0.111111111,0.999999741,8,0.111111111,0.999999741,0.731346677,62
No,0.785714,0.214286,0.844818016,0,0,1,0.5,0.792446484,4,0.428571429,0.713254217,1,0.5,0.879034803,1,0.5,0.788684397,1,0.5,0.879034803,0.713254217,63
Yes,0.952381,0.041667,0.870608216,0,0,1,0,0.866824864,2,0.5,0.94947342,2,0,0.942650985,2,0,0.969596884,2,0,0.969596884,0.866824864,64
No,0.8,0.190476,0.884111912,0,0,1,0.75,0.77053485,4,0.428571429,0.894712914,1,0.75,0.993052478,1,0.75,0.906354244,1,0.75,0.993052478,0.77053485,65
No,0.65,0.409091,0.925382069,0,0,1,0,0.839631632,2,0.8,0.970688283,3,0,0.812443171,3,0,0.862685388,3,0,0.970688283,0.812443171,66
Yes,1.1875,0.222222,0.878815239,0,0,0,1,0.788126424,1,0.666666667,0.879865152,0,1,0.98599406,0,1,0.946404024,0,1,0.98599406,0.788126424,67
Yes,1.166667,0.25,0.825915827,0,0,2,0.333333333,0.833350988,2,0.5,0.954541637,2,0.333333333,0.965491232,2,0.333333333,0.941803901,2,0.333333333,0.965491232,0.825915827,68
Yes,0.916667,0.08,0.88064555,0,0,0,1,0.787839213,1,0.875,0.838140261,2,0.333333333,0.937834733,2,0.333333333,0.899893653,2,0.333333333,0.937834733,0.787839213,69
Yes,0.8,0.2,0.862125744,0,0,1,0,0.850766295,2,0.714285714,0.888883324,2,0,0.682808334,2,0,0.640591595,2,0,0.888883324,0.640591595,70
No,1.318182,0.304348,0.882969355,0,0,0,1,0.80837508,0,1,0.844663161,5,0,0.932173633,5,0,0.942425579,5,0,0.942425579,0.80837508,71
Yes,0.952381,0,0.88948768,0,0,0,1,0.808630038,0,1,0.998468191,7,0.222222222,0.992687517,7,0.222222222,0.991586532,7,0.222222222,0.998468191,0.808630038,72
Yes,1,0,0.981384838,0,0,2,0.333333333,0.965764424,4,0.555555556,0.999875426,2,0.714285714,0.997163704,2,0.714285714,0.994764424,2,0.714285714,0.999875426,0.965764424,73
Yes,1.142857,0.142857,0.971941116,0,0,0,1,0.826419007,0,1,0.847714649,1,0.833333333,0.951609492,1,0.833333333,0.972963479,1,0.833333333,0.972963479,0.826419007,74
Yes,0.916667,0.083333,0.749285793,0,0,0,1,0.565875644,1,0.8,0.513903837,4,0,0.918937058,4,0,0.89291571,4,0,0.918937058,0.513903837,75
Yes,1.052632,0,0.955848604,0,0,0,1,0.915971177,0,1,0.999809471,0,1,0.998212377,0,1,0.992669559,0,1,0.999809471,0.915971177,76
Yes,0.75,0.25,0.955540482,0,0,1,0,0.887876488,3,0,0.931095528,2,0,0.91871229,2,0,0.905799975,2,0,0.955540482,0.887876488,77
Yes,0.818182,0.181818,0.935299187,0,0,0,1,0.882488444,1,0.8,0.954680028,0,1,0.983482131,0,1,0.974666509,0,1,0.983482131,0.882488444,78
Yes,1,0,0.930384977,0,0,1,0,0.879528169,4,0.428571429,0.904621334,1,0.5,0.97939289,1,0.5,0.957813438,1,0.5,0.97939289,0.879528169,79
Yes,0.892857,0.103448,0.952234968,0,0,1,0.5,0.909734484,2,0.5,0.986361305,1,0.8,0.98748082,1,0.8,0.988272853,1,0.8,0.988272853,0.909734484,80
Yes,1.086957,0.125,0.914967038,0,0,3,0,0.843061903,6,0.333333333,0.878740293,4,0,0.922625162,4,0,0.878141425,4,0,0.922625162,0.843061903,81
No,0.75,0.25,0.878962674,0,0,0,1,0.679525355,5,0.545454545,0.891002568,2,0.5,0.962648415,2,0.5,0.922752827,2,0.5,0.962648415,0.679525355,82
Yes,1.1,0.142857,0.943087856,0,0,1,0.75,0.845534069,4,0.555555556,0.980019551,1,0.8,0.991384733,1,0.8,0.805530762,1,0.8,0.991384733,0.805530762,83
No,0.733333,0.388889,0.886159433,0,0,0,1,0.809026255,0,1,0.912700441,0,1,1,0,1,0.999998215,0,1,1,0.809026255,84
No,1,0.095238,0.870143444,0,0,15,0,0.713841738,19,0.095238095,0.946702014,15,0,0.990817364,15,0,0.986342555,15,0,0.990817364,0.713841738,85
Yes,0.928571,0.071429,0.82832255,0,0,1,0.5,0.767346238,2,0.333333333,0.805199503,4,0.2,0.927435535,4,0.2,0.904309051,4,0.2,0.927435535,0.767346238,86
Yes,0.875,0.038462,0.896807563,0,0,1,0,0.740275419,2,0,0.878770452,1,0.5,0.898592647,1,0.5,0.906353245,1,0.5,0.906353245,0.740275419,87
Yes,0.947368,0.095238,0.916644449,0,0,0,1,0.866574108,0,1,0.999850708,0,1,0.999402185,0,1,0.994923544,0,1,0.999850708,0.866574108,88
Yes,1.133333,0,0.928902719,0,0,0,1,0.812122692,1,0.666666667,0.99986658,0,1,0.999907023,0,1,0.99972082,0,1,0.999907023,0.812122692,89
Yes,0.818182,0.166667,0.931966936,0,0,1,0,0.906705478,1,0,0.857826804,2,0,0.90836901,2,0,0.865763753,2,0,0.931966936,0.857826804,90
No,1.076923,0.076923,0.876687487,0,0,6,0.25,0.800966861,6,0.5,0.815974509,6,0.333333333,0.998762567,6,0.333333333,0.989924914,6,0.333333333,0.998762567,0.800966861,91
No,0.928571,0.1875,0.874330914,0,0,4,0.333333333,0.708729011,6,0.25,0.965168647,4,0.333333333,0.988990416,4,0.333333333,0.973998957,4,0.333333333,0.988990416,0.708729011,92
No,1.214286,0.214286,0.908245209,0,0,11,0.083333333,0.731336752,16,0.111111111,0.855392938,12,0.076923077,0.975570389,12,0.076923077,0.968979972,12,0.076923077,0.975570389,0.731336752,93
Yes,0.947368,0.05,0.925989632,0,0,0,1,0.935543342,0,1,0.89804853,3,0.625,0.991176231,3,0.625,0.99440292,3,0.625,0.99440292,0.89804853,94
No,1.214286,0.214286,0.869012489,0,0,11,0.153846154,0.77327607,13,0.1875,0.852231899,11,0.153846154,0.965680841,11,0.153846154,0.916815425,11,0.153846154,0.965680841,0.77327607,95
No,0.6875,0.294118,0.92607259,0,0,1,0,0.795397661,2,0,0.898370754,2,0.666666667,0.975951561,2,0.666666667,0.933170963,2,0.666666667,0.975951561,0.795397661,96
Yes,1,0,0.908138736,0,0,7,0.125,0.749848926,11,0.214285714,0.844831785,7,0.125,0.97292319,7,0.125,0.976486973,7,0.125,0.976486973,0.749848926,97
No,1.1875,0.25,0.933718855,0,0,0,1,0.74671701,1,0.5,0.86592004,1,0,0.924246683,1,0,0.882454465,1,0,0.933718855,0.74671701,98
No,1.076923,0.230769,0.822755359,0,0,0,1,0.558829398,0,1,0.795060192,1,0,0.842912358,1,0,0.888542136,1,0,0.888542136,0.558829398,99
Yes,1.130435,0.125,0.981575572,0,0,0,1,0.971825704,0,1,0.992228734,5,0.285714286,0.992085009,5,0.285714286,0.992917912,5,0.285714286,0.992917912,0.971825704,100
Yes,0.823529,0.222222,0.777534019,0,0,7,0,0.731652094,8,0,0.89900376,8,0.111111111,0.935500254,8,0.111111111,0.981992953,8,0.111111111,0.981992953,0.731652094,101
No,1.076923,0.153846,0.782958082,0,0,0,1,0.654196098,0,1,0.734754449,4,0.2,0.90285666,4,0.2,0.905929978,4,0.2,0.905929978,0.654196098,102
Yes,0.923077,0.037037,0.93603788,0,0,3,0.5,0.850053413,4,0.555555556,0.96046526,3,0.5,0.995035509,3,0.5,0.987326441,3,0.5,0.995035509,0.850053413,103
Yes,1.166667,0.15,0.895632954,0,0,4,0,0.858453554,5,0,0.908348091,5,0.285714286,0.885988826,5,0.285714286,0.875647982,5,0.285714286,0.908348091,0.858453554,104
Yes,1.25,0.25,0.929269994,0,0,0,1,0.773082391,1,0.8,0.849945288,0,1,0.983145798,0,1,0.95527917,0,1,0.983145798,0.773082391,105
Yes,1.083333,0.083333,0.889915033,0,0,0,1,0.68137636,2,0.333333333,0.836298046,0,1,0.998962601,0,1,0.999791173,0,1,0.999791173,0.68137636,106
No,0.636364,0.363636,0.905094922,0,0,0,1,0.785774332,0,1,0.950555667,1,0.666666667,0.981501265,1,0.666666667,0.961412728,1,0.666666667,0.981501265,0.785774332,107
Yes,0.722222,0.315789,0.906012909,0,0,0,1,0.82939564,1,0.666666667,0.963580306,1,0.5,0.946532244,1,0.5,0.870812307,1,0.5,0.963580306,0.82939564,108
Yes,1,0,0.897108679,0,0,2,0,0.703042862,2,0,0.780247708,2,0,0.980008193,2,0,0.910478242,2,0,0.980008193,0.703042862,109
Yes,0.954545,0.041667,0.953224315,0,0,0,1,0.929102424,3,0.571428571,0.964527975,0,1,0.996283221,0,1,0.999154147,0,1,0.999154147,0.929102424,110
Yes,0.952381,0.047619,0.915810279,0,0,2,0.5,0.872876316,2,0.6,0.984258229,4,0.333333333,0.90448866,4,0.333333333,0.916267786,4,0.333333333,0.984258229,0.872876316,111
Yes,1.043478,0.043478,0.901943708,0,0,0,1,0.761054753,1,0.5,0.882972562,2,0.6,0.97721675,2,0.6,0.939246092,2,0.6,0.97721675,0.761054753,112
Yes,0.954545,0.04,0.899542663,0,0,6,0.25,0.819219626,10,0.230769231,0.950584485,6,0.4,0.986237998,6,0.4,0.985732534,6,0.4,0.986237998,0.819219626,113
No,1.428571,0.428571,0.888166046,0,0,8,0.2,0.767980554,9,0.307692308,0.999078464,8,0.2,0.987673543,8,0.2,0.933834242,8,0.2,0.999078464,0.767980554,114
No,1.266667,0.266667,0.839135018,0,0,11,0.083333333,0.758244634,14,0.125,0.865683901,13,0.071428571,0.978126997,13,0.071428571,0.963794786,13,0.071428571,0.978126997,0.758244634,115
Yes,1.066667,0.0625,0.930871552,0,0,0,1,0.725797509,0,1,0.831892303,0,1,0.942886753,0,1,0.936694035,0,1,0.942886753,0.725797509,116
No,1.133333,0.333333,0.887395944,0,0,12,0.142857143,0.791127013,14,0.222222222,0.853606525,12,0.142857143,0.995439658,12,0.142857143,0.994586198,12,0.142857143,0.995439658,0.791127013,117
Yes,1.294118,0.294118,0.934580783,0,0,3,0.5,0.932398969,3,0.5,0.989817868,4,0.428571429,0.980731162,4,0.428571429,0.927082372,4,0.428571429,0.989817868,0.927082372,118
No,0.809524,0.190476,0.858232126,0,0,9,0.1,0.824184962,10,0.090909091,0.898345183,9,0.1,0.980243538,9,0.1,0.992128062,9,0.1,0.992128062,0.824184962,119
Yes,0.928571,0.068966,0.96201369,0,0,0,1,0.916332082,0,1,0.990710398,0,1,0.999919452,0,1,0.998582316,0,1,0.999919452,0.916332082,120
Yes,1,0.038462,0.95610843,0,0,0,1,0.91878293,3,0.7,0.999551759,2,0.6,0.994033246,2,0.6,0.997245054,2,0.6,0.999551759,0.91878293,121
Yes,1,0,0.909251573,0,0,3,0,0.875092805,3,0,0.960100917,5,0.285714286,0.937549576,5,0.285714286,0.943927036,5,0.285714286,0.960100917,0.875092805,122
Yes,1.190476,0.217391,0.945200225,0,0,0,1,0.834140687,0,1,0.929030043,1,0.5,0.947508134,1,0.5,0.936966409,1,0.5,0.947508134,0.834140687,123
No,1.157895,0.1,0.871146156,0,0,0,1,0.776413364,0,1,0.87959781,1,0,0.907309152,1,0,0.905202094,1,0,0.907309152,0.776413364,124
Yes,1.3,0.3,0.860480231,0,0,0,1,0.699204219,0,1,0.829148899,1,0,0.902535188,1,0,0.888470521,1,0,0.902535188,0.699204219,125
Yes,1.105263,0.090909,0.936610682,0,0,1,0,0.904222285,2,0.6,0.99611687,1,0.5,0.975653482,1,0.5,0.965835859,1,0.5,0.99611687,0.904222285,126
Yes,1.35,0.4,0.945033577,0,0,0,1,0.911840958,1,0.5,0.977901324,0,1,0.992499657,0,1,0.978432649,0,1,0.992499657,0.911840958,127
Yes,1.047619,0.238095,0.942928265,0,0,0,1,0.847076864,3,0.4,0.941103235,0,1,0.998720821,0,1,0.913217803,0,1,0.998720821,0.847076864,128
Yes,0.956522,0.043478,0.962295031,0,0,0,1,0.890874422,2,0.6,0.999895259,0,1,0.977062728,0,1,0.936832539,0,1,0.999895259,0.890874422,129
Yes,0.863636,0.173913,0.999629039,0,0,0,1,0.965911088,0,1,0.99999891,0,1,0.994151847,0,1,0.828511815,0,1,0.99999891,0.828511815,130
No,1.125,0.05,0.860682861,0,0,1,0.8,0.736357183,3,0.666666667,0.932972595,4,0.5,0.977559781,4,0.5,0.977270936,4,0.5,0.977559781,0.736357183,131
No,1.307692,0.333333,0.914445194,0,0,0,1,0.776925919,0,1,0.970785243,1,0,0.885677063,1,0,0.872596427,1,0,0.970785243,0.776925919,132
Yes,1.153846,0.153846,0.922396153,0,0,4,0,0.832191971,5,0.166666667,0.869076267,4,0,0.9932092,4,0,0.989163784,4,0,0.9932092,0.832191971,133
Yes,0.8,0.185185,0.917335417,0,0,1,0,0.890991702,1,0.666666667,0.960177428,1,0,0.807270971,1,0,0.894424349,1,0,0.960177428,0.807270971,134
Yes,1.058824,0.117647,0.945020954,0,0,1,0.5,0.881766552,1,0.666666667,0.922087363,1,0.666666667,0.971890556,1,0.666666667,0.950330111,1,0.666666667,0.971890556,0.881766552,135
Yes,1.157895,0.210526,0.872621193,0,0,2,0,0.792493436,2,0,0.935762278,5,0.375,0.929869607,5,0.375,0.915445938,5,0.375,0.935762278,0.792493436,136
No,1.153846,0.230769,0.860240719,0,0,0,1,0.74658991,0,1,0.911836447,2,0,0.882195078,2,0,0.702248195,2,0,0.911836447,0.702248195,137
Yes,1.3,0.3,0.933042186,0,0,0,1,0.947125171,1,0.666666667,0.835871916,0,1,0.997910263,0,1,0.918469453,0,1,0.997910263,0.835871916,138
Yes,1,0,0.901868062,0,0,0,1,0.85964278,0,1,0.753471407,0,1,0.962496399,0,1,0.948088468,0,1,0.962496399,0.753471407,139
No,1.333333,0.176471,0.956107719,0,0,0,1,0.946731495,0,1,0.997077555,0,1,0.977444564,0,1,0.983209014,0,1,0.997077555,0.946731495,140
Yes,1,0,0.85032097,0,0,1,0,0.633981472,3,0.25,0.850085955,1,0,0.766207694,1,0,0.947824561,1,0,0.947824561,0.633981472,141
Yes,0.909091,0.043478,0.925950405,0,0,0,1,0.805969933,2,0.75,0.915050933,2,0.5,0.961523951,2,0.5,0.816255274,2,0.5,0.961523951,0.805969933,142
Yes,1.045455,0.045455,0.944717754,0,0,0,1,0.856791406,0,1,0.961346096,0,1,0.989039833,0,1,0.995003051,0,1,0.995003051,0.856791406,143
No,1.153846,0.153846,0.833084085,0,0,8,0.272727273,0.809300163,11,0.266666667,0.84688418,9,0.25,0.95665981,9,0.25,0.967630132,9,0.25,0.967630132,0.809300163,144
Yes,1.1875,0.117647,0.897315471,0,0,1,0.5,0.856633483,1,0.75,0.889877993,2,0.6,0.964882667,2,0.6,0.945659703,2,0.6,0.964882667,0.856633483,145
No,1,0,0.702508256,0,0,0,1,0.638377915,2,0,0.686302368,1,0.5,0.96726168,1,0.5,0.968140693,1,0.5,0.968140693,0.638377915,146
Yes,1.272727,0.363636,0.819489145,0,0,2,0,0.736837764,2,0,0.796743787,4,0.333333333,0.930827145,4,0.333333333,0.9122072,4,0.333333333,0.930827145,0.736837764,147
Yes,1.142857,0.190476,0.917254431,0,0,1,0,0.877053384,4,0,0.979607722,2,0.5,0.975386765,2,0.5,0.976936254,2,0.5,0.979607722,0.877053384,148
Yes,1.055556,0.1,0.940808301,1,1,0,1,0.907361233,0,1,0.754032476,0,1,0.999070725,0,1,0.98022767,0,1,0.999070725,0.754032476,149
Yes,0.809524,0.166667,0.989238945,0,0,0,1,0.962592084,0,1,0.99983901,0,1,0.99835405,0,1,0.980020238,0,1,0.99983901,0.962592084,150
No,0.913043,0.142857,0.963956556,0,0,0,1,0.888759321,0,1,0.931305461,2,0.5,0.978808112,2,0.5,0.981946591,2,0.5,0.981946591,0.888759321,151
Yes,0.952381,0.047619,0.9811949,0,0,1,0.75,0.899039204,2,0.8,0.953453553,2,0.6,0.913827307,2,0.6,0.945129056,2,0.6,0.9811949,0.899039204,152
Yes,1.285714,0.285714,0.926602242,0,0,0,1,0.793065386,1,0,0.844926748,1,0,0.924208303,1,0,0.922135743,1,0,0.926602242,0.793065386,153
No,1.076923,0.153846,0.883649669,0,0,0,1,0.89392538,0,1,0.996759552,0,1,0.99877337,0,1,0.992921863,0,1,0.99877337,0.883649669,154
Yes,0.681818,0.291667,0.869007207,0,0,1,0.666666667,0.820498453,2,0.5,0.784824499,1,0.75,0.981407365,1,0.75,0.981404578,1,0.75,0.981407365,0.784824499,155
Yes,0.888889,0.055556,0.937213339,0,0,0,1,0.927817485,3,0.625,0.947352976,2,0.6,0.970028166,2,0.6,0.965352317,2,0.6,0.970028166,0.927817485,156
