quality,unique_words,length_ratio,sim_0,negation_0,neg_parity_0,unusuals_0,unusual_ratio_0
Yes,0.818182,0.166667,0.912269338082199,0,0,1,0.0
No,1.076923,0.076923,0.8766874871334791,0,0,6,0.25
No,0.928571,0.187500,0.874330914485194,0,0,4,0.3333333333333333
No,1.214286,0.214286,0.9082452085725055,0,0,11,0.08333333333333333
Yes,0.947368,0.050000,0.9259896316898331,0,0,0,1.0
No,1.214286,0.214286,0.8574030586457682,0,0,11,0.15384615384615385
No,0.687500,0.294118,0.92607259046206,0,0,1,0.0
Yes,1.000000,0.000000,0.9070468877749683,0,0,7,0.125
No,1.187500,0.250000,0.9337188545407832,0,0,0,1.0
No,1.076923,0.230769,0.8133907290987273,0,0,0,1.0
Yes,1.130435,0.125000,0.9775763593887165,0,0,0,1.0
Yes,0.823529,0.222222,0.7587319586171694,0,0,7,0.0
No,1.076923,0.153846,0.781468993520349,0,0,0,1.0
Yes,0.923077,0.037037,0.9339093472476506,0,0,3,0.5
Yes,1.166667,0.150000,0.8956329540879637,0,0,4,0.0
Yes,1.250000,0.250000,0.9233145502960448,0,0,0,1.0
Yes,1.083333,0.083333,0.8891908435743544,0,0,0,1.0
No,0.636364,0.363636,0.8967956592291401,0,0,0,1.0
Yes,0.722222,0.315789,0.9060129085670169,0,0,0,1.0
Yes,1.000000,0.000000,0.8971086789674733,0,0,2,0.0
Yes,0.954545,0.041667,0.9532243148683783,0,0,0,1.0
Yes,0.952381,0.047619,0.9158102793781102,0,0,2,0.5
Yes,1.043478,0.043478,0.8916120530312256,0,0,0,1.0
Yes,0.954545,0.040000,0.8995426629200254,0,0,6,0.25
No,1.428571,0.428571,0.8857513164082841,0,0,8,0.2
No,1.266667,0.266667,0.8276506506094026,0,0,11,0.08333333333333333
Yes,1.066667,0.062500,0.9266563078428737,0,0,0,1.0
No,1.133333,0.333333,0.8873959442701792,0,0,12,0.14285714285714285
Yes,1.294118,0.294118,0.9338351908811569,0,0,3,0.5
No,0.809524,0.190476,0.8582321263805004,0,0,9,0.1
Yes,0.928571,0.068966,0.962013689680377,0,0,0,1.0
Yes,1.000000,0.038462,0.9561084297694337,0,0,0,1.0
Yes,1.000000,0.000000,0.9092515731791794,0,0,3,0.0
Yes,1.190476,0.217391,0.938456011641975,0,0,0,1.0
No,1.157895,0.100000,0.8590815461697797,0,0,0,1.0
Yes,1.300000,0.300000,0.8604802306170892,0,0,0,1.0
Yes,1.105263,0.090909,0.9366106815007793,0,0,1,0.0
Yes,1.350000,0.400000,0.9448578876758496,0,0,0,1.0
Yes,1.047619,0.238095,0.9415655331677283,0,0,0,1.0
Yes,0.956522,0.043478,0.9591464560764668,0,0,0,1.0
Yes,0.863636,0.173913,0.9855025352330742,0,0,0,1.0
No,1.125000,0.050000,0.8597812504789758,0,0,1,0.8
No,1.307692,0.333333,0.9088827181798765,0,0,0,1.0
Yes,1.153846,0.153846,0.9219254518983299,0,0,4,0.0
Yes,0.800000,0.185185,0.9173354168337134,0,0,1,0.0
Yes,1.058824,0.117647,0.9415450544185283,0,0,1,0.5
Yes,1.157895,0.210526,0.8665304809779868,0,0,2,0.0
No,1.153846,0.230769,0.8602407186279052,0,0,0,1.0
Yes,1.300000,0.300000,0.933042186389435,0,0,0,1.0
Yes,1.000000,0.000000,0.9018680623438601,0,0,0,1.0
No,1.333333,0.176471,0.9526210930217232,0,0,0,1.0
Yes,1.000000,0.000000,0.8476169594400113,0,0,1,0.0
Yes,0.909091,0.043478,0.9224181660509463,0,0,0,1.0
Yes,1.045455,0.045455,0.9395197824385563,0,0,0,1.0
No,1.153846,0.153846,0.8316604407906983,0,0,8,0.2727272727272727
Yes,1.187500,0.117647,0.8965756928237236,0,0,1,0.5
No,1.000000,0.000000,0.7012124318409169,0,0,0,1.0
Yes,1.272727,0.363636,0.8168929477793055,0,0,2,0.0
Yes,1.142857,0.190476,0.9160289989490038,0,0,1,0.0
Yes,1.055556,0.100000,0.9353627156895881,1,1,0,1.0
Yes,0.809524,0.166667,0.9878226464024261,0,0,0,1.0
No,0.913043,0.142857,0.961595188392229,0,0,0,1.0
Yes,0.952381,0.047619,0.9811949003710521,0,0,1,0.75
Yes,1.285714,0.285714,0.9254798551700405,0,0,0,1.0
No,1.076923,0.153846,0.8836496686395141,0,0,0,1.0
Yes,0.681818,0.291667,0.8690072073673037,0,0,1,0.6666666666666666
Yes,0.888889,0.055556,0.9372133394639073,0,0,0,1.0
Yes,0.809524,0.227273,0.9318074471902329,0,0,1,0.0
Yes,0.888889,0.157895,0.988574284274744,0,0,0,1.0
Yes,0.750000,0.222222,0.9372311569848697,0,0,0,1.0
Yes,0.823529,0.176471,0.8322301588678649,0,0,0,1.0
Yes,1.357143,0.428571,0.9072155888945753,0,0,4,0.2
No,1.222222,0.200000,0.8655546967411009,0,0,0,1.0
Yes,1.222222,0.333333,0.9660358918422283,0,0,1,0.75
Yes,0.700000,0.300000,0.9468142633729363,0,0,1,0.0
Yes,1.166667,0.166667,0.7290038553218272,0,0,2,0.5
Yes,0.894737,0.100000,0.9408309100214163,0,0,0,1.0
No,1.071429,0.117647,0.8868225724832085,0,0,8,0.0
Yes,0.730769,0.333333,0.9491291338561796,0,0,0,1.0
Yes,1.190476,0.083333,0.9677712836003675,0,0,0,1.0
Yes,1.111111,0.111111,0.8934883483763257,0,0,0,1.0
Yes,0.909091,0.086957,0.9434989169731194,0,0,0,1.0
Yes,1.058824,0.105263,0.9473215247328431,0,0,0,1.0
Yes,0.904762,0.045455,0.8562720233702001,0,0,2,0.0
Yes,1.043478,0.083333,0.9889461972122137,0,0,0,1.0
Yes,0.821429,0.172414,0.9180223664683395,0,0,4,0.3333333333333333
No,0.933333,0.066667,0.7017517369814488,0,0,2,0.3333333333333333
Yes,1.133333,0.133333,0.7642421677925477,1,1,1,0.0
No,1.000000,0.200000,0.8996545001201663,0,0,7,0.0
Yes,0.916667,0.076923,0.9719241009187576,0,0,0,1.0
Yes,0.800000,0.238095,0.8450133993296558,0,0,1,0.8
Yes,1.125000,0.176471,0.9237144811244422,0,0,2,0.3333333333333333
Yes,0.904762,0.125000,0.9895800115298109,0,0,0,1.0
Yes,1.375000,0.352941,0.8751895968580923,0,0,1,0.75
Yes,0.900000,0.000000,0.9095525396782311,0,0,0,1.0
Yes,1.040000,0.040000,0.934949436508984,0,0,1,0.8
No,0.636364,0.363636,0.5654491309726125,0,0,5,0.16666666666666666
Yes,0.913043,0.076923,0.9842320323949,0,0,0,1.0
No,0.846154,0.076923,0.9316189399996928,0,0,2,0.6
Yes,0.809524,0.260870,0.8998032504053988,0,0,1,0.0
No,1.000000,0.000000,0.6145265505777516,0,0,3,0.0
Yes,1.083333,0.083333,0.9118327012112336,0,0,7,0.0
Yes,1.062500,0.125000,0.9800804009366554,0,0,1,0.6666666666666666
No,0.800000,0.200000,0.9022385006081687,0,0,0,1.0
Yes,1.000000,0.000000,1.0000000000000002,0,0,0,1.0
Yes,1.000000,0.043478,0.9783357771510399,0,0,0,1.0
Yes,1.062500,0.055556,0.9056715359419588,0,0,3,0.4
Yes,0.846154,0.153846,0.9508111376088826,0,0,0,1.0
Yes,1.071429,0.071429,0.982128847319622,0,0,1,0.6666666666666666
Yes,1.052632,0.047619,0.9310220670968972,1,1,1,0.6666666666666666
Yes,1.285714,0.285714,0.9011045018045254,0,0,0,1.0
Yes,1.210526,0.142857,0.9409941152659679,0,0,1,0.5
Yes,1.250000,0.312500,0.956135116229758,0,0,0,1.0
Yes,1.285714,0.227273,0.9187500344655837,0,0,2,0.6
Yes,1.040000,0.000000,0.9537684511220526,0,0,1,0.0
Yes,1.100000,0.095238,0.9372379842926795,0,0,1,0.0
Yes,1.500000,0.555556,0.8857534460361397,0,0,0,1.0
Yes,1.117647,0.210526,0.9795351735479774,0,0,0,1.0
No,0.750000,0.296296,0.8361518169798461,0,0,4,0.3333333333333333
Yes,1.416667,0.384615,0.9421834177622816,0,0,0,1.0
No,1.066667,0.133333,0.8206086505744662,0,0,7,0.0
Yes,1.086957,0.217391,0.9646057289290917,0,0,1,0.0
No,0.937500,0.000000,0.8096549911898372,0,0,7,0.0
Yes,0.812500,0.187500,0.780948920222085,0,0,4,0.2
Yes,0.947368,0.166667,0.9915537240247125,0,0,0,1.0
Yes,1.086957,0.083333,0.9608954638224247,0,0,1,0.6666666666666666
Yes,1.357143,0.357143,0.908032471742435,0,0,0,1.0
Yes,0.884615,0.200000,0.9644349193462252,0,0,0,1.0
Yes,1.043478,0.083333,0.9248294232912725,0,0,3,0.0
No,0.869565,0.086957,0.8859563867999092,0,0,3,0.4
Yes,0.909091,0.130435,0.9502775463479558,0,0,3,0.625
No,1.333333,0.333333,0.842700111714505,0,0,7,0.0
Yes,1.142857,0.125000,0.9094969793561699,0,0,2,0.0
No,0.812500,0.235294,0.8721658945343539,0,0,1,0.0
Yes,0.944444,0.043478,0.9405679270726183,0,0,1,0.5
Yes,0.812500,0.222222,0.9059344888275124,0,0,0,1.0
Yes,1.052632,0.000000,0.9427908006051338,0,0,1,0.0
Yes,1.055556,0.105263,0.9002974943239852,0,0,0,1.0
Yes,0.761905,0.280000,0.9052026845873843,0,0,0,1.0
No,0.888889,0.111111,0.886983282362222,0,0,5,0.375
No,1.166667,0.190476,0.9300274669503494,0,0,0,1.0
Yes,1.041667,0.037037,0.9736959521943638,0,0,2,0.3333333333333333
Yes,0.666667,0.333333,0.8508635720354404,0,0,2,0.0
No,0.875000,0.176471,0.8567875081968013,0,0,5,0.375
No,1.117647,0.411765,0.8891989466991448,0,0,4,0.3333333333333333
Yes,1.000000,0.043478,0.9317098721405164,0,0,2,0.0
Yes,0.833333,0.210526,0.8973565166230185,0,0,2,0.0
No,0.714286,0.285714,0.9033995306680278,0,0,0,1.0
Yes,0.842105,0.105263,0.9753422497032298,1,1,0,1.0
Yes,1.214286,0.285714,0.9133162873146423,0,0,1,0.0
No,0.684211,0.315789,0.8042716958499845,0,0,2,0.0
Yes,0.733333,0.352941,0.689343385778854,0,0,1,0.5
Yes,1.272727,0.363636,0.9193154505625332,0,0,0,1.0
Yes,1.045455,0.000000,0.9999769312831216,0,0,0,1.0
Yes,1.086957,0.080000,0.8332552382301586,0,0,0,1.0
No,1.500000,0.500000,0.8899174581298364,0,0,1,0.0
Yes,1.384615,0.400000,0.8238981909916896,0,0,2,0.3333333333333333
Yes,0.714286,0.266667,0.880286611896288,0,0,0,1.0
Yes,0.846154,0.076923,0.75451844629081,2,0,1,0.0
No,1.235294,0.352941,0.9068891319942421,0,0,14,0.0
No,0.807692,0.185185,0.9517308251989335,0,0,0,1.0
Yes,1.083333,0.166667,0.8665664032026709,0,0,0,1.0
Yes,1.000000,0.038462,0.9103186587496155,0,0,0,1.0
No,1.416667,0.416667,0.8979504192215143,0,0,1,0.5
Yes,0.733333,0.266667,0.8923032371775791,0,0,2,0.0
Yes,0.956522,0.000000,0.9820182651652339,0,0,0,1.0
Yes,1.133333,0.133333,0.8853911744735832,0,0,0,1.0
Yes,1.357143,0.428571,0.9217676093016948,0,0,1,0.0
No,0.941176,0.058824,0.868841468336853,0,0,3,0.5
No,1.000000,0.000000,0.8370488886488168,0,0,3,0.6666666666666666
Yes,0.687500,0.176471,0.9486618499156602,0,0,0,1.0
Yes,1.000000,0.055556,0.9368192490295706,0,0,3,0.0
Yes,0.958333,0.000000,0.9577704875448576,0,0,0,1.0
Yes,0.842105,0.181818,0.9029330269744564,0,0,1,0.5
Yes,1.105263,0.100000,0.9386397082727609,0,0,0,1.0
Yes,1.111111,0.157895,0.970861290285482,0,0,0,1.0
No,1.100000,0.047619,0.8560488810470248,0,0,6,0.25
Yes,1.050000,0.100000,0.9333468423128478,0,0,1,0.5
No,0.666667,0.333333,0.8844430213038252,0,0,1,0.0
Yes,0.850000,0.142857,0.9100344012940073,0,0,0,1.0
Yes,1.166667,0.277778,0.9527628494160003,0,0,0,1.0
Yes,1.130435,0.115385,0.955355672698459,0,0,0,1.0
No,0.800000,0.227273,0.8759448507080809,0,0,1,0.5
Yes,0.809524,0.181818,0.9084169833263431,0,0,0,1.0
Yes,0.875000,0.125000,0.8669173590218577,0,0,3,0.25
Yes,1.142857,0.125000,0.9785551008822614,0,0,0,1.0
Yes,0.785714,0.266667,0.9324540645102982,0,0,0,1.0
Yes,1.000000,0.055556,0.901249410312847,0,0,0,1.0
Yes,0.812500,0.235294,0.9194485156835688,0,0,0,1.0
Yes,1.176471,0.166667,0.896264257813252,0,0,0,1.0
Yes,0.769231,0.230769,0.8778913011537742,0,0,0,1.0
Yes,1.052632,0.050000,0.90244389506174,0,0,0,1.0
Yes,1.083333,0.083333,0.857608411811461,0,0,0,1.0
Yes,0.909091,0.120000,0.8511443394637437,0,0,3,0.0
Yes,0.687500,0.312500,0.925474469536079,0,0,0,1.0
No,0.850000,0.142857,0.9107725896175666,0,0,1,0.0
Yes,0.892857,0.137931,0.9490390933421772,0,0,0,1.0
Yes,1.090909,0.090909,0.9375496366614475,0,0,0,1.0
No,1.000000,0.111111,0.7597867925264707,0,0,1,0.0
Yes,1.038462,0.038462,0.943413249738438,0,0,0,1.0
No,1.214286,0.214286,0.8973550384953135,0,0,1,0.5
Yes,1.000000,0.000000,0.9470227979781755,0,0,0,1.0
Yes,0.750000,0.227273,0.8662853374968761,1,1,0,1.0
Yes,1.142857,0.142857,0.9668019668825554,0,0,3,0.25
Yes,1.200000,0.285714,0.9642663655839495,0,0,0,1.0
Yes,1.312500,0.352941,0.9434105316010283,0,0,0,1.0
No,0.772727,0.181818,0.9222437383198692,0,0,1,0.6666666666666666
No,1.222222,0.222222,0.7375853709529346,0,0,2,0.3333333333333333
Yes,0.960000,0.040000,0.978039285308809,0,0,1,0.5
Yes,0.761905,0.260870,0.9033503625353341,0,0,0,1.0
Yes,0.888889,0.157895,0.9516364946703896,0,0,0,1.0
No,1.066667,0.000000,0.7291297568298297,0,0,5,0.2857142857142857
Yes,0.913043,0.086957,0.9146013595544389,0,0,1,0.875
No,0.950000,0.130435,0.9331506246570964,0,0,0,1.0
Yes,1.142857,0.142857,0.9137583405003988,0,0,2,0.0
Yes,0.941176,0.111111,0.914924759150975,0,0,1,0.0
Yes,0.846154,0.148148,0.9217078146054873,0,0,1,0.5
No,0.708333,0.291667,0.8970196702637094,0,0,2,0.3333333333333333
Yes,1.000000,0.000000,0.959379552283744,0,0,0,1.0
Yes,0.904762,0.045455,0.9732245383980426,0,0,1,0.0
Yes,0.960000,0.037037,0.916429989026105,0,0,1,0.6666666666666666
Yes,1.133333,0.133333,0.9667889135450671,0,0,1,0.5
Yes,1.000000,0.000000,0.8746202733114256,0,0,0,1.0
No,1.050000,0.047619,0.944512888818389,0,0,0,1.0
Yes,0.956522,0.083333,0.9629142470457149,0,0,0,1.0
No,1.357143,0.500000,0.8931832635334671,0,0,1,0.0
Yes,1.227273,0.227273,0.879744631878414,0,0,1,0.6666666666666666
No,1.250000,0.250000,0.8344233496871059,0,0,9,0.1
Yes,0.913043,0.080000,0.9875386621444228,0,0,0,1.0
Yes,1.142857,0.142857,0.7113793100476224,0,0,2,0.0
Yes,1.214286,0.266667,0.9033597908033669,0,0,1,0.0
Yes,1.000000,0.000000,0.8494603362545715,0,0,0,1.0
No,0.733333,0.312500,0.8866323679583553,0,0,0,1.0
No,1.363636,0.454545,0.8471437058275739,0,0,1,0.8
Yes,1.052632,0.045455,0.9326135078948435,0,0,0,1.0
Yes,1.095238,0.142857,0.9354379421792512,0,0,0,1.0
Yes,1.307692,0.307692,0.8875033891027304,0,0,0,1.0
Yes,0.789474,0.210526,0.912476566642245,0,0,2,0.0
Yes,1.000000,0.052632,0.9330986106965582,0,0,1,0.6666666666666666
No,1.200000,0.200000,0.8708640612342282,0,0,2,0.3333333333333333
Yes,0.823529,0.176471,0.911630077014463,0,0,0,1.0
No,0.866667,0.277778,0.9036505640969684,0,0,0,1.0
Yes,1.052632,0.050000,0.9172546245832075,0,0,1,0.8333333333333334
Yes,0.928571,0.071429,0.9086178669400218,0,0,4,0.2
Yes,1.000000,0.117647,0.9579290957490643,0,0,0,1.0
No,1.333333,0.333333,0.8672779372792344,0,0,2,0.3333333333333333
Yes,1.250000,0.238095,0.9019826694348753,0,0,2,0.6
Yes,0.916667,0.120000,0.9506212771352778,0,0,1,0.5
Yes,1.277778,0.388889,0.9656854752355244,0,0,0,1.0
No,0.684211,0.315789,0.9419559413895888,0,0,3,0.4
Yes,0.791667,0.214286,0.8804381210862834,0,0,0,1.0
No,1.227273,0.217391,0.8884123032599932,1,1,1,0.0
Yes,1.227273,0.208333,0.9641761417758201,0,0,2,0.3333333333333333
No,0.800000,0.136364,0.9056235827755023,0,0,0,1.0
Yes,1.142857,0.133333,0.9596742870006543,0,0,5,0.16666666666666666
No,1.058824,0.117647,0.9453513837626746,0,0,1,0.0
No,0.800000,0.200000,0.7802167875301843,0,0,1,0.5
Yes,1.076923,0.000000,0.8948741071427325,0,0,0,1.0
Yes,1.125000,0.312500,0.8895888197809452,0,0,2,0.6666666666666666
No,1.272727,0.250000,0.8883701271783312,0,0,6,0.14285714285714285
No,1.466667,0.533333,0.8283415532992712,0,0,2,0.3333333333333333
Yes,0.920000,0.080000,0.9852764860355206,0,0,1,0.8333333333333334
Yes,0.952381,0.000000,0.944967665943002,0,0,1,0.6666666666666666
No,0.681818,0.333333,0.9532485849664641,1,1,0,1.0
Yes,1.266667,0.266667,0.9074182165174799,0,0,0,1.0
Yes,0.956522,0.083333,0.9999845552416533,0,0,0,1.0
Yes,0.840000,0.038462,0.9661276230630436,1,1,0,1.0
Yes,1.111111,0.166667,0.8714998426289075,0,0,2,0.3333333333333333
Yes,1.000000,0.000000,0.7721828568563218,0,0,0,1.0
Yes,1.181818,0.181818,0.9120311285024577,0,0,0,1.0
Yes,0.904762,0.047619,0.8236314392351873,0,0,1,0.0
No,0.785714,0.214286,0.8964893035614211,0,0,0,1.0
No,0.875000,0.125000,0.7985155397195767,0,0,13,0.0
No,0.894737,0.150000,0.8658608968355501,0,0,0,1.0
No,0.888889,0.111111,0.8204089517162273,0,0,2,0.3333333333333333
No,1.307692,0.285714,0.8917937364740994,0,0,1,0.0
No,1.000000,0.047619,0.8791307526869874,0,0,0,1.0
Yes,0.666667,0.333333,0.9020046487448946,0,0,3,0.4
Yes,1.000000,0.000000,0.8712121021299323,0,0,1,0.6666666666666666
Yes,1.058824,0.117647,0.897141981589047,0,0,2,0.6
No,1.187500,0.312500,0.8814568024760184,0,0,2,0.3333333333333333
Yes,0.954545,0.043478,0.9115980053382902,0,0,0,1.0
Yes,1.000000,0.055556,0.9618917770414542,0,0,0,1.0
No,0.722222,0.315789,0.8863889042398428,0,0,6,0.14285714285714285
No,0.761905,0.260870,0.8962744118364278,0,0,2,0.0
No,1.047619,0.041667,0.9082102855861602,0,0,2,0.0
No,0.814815,0.166667,0.8280476876064709,0,0,0,1.0
Yes,0.666667,0.266667,0.8465679046789081,0,0,0,1.0
No,0.689655,0.300000,0.9418396187000624,0,0,0,1.0
Yes,1.000000,0.000000,0.840006056955564,0,0,1,0.0
Yes,1.047619,0.047619,0.92558199677286,0,0,0,1.0
Yes,1.000000,0.105263,0.9840510598112135,0,0,0,1.0
Yes,1.045455,0.074074,0.9012599336904817,0,0,0,1.0
No,1.000000,0.000000,0.9041731072569684,0,0,1,0.0
Yes,1.055556,0.000000,0.9391929327094045,0,0,1,0.5
Yes,1.086957,0.083333,0.9709485622088334,0,0,0,1.0
Yes,1.090909,0.086957,0.9811730115334367,0,0,1,0.5
Yes,1.000000,0.000000,0.979255356268761,0,0,1,0.5
No,1.363636,0.416667,0.825055299832529,0,0,4,0.0
Yes,0.952381,0.000000,0.8684515188179242,0,0,0,1.0
Yes,0.740741,0.285714,0.887429226619131,0,0,1,0.5
Yes,1.115385,0.034483,0.9795597552577202,0,0,1,0.0
Yes,1.272727,0.142857,0.903792916716358,0,0,0,1.0
Yes,1.045455,0.090909,0.9591706374058602,0,0,1,0.0
Yes,0.909091,0.045455,0.9450886745361757,0,0,0,1.0
Yes,1.052632,0.050000,0.9732795800681998,0,0,0,1.0
No,1.133333,0.200000,0.8981993206918232,0,0,3,0.25
Yes,0.928571,0.000000,0.9091612787247548,0,0,0,1.0
No,1.400000,0.400000,0.7952135037185588,0,0,11,0.08333333333333333
Yes,1.266667,0.263158,0.8465894887234334,0,0,1,0.0
Yes,0.933333,0.066667,0.8449588167520936,0,0,0,1.0
No,0.937500,0.062500,0.8341074088123632,0,0,9,0.18181818181818182
Yes,1.000000,0.000000,0.9999547911008061,0,0,1,0.6666666666666666
No,1.416667,0.500000,0.9391217843948753,0,0,1,0.6666666666666666
Yes,0.809524,0.142857,0.9021800991098238,0,0,2,0.0
Yes,0.846154,0.153846,0.7422680553956554,0,0,0,1.0
Yes,0.952381,0.047619,0.8719638749021771,1,1,2,0.5
Yes,1.357143,0.428571,0.7759483194696486,0,0,1,0.5
No,0.857143,0.142857,0.8507506416163925,1,1,0,1.0
No,1.000000,0.000000,0.9080495605668818,0,0,2,0.6666666666666666
Yes,0.866667,0.235294,0.9204476942945924,0,0,1,0.5
Yes,0.750000,0.250000,0.5936280721122996,0,0,0,1.0
Yes,0.888889,0.157895,0.9226499593500012,0,0,0,1.0
Yes,1.166667,0.000000,0.8483379840275949,0,0,1,0.0
Yes,0.739130,0.200000,0.9622943996506523,0,0,0,1.0
No,0.733333,0.266667,0.6987340484101561,0,0,4,0.0
No,1.375000,0.352941,0.9007321475136032,0,0,0,1.0
No,1.214286,0.285714,0.8706503721730137,0,0,2,0.0
No,0.875000,0.125000,0.8540727377328914,0,0,0,1.0
Yes,0.884615,0.071429,0.9642635811474529,0,0,0,1.0
Yes,1.176471,0.294118,0.9590795204978917,0,0,0,1.0
Yes,0.900000,0.173913,0.9172388095813571,0,0,0,1.0
