Class,text
religion,  ---   Bombings in the two largest cities in southern Lebanon killed 11 people and  wounded 80 others. A car bomb blew up in Tyre  killing 10 people and wounding  75. A man was killed and five others seriously wounded in an explosion in  Nabatiye. ---   An Israeli navy patrol boat attacked and sank a rubber guerrilla boat off  southern Lebanon early today  killing the two men aboard  the army command  said.         It said in a communique that a Dvora patrol boat opened fire on the  motorized rubber dinghy north of Tyre after identifying it as hostile. The army  said no one on the Israeli boat was injured. The affiliation of the slain  guerrillas was not immediately known. ---   Rival factions of the guerrilla group led by terrorist mastermind Abu Nidal  battled Sunday in Tyre  Lebanon  with machine guns and rocket-propelled  grenades  killing at least four people and wounding 15  police said. ---  Lebanon s mainstream Shiite Muslim militia said Thursday that it had  uncovered a network of tunnels in a southern Lebanese village where it said pro- Iranian kidnappers had held Western hostages.         Officials of the militia  Amal  led local journalists through the catacomb- like alleys and showed them two cells with iron doors at the village   Kawthariyet al Siyad  near Tyre  the ancient port city  about 40 miles south of  Beirut.         The officials said they were certain that U.S. Marine Lt. Col. William R.  Higgins was detained there shortly after he was seized by gunmen on a road  outside Tyre in February 1988. -------------- ...anyway  I counted 20 articles during these 3 years of reporting. I also found out the possible reason why the numbers for the inhabitants of the city is defined between 14000 and 24000. It seems that Tyre is one of the places where people from Libanon flee to during more extensive bombings  so there s a constant flow of refugees entering and leaving Tyre (articles mentioned thousands of people entering and leaving this place).  I counted 0 articles for my home town  Kristinestad  so from now I will consider this place to be a fishing village :-).  Cheers  Kent  --- sandvik@newton.apple.com. ALink: KSAND -- Private activities on the net.
forsale,"     Paradise EGA480/Casper EGA Monitor      1 12 MHz  286 motherboard (DRAM/SIPP)     1 16 MHz  286 momboard (DRAM only)      1 Hayes  Prodigy special  2400b external modem      1 1Meg SIPP     1 256K SIPP      about 2 Megs DRAM (I believe there s 1M of 120ns  and one of 100 or     80ns  but not absolutely sure).      Also have an XT with 640K  serial board  Hercules board and amber     monitor.  The only thing this system is missing is the power supply.       Make an offer on any/all of this stuff  and thanx for contributing     to Mitch s V.32bis modem fund.           Mitch   NOTE:  Cross-posted to several forsale froups  followups redirected back to me! 		There s a reason for that - I don t read these groups. --  Mitch Gorman	srscnslt@telesciences.com	 Things are not what they seem.   Through a crack in Mother Earth  	Blazing hot  the molten rock spills out over the land. 		And the lava s the lover who licks your boots away... "
forsale,    1. Howard Miller Clock. It chimes like a grandfather clock. $250  2. Painting- A Tiger in the snow. It is a beautiful painting  the tiger    looks like it can jump off of the canvas and get you. $200  3. Mens Diamond Ring  size 10 - $500 a. 3 rows of diamonds b. 18k gold  Call or email me.  Donald Walker hm 408-263-3709 wk 408-276-3618
atheism,  --  Maddi Hausmann                       madhaus@netcom.com Centigram Communications Corp        San Jose California  408/428-3553  Kids  please don t try this at home.  Remember  I post professionally.
religion,    Not to be too snide about it  but I think this Christianity must    be a very convenient religion  very maliable and suitable for    any occassion since it seems one can take it any way one wants    to go with it and follow whichever bits one pleases and    reinterpret the bits that don t match with one s desires.  It    is  in fact  so convenient that  were I capable of believing    in a god  I might consider going for some brand of Christianity.    The only difficulty left then  of course  is picking which sect    to join.  There are just so many.         Dean Kaflowitz  Yes  Christianity is convenient.  Following the teachings of Jesus Christ and the Ten Commandments is convenient.  Trying to love in a hateful world is convenient.  Turning the other cheek is convenient.  So convenient that it is burdensome at times.  Dave.    ============================================================= --There are many here among us who feel that life is but a joke. (Bob Dylan) --Never let school interfere with your education.  (Mark Twain) --Rumors of my death have been greatly exaggerated.  (Mark Twain) --TACT is getting your point across without stabbing someone with it. --Subtlety is saying what you mean  then getting out of the way before it is understood. -- If you were happy every day of your life you wouldn t be a human being  you d be a game show host.  (taken from the movie  Heathers. )
windows,"   | Robert S. Dubinski |  Aliases include:  Robb  Regal  Sir  Mr.  and I |   ------------------------------------------------------------------------   | Marquette University ||||||||||| Math / Computer Science Double-Major|   ------------------------------------------------------------------------   | Internet Address: 2A42Dubinski.vms.csd.mu.edu  |	Milwaukee  WI    |   ------------------------------------------------------------------------  "
forsale,   >Have you head of small claims.  You may have to put money up   >front for the filing fees  and then possibly having the local    >sheriff of his/her city to deliver the bad news.  In the end    >the other party will end up paying for his/her mistake with    >interest from the time of the filing to the pay date of the   >defendent  I think the problem with small claims court is that you have to go to the location of the person you re taking action against.  It seems to me the time and money involved in travelling out there (unless this person is close to you) wouldn t be worth it for a small claim. It really depends on how much money you re out.  If I am wrong about any of this  someone please correct me!  )    --  ----------------------------------------------------------------- Kenneth Simon               Dept of Sociology  Indiana University Internet: KSSIMON@INDIANA.EDU              Bitnet: KSSIMON@IUBACS  -----------------------------------------------------------------
forsale,   486 DX 50 mHz in Zero Insertion Force Socket Empty over-drive socket EISA motherboard with 256k cache -->2 32 bit EISA Slots -->2 32 bit VESA local bus slots -->4 16 bit ISA slots 8 MB 70ns RAM -->8 SIMMS sockets filled with 1mb strips (0 sockets open) 32 bit EISA IDE hard drive controller 330 Meg IDE hard disk drive w/ 64k cache (12ms) Diamond Viper Weitek 9000 VESA local bus graphics card w/ 2mb 15  MAG MX15F monitor 2 Serial(NS16550AFN UART)  1 parralell & 1 game ports Full tower case -->250 Watt power supply -->5 X 5.25  bays -->2 X 3.5  bays -->2 X Hard Drive bays 1.2MB 5.25  & 1.33MB 3.5  Floppy Drives Enhanced 101 key keyboard Hi-Resolution 400 DPI Serial Mouse MS DOS 5.0 and MS Windows 3.1 or newer      AMI BIOS     Joint Data Motherboard     30 Day Money Back Gaurantee     Unconditional 2 Year Parts Warranty     Lifetime Labor Warranty     One year Nationwide on site service   This system is currently availble from Comtrade  the company that won some of the highest (over dell  gateway and IBM) awards in recent PC magazine reviews.  Your price must be highly competitive  without sacrificing any of the quality standards listed above.      PLEASE RESPOND TO sam.halperin@cccbbs.uceng     VIA E-MAIL                                                                                                                         
forsale,"   King s Quest V -- Sierra -- CD-ROM edition -- $35  o SPORTS    Michael Jordan In Flight -- Electronic Arts -- $35   Mike Ditka s Ultimate Football -- Accolade -- $30   David Ledbetter s Greens -- Microprose -- $30  o STRATEGY    Risk -- Virgin -- $10  "" This software comes with all original packaging and manuals."" Price includes ground shipping to continental US.  I will trade for current games  send me your list...  --  chris davis ccdavis@nuwave.b11.ingr.com 205-730-6236 "
religion,   original basenote.  I will also leave it up to other LDS netters to   take Mr. Weiss to task on using Mormon Doctrine to declare the difinitive   word on what the LDS Church teaches as doctrine.  Hopefully the LDS    netters will be amiable in their explanation.)  Since it would do no good to rebut what Mr. Weiss has stated on the origin of the Nicene Creed and its status as devine and inspired (I say  no good  because it cannot be proved through discussion or debate as to whether or not  the authors of the Creed were inspired)  I leave you (it will be some time  before I post again) with the following thought authored by Eugene England   Professor of English at Brigham Young University.  Mr. England wrote the  following as part of a book review section in This People s magazine (Spring  1993 edition):     I conclude with a little sermon because I believe we will not be a Mormon--   or human--family until we can get over labeling and rejecting each other    with terms like feminist or patriarchal  liberal or conservative (Christian    or non-Christian -- Hal 8^).  When we are tempted to draw a circle around   a set of beliefs and traditions and styles and call it American  then exclude   those who don t fit  it may be well to consider that perhaps the most central   defining characteristic of a good American might be  one who doesn t draw   exclusive circles  -- that the surest way of excluding ourselves from the    central American ideal is by excluding others.  And when we are tempted to   draw a circle around  Mormon  or  Christian   to decide who is  orthodox    and who isn t by how much they agree with us  it might be well to consider   that the central pillar of Christ s  orthodoxy  is our ability to love   unconditionally those who are different and include them in our family.     I recently spent some time in a  Christian  bookstore in California. The   service was excellent  the clerks and customers all smiling  neat  and   well-scrubbed  and there were the expected wholesome offerings of scriptural   commentaries  sentimental fiction  and collections of evangelistic sermons.   But I was dismayed to find how much shelf space was given to attacking    others  often viciously---whether the political left  our modern American   culture  or other religions.  A whole section was devoted to  Cults and the   Occult   and as you might expect  Mormonism was right there under the same   rubric and indictment (often by the same authors) as Satanism.  And I found   I could either rent or buy (in English or Spanish) copies of The God Makers   (that absurdly inaccurate  even libelous  but very popular and dangerous   anti-Mormon film that uses exaclty the same techniques and even accusations   of the Nazi films that scapegoated Jews in the 1930s).     It seems to me one major indication that a person is a genuine convert to   Christ and his redemptive love is his lack of paranoia and anxiety ( Perfect   love casteth out fear   I John 4:18).  I have always been pleased that the   LDS Church has not engaged in attacks on other faiths  though I find a    disheartening increase in willingness of individual Mormons to engage in the   same kinds of stereotyping and scapegoating---and even threats of coercive   action---as the  religious right wing  has launched this year against the   political left and American cultural and religious styles they don t like.   It is a fearful irony that in so doing Mormons take common cause with the   very people who have most slanderously attacked Mormons---people who would    if they had power  forcefully restrict Mormons  rights along with those of   others they believe to be evil.    The above  sermon  was addressed to the LDS audience who usually subscribe to This People s magazine  but would certainly apply to all of us who rely on the mercies and grace of Jesus Christ to bring us back into His arms.    Even though the LDS Church claims devine authority to exercise the principles  of the restored gospel---as in the days of Christ  the Church does not claim  perfection and infallibility in how those with authoritative status have or do  now lead the Church.  I  for one  do not wish to be labelled  Christian   if  those who profess themselves as Christians attack my beliefs because they are  intollerent (for example) of the way my religion may interpret Biblical  scriptures of the same source to have a different meaning and implication  than mainstream Christianity would give it.  Once again  being in the  majority does NOT in and of itself PROVE anything except that your collective  voice is louder.  That s really all the critics of the LDS Church have to stand on in terms of the kind of Biblical interpretation used as proof to counter  the LDS Church  interpretation!  Using someone elses biased research of truths  and non-truths (whose to say what the mixture is?) as an authoritative tool to  disprove or discredit is not being fair to anyone  least of all themselves.  Let us simply agree to disagree  and share beliefs through adult discussion  and conversation  thereby uplifting everyone.      Hal Leifson -- signing off!
forsale,   Timeshare week for rent / must use before July / Best offer!!   Week can be  traded  to anywhere in the world (Hawaii  Austria  Far East  U.S. etc.) under Interval International.     Will answer questions about that  and help you trade (we have  the paperwork and phone numbers in order to that).   Contact: Jeff Vinson vinson@migration.com 415.813.7492 (daytime or leave msg)
windows,   Zapp 1.1 from Inmark   Zinc 3.5 from Zinc software   C++/Views from Liant   Win++ from Blaise  Some considerations I m using:    Being new to Windows programming (I m from the UNIX/X world)  the quality and intuitivness of the abstraction that these class libraries provide is very  important.  However  since I m not adverse to learning the internals of Windows programming  the new programming methodology should be closely aligned with the native one.  I don t believe arbitrary levels of abstraction  just for the sake of changing the API  are valuable.    Since we will be developing for the 32bit Windows NT system the memory management issues and issues particular to the Windows 3.1 API are less important.     We will probably buy another C++ class library (something like Tools.h++ or Booch components from Rational) to handle data structures and other miscellaneous stuff  (allocators etc...).  So those features are not that important for this toolkit to have.  The two that I have narrowed it down to are ZApp and Zinc  they seem to be the two toolkits that have received the most attention from the media.  I was wondering if anyone had any first-hand experience with any of these toolkits (especially ZApp and Zinc).  A couple of observations about these toolkits that seem particularly noteworthy are:  ZApp ----   Seems to have the most extensive coverage of Windows functionality and     also includes some other miscellaneous useful classes.   Has new fancy 3D-style controls available  and support for custom controls.   Has a Windows NT version (Essential)   Redirectable graphics display/output architecture (useful for printing)   Sizer class for automatically managing control layout after resize.   Seems to be the newcomer  this could be an advantage in designing a better system.   Zinc ----   Has a platform independent resource strategy.  (Not too important for me right now)   Comes with a interface builder tool   Has a Windows NT version (Essential)   Seems to have been around longer (more mature)  but grew up out of a DOS version.     Had a better demo :-)  Both have source code availability options Both are lacking OLE support Neither seem to have any particular support for multimedia type stuff   Any thoughts anyone has on this would be much appreciated   Thanks    Brett Harper   brett.harper@cimlinc.com
forsale,"  	** Medico-Pedic [type of mattress?] 	** Excellent condition         ** 2 yrs old 	** Well maintained 	 	-- You come and pick it up  stuff is located in PaloAlto  	Asking for: $75   	Contact:  		Suresh 		(415)-617-3522 [W] 		(415)-324-9553 [H] 		E-Mail: suresh@pa.dec.com   !-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-!-*-!-*-!-!-*-!-*! --        o o o o o o o . . .   ______________________________ _____=======_||____     o      _____           ||Suresh Balasubramanian      | |suresh@pa.dec.com|   .][__n_n_|DD[  ====_____  |Digital Equipment Corp.     | | (415) 617-3522  |  >(________|__|_[_________]_|____________________________|_|_________________|"
windows,"  	I m looking for a program that will let me use a windows common dialog box to select a file to use when running a DOS app.  	Basically  I have several DOS apps that I use now and then with different files.  They all accept a file as a command line  parameter  but the only way (at least that I know of) to do this easily when running them from windows is to set up the PIF file so that it prompts me for additional parameters (at which point I type  in the file name).    Problems are:  	1) Sometimes I can t remember where the file is exactly located and it would be nice to browse my directories for it without having to use the file manager. 	     and 2) I m lazy and hate to type long pathnames for files burried  several directory levels deep.  	If anyone can point me to such a program or let me know of some other way to handle this  I d appreciate it.  Thanks   Tim --  	The Net isn t organized enough to be considered an anarchy    reczek@autarch.acsu.buffalo.edu"
atheism,  [Dan s article deleted]  I found the same add in our local Sunday newspaper. The add was placed in the ..... cartoon section! The perfect place for it ! :-)  Y.K.   
religion,  _3 700-year tradition still glows -              Assimilation in U.S. threatens ancient Zoroastrian religion _  By Jeanne Huber  Mercury News Staff Writer     HIGH ON A HILLSIDE above San Jose  flames leap up 24 hours a day from a gleaming brass urn in a temple - one of only four in the United States - dedicated to one of the world s most ancient religions.     With the flames go the prayers of about 1 200 Bay Area Zoroastrians that their faith will survive this land.      There is a fear - a real fear  too   said Silloo Tarapore of Lafayette.  We have one generation to do it or to die.      Many immigrant groups struggle to maintain an identity in a strange land. But for Zoroastrians  it is an especially poignant concern.     Their religion has been around for perhaps 3 700 years  a heritage so deep it scarcely seems comprehensible in a state where  historical sites  are sometimes less than 100 years old.  It was the religion of the great Persian Empire under kings Cyrus and Darius.  And tradition says that when Christ was born about 500 years later  he was honored by a visit from three Zoroastrian priests  the Magi.  Scholars say many key beliefs of Christians  Jews and Muslims can be traced to the teachings of Zoroaster  the Zoroastrian prophet.     Yet  with only about 150 000 Zoroastrians in the entire world  they are  a miniscule minority in every country in which they live.  Survival as a people is very much on their minds.     Ironically  local Zoroastrians fear that the almost unlimited tolerance of the United States may do what hundreds of years of persecution followed by nearly 1 000 years of benign religious segregation could not do: cause their young people to stop thinking of themselves as Zoroastrians.     Zoroastrians do not believe theirs is the only right religion  and they actually shun the notion of trying to win converts.  So if their children become totally assimilated  they say  it s their children - rather than the world at large - who will be the losers.      It s important to have an identity   said Maneck Bhujwaia of San Jose  a leader among Zoroastrians who came here from India.   It s important for everybody - Irish  Scottish  Americans.  It gives meaning to life. You don t have to depend on the majority community to give you respect. You can fall back on your own identity.      For Zoroastrians  there s much to be proud of.     Their prophet  Zoroaster  seeking to make sense of a culture in which animal sacrifice to multiple gods was common  preached that there was only one god  a good one.  Zoroastrians call their god Ahura Mazda  which translates as Lord of Wisdom and Light.  _Good vs. evil_     Zoroaster saw life as a constant struggle between good and evil  with the good eventually winning.  Men and women could join in the battle for good  he said  and he warned that they would inevitably suffer consequences such as shame and sorrow if they did wrong.  He preached honesty  charity  kindness to animals  respect for the environment  hard work  equality of men and women - basic virtues preached by prophets of many religions.     But Zoroaster was perhaps unusual in that he told his followers not to follow him blindly.  He demanded they think for themselves.  In fact  Joseph Campbell  the famous scholar of the history and meaning of myths  traced the Western emphasis on individual thought to the Zoroastrians.     Zoroastrians have many words for thought.  Their motto  leaded into a stained glass window over the sacred fire at the temple on the slopes of Mount Hamilton  is  Good thoughts  good words  good deeds.      So it s not surprising that Zoroastrians value education highly.  In India  where a contingent of Zoroastrians arrived in the ninth century to escape persecution by Muslims in Iran  Zoroastrians claim 100 percent literacy  the overall statistic in India is just 60 percent.     About half of the Bay Area Zoroastrian community came here from India and Pakistan  mostly to study at universities.  The other half fled from Iran after the 1979 revolution made that a fundamentalist Islamic state where others had no rights.     Local Zoroastrians point with pride to ways their emphasis on  good deeds  has improved life in every country they inhabit.  In San Jose  the recent restoration of the Hotel Sainte Clarie came about because Manou Mobedshahi  a San Francisco-based hotelier  passed the boarded-up downtown landmark on his way to and from the temple.  At the temple s dedication  the chief guest of honor was the mother of Zubin Mehta  the Zoroastrian conductor of the New York Philharmonic Orchestra.     The temple exists because of another good deed: the decision by an Iranian emigre  the late Arbab Rustom Guiv  to buy land for six temples in North America.  Besides the 10-acre site off Crothers Road on Mount Hamilton  he paid for land in Los Angeles  Chicago  New York  Toronto  and Vancouver.  Until his gifts  there were no Zoroastrian temples on this continent.     Local Zoroastrians raised money to build the actual temple  and the property already had a large house that they have converted to a community center.     The temple  dedicated a year ago on the birthday of the prophet  Zoroaster  is a simple structure with gleaming white walls  vaulted  ceilings and oak floors  partially covered with huge Oriental carpets.     Its central feature is the fire  set in the middle of a partly-glassed- in area at the center of the building.  Although Zoroastrians are  sometimes called  fire worshippers   they actually consider fire just  a symbol of God.   It helps us concentrate  just like Christians use the  cross and Muslims use the Holy Book   Bhujwala said.     The biggest celebration of the years occurs in early spring.  For all Iranians  including Zoroastrians  the New Year begins on the first day of the season because of its symbolism as the start of new life.  With Zoroaster s birthday just six days later  the combination of religious and secular holidays creates something on par with what most of the United States celebrates between Christmas and Jan. 1.    For this year s celebration of the prophet s birthday  about 500 people came to worship and revel.      The good things in life are not forbidden   Esfandiar Anoushiravani  a leader of the Iranian members  had said beforehand  and what followed proved him right.     Inside the temple  worshipers filled every chair and sat or stood around the edges of the room as about a half-dozen priests chanted thanksgiving prayers around a table laden with braziers of smoking sandalwood  glasses of milk and water  and a tray heaped with dried fruit and nuts.     Kids crowded around  grabbing handfuls of the treats.   People eat the fruit   Tarapore said.   It s a way to participate in the ceremony.   _Santa Claus  sort of_     The gathering even had a Santa Claus  Iranian style.  With flowing white hair and a bag of gifts for the children  this Amownaroz wore green symbolic of spring) and red.     He was ushed in by a sort of spring clown  Hajefyrouz  who danced and played a tambourine.     The Zoroastrians from India were charmed.   This is all new for us  too   one told a visitor who asked what was going on.     A visitor  John A. Sabanovich of Folsom  said he became intrigued with the religion years ago while on business trips to Iran.  Zoroastrians have no procedure for accepting converts - a result  some say  of their centuries of persecution in Iran followed by their promise to the Hindu king who allowed them into India that they would not interfere with his people s religion.     But that does not stop Sabavich from joining in the celebrations at the San Jose temple whenever he can.      When I first heard about this religion   he said   I thought  my God  this is what a religion should be.  They think for themselves and do good.      People who don t have a tradition  something to lean on  what s the difference with the lower animals?   ------------------------------------------------ end of article ---- 
windows,  ===Martin
religion,  >                                       If I recall correctly there >are protist cells that can divide and multiply quite readily without >nuclear DNA.  If memory serves me correctly this is the case with white >cells in the blood.  [I rely on some indignant biologist to set me >straight.]  As someone who works with protists  this does not strike me as being true. Are you confusing this with:  1) Ciliates which have a macronucleus and a micronucleus  each containing DNA (but in different amounts). The micronucleus is involved in mitosis  and meiosis  the macronucleus seems to be the main  control center  of the cell  or  2) Two groups of unrelated protists  euglenoids and dinoflagellates  which seem to have permanently condensed chromosomes.  How these groups read their DNA is quite a puzzle  as most models of how genes work involve  the chromosomes being unwound. >--  >Richard Harter: SMDS Inc.  Net address: rh@smds.com Phone: 508-369-7398  >US Mail: SMDS Inc.  PO Box 555  Concord MA 01742.    Fax: 508-369-8272 >In the fields of Hell where the grass grows high >Are the graves of dreams allowed to die.  --  Joseph Boxhorn (jboxhorn@csd4.csd.uwm.edu) Department of Biological Sciences  and Center for Great Lake Studies University of Wisconsin--Milwaukee
windows,"  >  	when I use a name such as rosevc.rose-hulman.edu >		Initiating nameserver query for  rosevc  >		nameserver query time out >  	when I use the IP number >		Local host or gateway not responding  >I know the nameserver is correct and the router is correct.  They work   >fine using NCSA telnet/ftp.  They are working ok  but your definitions in QVTNET.INI and QVTHOST.RC are incorrect (see below).  >The docs said if you are running concurrent packet software you need to   >load PKTMUX???  Does this apply to me???  No  I don t think so. You are using QVTNET and NOVELL concurrently  aren t you? They use different packet types  so QVTNET (TCP/IP) and NOVELL (IPX/SPX) should be able to coexist just fine. PKTMUX is required if you are using different TCP/IP-Packages concurrently.  >This is the qvthost.rc file. >137.112.5.2 >137.112.199.50  There is the first problem: You didn t specify hostnames  just IP-Addresses. Your file should look like this:  137.112.5.2        <Name of your Nameserver> 137.112.199.50     <Name of your Router>  >This is the beginning of the winqvt.ini file. >[net] >name=swartzjh.test.rose-hulman.edu  Here you should only specify your hostname  without the domain part.  >router=137.112.199.50  Instead  use router=<Name of your Router>  as specified in your QVTHOST.RC I know the release notes for 3.31 say that IP addresses should work also  but  apparently they don t.  >nameserver=137.112.5.2  Here  too  you should use the hostname of the nameserver instead of the IP address.  It worked fine for me that way  although I could not specify more than one nameserver. The relnotes say it should be possible to specify up to three nameservers  separated by commas  but it didn t work.  Hope it helps  Richard  --  +----------------------------+-------------------------------------------+ | Dr. Richard Spitz          | INTERNET: spitz@ana.med.uni-muenchen.de   | | EDV-Gruppe Anaesthesie     | Tel     : +49-89-7095-3421                | | Klinikum Grosshadern       | FAX     : +49-89-7095-8886                | | Munich  Germany            |                                           | +----------------------------+-------------------------------------------+"
windows,"  >	I m having a problem with AMIPro when writing equations.  If the >equation extends past a certain point on a line  the whole thing disappears. >If I then try to delete the equation or cursor beyond the equation  AMI >goes nuts.  The line counter at the bottom of the screen increments >repeatedly and the only way out is to CTRL-ATL-DEL.  If I have been >unfortunate enough to save a document with one of these screwed up >equations  the document is basically trashed.  (although I have been >able to fix them by going into an ascii editor and deleteing large >chunks of the document)  >	Has anyone else experienced this?  Does Lotus know about it >and or have a patch???????.  >Thanks in advance   >Kurt >nagel@fido.colorado.edu  I contacted Lotus about this problem today.  It has been reported previously and there is a fix.  Apparantly the problem only occurs when TAB characters are used immediately preceding the equation frame.  The work around when equations are expected to touch the right margin is to delete at least one preceding TAB and use SPACE to align the frame (or use set frame where placed w/no text wrap around).  Unforutnately  once the page run-on has occured you are hosed. So the moral of the story is use only SPACE characters to align equation frames.  Hope this helps the rest of you who have already contacted me with this  problem.  Kurt nagel@fido.colorado.edu "
