NO,AUTHOR,TEXT,DATE,TIME,REF
55,s067,,19 . 01 . 2011,02.23.00,
56,s067,,19 . 01 . 2011,02.23.00,
57,s067,,19 . 01 . 2011,02.23.00,
58,s067,,19 . 01 . 2011,02.23.00,
59,s067,bvg,19 . 01 . 2011,02.23.00,
60,Alex(Tutor),You should now move on to discussing what will happen in Condition C and your explanation for this change.,19 . 01 . 2011,02.23.01,
61,s072,who like brayonna,19 . 01 . 2011,02.23.01,
62,s077,who is this,19 . 01 . 2011,02.23.38,
63,s067,franklin,19 . 01 . 2011,02.23.47,
64,s072,when yue pue sugar and water its going to get smaller,19 . 01 . 2011,02.23.52,
65,Alex(Tutor),"@S077, check with S067 if he/she agrees with Jakayla.",19 . 01 . 2011,02.23.58,
66,s072,tim do yue agree,19 . 01 . 2011,02.24.15,
67,Alex(Tutor),"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",19 . 01 . 2011,02.24.25,
68,s067,yea,19 . 01 . 2011,02.24.42,
69,s072,tim.,19 . 01 . 2011,02.24.51,
70,Alex(Tutor),"You are now going to watch a video showing the cell in Conditions A, B and C.",19 . 01 . 2011,02.24.53,
71,Alex(Tutor),"As you watch the video, write down your observations on your worksheet.",19 . 01 . 2011,02.24.58,
72,Alex(Tutor),"Go to the Videos folder on the Desktop, and watch the video which is there.",19 . 01 . 2011,02.25.04,
73,s067,,19 . 01 . 2011,02.25.07,
74,s067,,19 . 01 . 2011,02.25.07,
75,s067,,19 . 01 . 2011,02.25.07,
76,s067,,19 . 01 . 2011,02.25.07,
77,s067,,19 . 01 . 2011,02.25.07,
78,s067,,19 . 01 . 2011,02.25.08,
79,s067,,19 . 01 . 2011,02.25.08,
80,s067,,19 . 01 . 2011,02.25.08,
81,s067,,19 . 01 . 2011,02.25.08,
82,s067,,19 . 01 . 2011,02.25.14,
83,s067,,19 . 01 . 2011,02.25.14,
84,s067,,19 . 01 . 2011,02.25.15,
85,s067,,19 . 01 . 2011,02.25.15,
86,s067,,19 . 01 . 2011,02.25.15,
87,s067,,19 . 01 . 2011,02.25.15,
88,s067,,19 . 01 . 2011,02.25.15,
89,s067,,19 . 01 . 2011,02.25.15,
90,s067,,19 . 01 . 2011,02.25.15,
91,s077,whatrudoin,19 . 01 . 2011,02.25.19,
92,s072,my work,19 . 01 . 2011,02.25.29,
93,s067,wat about your work,19 . 01 . 2011,02.26.05,
94,s077,watch the video,19 . 01 . 2011,02.26.09,
95,s077,oh aite,19 . 01 . 2011,02.26.57,
96,s077,who is 67,19 . 01 . 2011,02.27.53,
97,s072,tim,19 . 01 . 2011,02.28.31,
98,s067,hi lol :),19 . 01 . 2011,02.28.31,
99,s067,wat r u guys doing,19 . 01 . 2011,02.29.07,
100,s072,our work tim and who like brayonna,19 . 01 . 2011,02.29.21,
101,s067,wtas ya predicted change,19 . 01 . 2011,02.29.39,
102,s077,mii work for the first1 i put it will gain,19 . 01 . 2011,02.29.46,
103,s067,frankiln,19 . 01 . 2011,02.30.11,
104,s072,noe i said it will get smaller,19 . 01 . 2011,02.30.21,
105,s077,ru even working,19 . 01 . 2011,02.30.31,
106,Alex(Tutor),Are you guys back?,19 . 01 . 2011,02.30.31,
107,s072,tim ooool ii new it franklin lie to me ii got him...and ii said it will get smaller.,19 . 01 . 2011,02.31.01,
108,Alex(Tutor),"S067, now would be a good time to ask S077 to build on what Jakayla is saying.",19 . 01 . 2011,02.31.08,
109,Alex(Tutor),Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,19 . 01 . 2011,02.31.39,
110,s077,ur wrong,19 . 01 . 2011,02.31.44,
111,s067,do brayonna lyke him,19 . 01 . 2011,02.32.07,
112,s077,yea thats wat i heard,19 . 01 . 2011,02.32.53,
113,s067,do brayann lyke him,19 . 01 . 2011,02.32.55,
114,s067,wen did u hear diz diz,19 . 01 . 2011,02.33.33,
115,s077,um a couple weeks ago,19 . 01 . 2011,02.34.06,"Reference to part of the message No: 113 (Text: "" n "")Ê"
116,Alex(Tutor),You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,19 . 01 . 2011,02.34.40,
117,s072,.brayonna like him a lil dats what she said.,19 . 01 . 2011,02.34.48,
118,s077,oh do he lyke her,19 . 01 . 2011,02.35.29,
119,s067,ooooooooook ask her right now,19 . 01 . 2011,02.35.33,
120,Alex(Tutor),"Ok, I gotta go.",19 . 01 . 2011,02.36.31,
121,Alex(Tutor),It was nice talking to you all. :-),19 . 01 . 2011,02.36.36,
122,s077,finally alex left,19 . 01 . 2011,02.36.55,
123,s067,right,19 . 01 . 2011,02.37.02,
124,s067,ask her he said,19 . 01 . 2011,02.38.27,
125,s077,iight,19 . 01 . 2011,02.38.45,
126,s077,she said somethinglyke that,19 . 01 . 2011,02.40.10,
127,s072,tell franklin we aint cool nomore tim,19 . 01 . 2011,02.40.42,
128,s077,shesaid something lyke that,19 . 01 . 2011,02.40.42,"Reference to part of the message No: 124 (Text: "" s "")Ê"
129,s067,tell her stop playing and answer damn question,19 . 01 . 2011,02.42.01,
130,s072,?hey_,19 . 01 . 2011,02.43.04,
131,s067,man she lyke him,19 . 01 . 2011,02.44.32,
132,s077,leaves the room,19 . 01 . 2011,02.44.40,
133,s067,wat?,19 . 01 . 2011,02.44.46,
134,s072,leaves the room,19 . 01 . 2011,02.44.47,
135,s067,wat up ? and bye guys,19 . 01 . 2011,02.45.03,
136,s067,leaves the room,19 . 01 . 2011,02.45.11,
137,Alex(Tutor),leaves the room,19 . 01 . 2011,02.45.19,

,,,,,
,,,,,
