NO,AUTHOR,TEXT,DATE,TIME,REF
140,Doctor Bob,"Now that you have seen how different choices of fuel affect the cycle parameters, you can discuss which fuel might help you to achieve your design objectives.",30 . 11 . 2011,05.25.32,
141,sa02,i thought the graph showed it decreased,30 . 11 . 2011,05.25.48,
142,Jimmy the Student,"hey sa11, what did I miss?",30 . 11 . 2011,05.26.08,
143,Jimmy the Student,"I don't understand, sa11 - why don't we just pick the highest-Q fuel?",30 . 11 . 2011,05.26.15,
144,sa02,because there's more waste heat,30 . 11 . 2011,05.26.36,
145,sa11,i say we go nuclear,30 . 11 . 2011,05.26.39,
146,sa02,oh sorry,30 . 11 . 2011,05.26.39,
147,sa02,okay,30 . 11 . 2011,05.26.42,
148,sa02,yeah nuclear sounds godo,30 . 11 . 2011,05.26.45,
149,sa02,good*,30 . 11 . 2011,05.26.47,
150,Jimmy the Student,^_^,30 . 11 . 2011,05.26.50,
151,sa11,so what do we have then,30 . 11 . 2011,05.27.07,
152,Doctor Bob,Wrap up your discussion of fuel...,30 . 11 . 2011,05.27.08,
153,sa02,we choose nuclear,30 . 11 . 2011,05.27.18,
154,sa11,nuclear,30 . 11 . 2011,05.27.23,
155,sa11,sir,30 . 11 . 2011,05.27.24,
156,Doctor Bob,We are in the final stage of this collaborative design now.,30 . 11 . 2011,05.29.23,
157,Doctor Bob,"Make sure you consider the dependencies between the different parameters, as you choose possible values for your final design.",30 . 11 . 2011,05.29.34,
158,sa02,sure,30 . 11 . 2011,05.29.47,
159,Jimmy the Student,... ok,30 . 11 . 2011,05.29.51,
160,sa11,ok,30 . 11 . 2011,05.30.41,
161,Doctor Bob,Have you taken notes on your worksheet to help you do the final implementation?,30 . 11 . 2011,05.34.23,
162,Doctor Bob,Remember you have to do the final implementations individually.,30 . 11 . 2011,05.34.27,
163,sa02,yup,30 . 11 . 2011,05.34.30,
164,Doctor Bob,"Okay, I've got to go. It's been great working with you!",30 . 11 . 2011,05.36.53,
165,Jimmy the Student,"Bye, everyone! Thanks for the help.",30 . 11 . 2011,05.37.08,
166,sa02,leaves the room,30 . 11 . 2011,05.58.08,
167,Doctor Bob,leaves the room,30 . 11 . 2011,06.12.41,
168,Jimmy the Student,leaves the room,30 . 11 . 2011,06.12.41,
169,sa11,leaves the room,30 . 11 . 2011,06.15.46,
,,,,,
