DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,ABUSE,SMILES,CHALLENGE_CONTRIBUTION,FEEDBACKABLE_EXPLANATION
01.01.1970,00.52.56,434CS7,Ed - shawty whatcha doin tonight?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.53.27,444CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.27,444CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.31,443CS7,be triping on dat cally good stuff naw mean,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
01.01.1970,00.53.45,434CS7,mmmmhm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.45,444CS7,no idk wat u mean,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.53.55,443CS7,hey mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.02,443CS7,wan streamline pcp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.17,444CS7,no,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
01.01.1970,00.54.34,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.56,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.19,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.45,443CS7,the distilled water is going to gain mass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.55,443CS7,*ass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.04,444CS7,its backward,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.57.31,443CS7,SHUTUP MARK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.57.57,444CS7,come on bud ... wat r u doing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.19,443CS7,im making sence what are you doing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.58.21,444CS7,- -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.57,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.41,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.27,443CS7,mark goda lil dick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.42,444CS7,no prob and ed dont want to hear a response,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.01.21,444CS7,does any have this down on their paper because i dont,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
01.01.1970,13.01.41,443CS7,Im sorry for my bad behavior.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.09,444CS7,thats all ask ed hahaha,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
01.01.1970,13.03.01,443CS7,mmmkayyy kali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.13,434CS7,i dont understand this at all,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.37,444CS7,i think we are all in the same boat on that one,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.05.42,443CS7,dude this is sooooo easy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.48,443CS7,its unreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.22,434CS7,buuuut im slow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.33,444CS7,ed wat did u get on B setup for observation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.52,444CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.07.16,443CS7,do you see the little scrool thing to the right of the smart board,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.07.48,444CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.18.32,434CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.21.12,443CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.22.49,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
