DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,TUTOR_REFERENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,GROUP_BONDING,FEEDBACKABLE_EXPLANATION
01.01.1970,02.27.17,466CS9,the glucose got heavier as the time went on,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.54,473CS9,because the starch got in it],0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
01.01.1970,02.27.57,TUTOR,"Keep on explaining, 473CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.26,473CS9,the thing might not be closed all the way and that's why it caused the reaction it did,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.28.30,466CS9,the glucose got in the water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.38,473CS9,du .....hello?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.29.48,488CS9,hahaah,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.57,466CS9,it mixed with the water and the test strip turned green because of how much glucose is in the water,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
01.01.1970,19.34.32,TUTOR,Would that be the same as saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.16,466CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.30.17,488CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.30.22,473CS9,yup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.30.34,473CS9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.40,488CS9,??,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.30.45,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.01,473CS9,okay!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.31.06,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.06,466CS9,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.31.15,473CS9,mhmmm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.24,466CS9,this is boring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.30,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.50,466CS9,something will change color,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
01.01.1970,02.31.54,TUTOR,"Please explain your prediction, 466CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.42,466CS9,i think the strip will change the color of the water,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
01.01.1970,02.32.46,TUTOR,"Please continue, 466CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.52,TUTOR,488CS9 might have something to add to the discussion...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.00,473CS9,the glucose came in!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.09,466CS9,WOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.16,488CS9,i agree with amon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.35,473CS9,LEAVE ME ALONE. D':,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.47,466CS9,i was just jokn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.52,488CS9,haha,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.28,473CS9,whatever! ):<,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.34.44,466CS9,cnt take a joke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.08,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.36,473CS9,The glucose came in and is gonna make it change colors!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.43,488CS9,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.48,473CS9,yay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,02.35.51,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.03,466CS9,your welcome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.07,473CS9,YOU'RE WELCOMES !',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.11,473CS9,come again,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.16,488CS9,welcome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.25,473CS9,kthxbai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.52,466CS9,jksdfhasdjkfhsdknsdjknsdjkfhfdfhvvbjvcsvsdjvndjvndjdvsdjvnsdjvndsvjsdnvsjnvsjdvnsdjvhndlssjvnlv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.02,473CS9,rlly?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.37.13,466CS9,yyyyyyyyyyyyyyyyyyyyyyuuuuuuuuuuuuuuuuuuuuuuuuuuuuppppppppppppppppppppppppppppp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.14,488CS9,haha thts what im sayin,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.37.40,473CS9,mr.relihan can print this dummies .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.59,488CS9,i know,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.04,466CS9,i dnt care its not like i put bad words in it,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
01.01.1970,02.38.23,473CS9,true,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.29,466CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.29,488CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.41.59,473CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,04.59.10,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
