DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,PREDICTION_CONTRIBUTION,SCIENCE,EXPLANATION_CONTRIBUTION,SILLYNESS,FEEDBACKABLE_EXPLANATION_REQUEST,EXPLANATION_REQUEST,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,FEEDBACKABLE_REQUEST,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,TEASING,FEEDBACKABLE_EXPLANATION
01.01.1970,00.45.10,452CS7,loomk at eeryone elses screen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.27,448CS7,i still dont know,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.34,446CS7,i no we dnt have toutur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.45.59,448CS7,i know :/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.07,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.14,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.30,446CS7,446CS7 the one in brown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.44,448CS7,446CS7 its noone in the room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.46.59,452CS7,im landon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.59,446CS7,ohh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.59,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.08,446CS7,kk leggo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.14,448CS7,hahaha,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.15,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.41,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.49,446CS7,k next,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.54,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.15,448CS7,over time the weight decreases,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.16,448CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.16,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.42,446CS7,the starch changed colors n the packet got lighter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.53,448CS7,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.01,452CS7,the starch is in the outside and not in the tube dis time,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.49.18,446CS7,landon im confused,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.19,448CS7,what?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.49.23,448CS7,me too,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.31,446CS7,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.00,452CS7,+like the iodine and water is in the tube but the starch is outdside of it cuz that turned purple not the tube,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
01.01.1970,00.50.03,TUTOR,"Keep on explaining, 452CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.28,448CS7,the starch is the packet thing?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.50.45,448CS7,or what is the starch?,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
01.01.1970,00.50.48,452CS7,no its outside of it because that what turned purple,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
01.01.1970,00.50.49,TUTOR,"Thanks for that, 448CS7. Can anyone respond?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.51,446CS7,so how did the out side change if the iodine didnt actully touch the starch?,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
01.01.1970,00.50.54,TUTOR,I'd love to hear more from 452CS7...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.24,452CS7,ok the starch is the outside because thats what turned purple,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
01.01.1970,00.51.28,TUTOR,"Keep on explaining, 452CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.36,448CS7,ohhhh ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.51.49,446CS7,but the iodine did not actully touch the starch,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.51.49,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.57,452CS7,it dont gtta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.07,448CS7,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.52.13,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.43,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.16,452CS7,they have the same qualities since they both can move thru the tube to the outside,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
01.01.1970,00.53.19,448CS7,well i know that starch molecules forms in water,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.20,TUTOR,"Thanks for offering an explanation, 452CS7 :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.36,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.40,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.54,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.16,446CS7,its gaining weight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.18,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.19,448CS7,ohh ok so the glucose increases and teh weight gets heavier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01.01.1970,00.54.37,448CS7,*the,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.40,452CS7,it increased overtime because the glucose seeped thru the tube into the stilled water,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
01.01.1970,00.54.43,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.08,448CS7,ohh ok thanks for explaining landon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.55.31,446CS7,im a slight bit confused,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.05,448CS7,what are you confused about?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.56.11,452CS7,wait since it weighs more the glucose sucked up water??,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
01.01.1970,00.56.15,TUTOR,"Thanks for offering an explanation, 452CS7 :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.38,446CS7,how the contints of the package r mixn with the water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.46,448CS7,yes landon the water decreased because of the glucose,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
01.01.1970,00.56.50,TUTOR,"Keep on explaining, 448CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.51,446CS7,is it like leekin thru the package,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
01.01.1970,00.56.57,TUTOR,I wonder what 446CS7 has to say.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.06,448CS7,it like seeps through,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,00.57.10,448CS7,i assume,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.23,452CS7,not like a leek but the molecules cn move thru it atleast dats what i think,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
01.01.1970,00.57.24,446CS7,obivously buyt how,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.26,TUTOR,"Please continue, 452CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.52,446CS7,okay so like the molucle some thingss pass thru while others dnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
01.01.1970,00.57.55,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.55,452CS7,idk how to continue its just an observation i made,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.59,448CS7,the molucules and the glucose work together i thinkk,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.16,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.30,448CS7,on the outside of what though,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.58.40,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.55,446CS7,i think tht there will b no water left in the package,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.59.14,448CS7,i agreee with you 446CS7 but why?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.59.24,446CS7,bcuz the water wuld b suckd up by the glucose,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,00.59.44,452CS7,i think the glucose molecules will seep thru the tube like in the other thing we just did,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
01.01.1970,00.59.47,TUTOR,"Please explain your prediction, 452CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.50,448CS7,what did you write on the paper?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.59.50,446CS7,wen the water passes thru the casin it will mix n form together,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.15,446CS7,i didnt rite nothing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.00.40,448CS7,me neither we have to figure out what to write for the chart part at the top,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.00.41,452CS7,like they can enter since in the other experiment they exited the tube,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
01.01.1970,13.00.44,TUTOR,"Keep on explaining, 452CS7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.56,446CS7,landons to smarrt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.59,452CS7,:)),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.01.27,448CS7,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.18,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.21,448CS7,we have to come up with a prediction for the bottom and why we think that,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.30,448CS7,any thoughts?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.02.39,452CS7,what do we have to predict?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.02.47,448CS7,not sure haha,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,13.02.50,446CS7,is this the only picture for this one,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.02,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.12,448CS7,its the last one so i think so,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.19,446CS7,mkay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.42,452CS7,that the bag will get lighter,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
01.01.1970,13.03.54,452CS7,becuz in the last expirement it got heavier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.04,448CS7,look at the bottom part with the lines in the chart we have to answer those and write why at the bottom,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.07,446CS7,and the strip color will turn green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,13.04.17,448CS7,why 446CS7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.37,448CS7,will it turn green on the inside or outside,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.10,446CS7,bc when u take tht test it changes from yello to green so wen they mix or disolve it will also turn green..... i think both,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.15,452CS7,ok so what are we writing down we all need the same thing,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
01.01.1970,13.05.20,446CS7,bcuz thery r both exposed to it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.31,452CS7,^ agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.42,446CS7,am i maken sence or do i sound dum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.50,452CS7,naw u make since,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.05.55,452CS7,so wat we writing?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.05.56,448CS7,so the strip color inside will be yellow then the strip color outside will be green?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.06.14,448CS7,then what about the weight heavier or lighter?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
01.01.1970,13.06.18,446CS7,no bothe green they r both exposed to it,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.06.20,452CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.25,446CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.37,452CS7,bye bye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.44,448CS7,heavier or lighter for weight?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
01.01.1970,13.18.40,452CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.19.22,446CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.21.07,448CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.22.51,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
