DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE_PREDICTION,FEEDBACKABLE,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,SMILES,MOLECULE_SIZE,CHALLENGE_CONTRIBUTION,FEEDBACKABLE_EXPLANATION,FEEDBACKABLE_UNSUPPORTED_CHALLENGE
01.01.1970,08.11.09,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.31,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.16,415CS1,iodine seeped through,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,"415CS1, is this similar to ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.32,TUTOR,415CS1 might have something to add to the discussion...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.53,430CS1,add more Taylor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.58,424CS1,"yeah ,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.13.12,415CS1,i guess,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.24,430CS1,wat else,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.14.05,424CS1,the 'molicules' probally went thruogh the plastic or absorbed in the plastic,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.04,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.28,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.58,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.41,424CS1,"wait , whaaaaaaaat !?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.16.51,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.52,415CS1,i'm confused,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.55,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.09,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.33,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.09,430CS1,the glucose went into the water instead of staying inside of the bag,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.31,424CS1,im still confused !,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.32,415CS1,"as time progressed, the water's glucose amount increased. maybe because of the reaction",0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.18.48,430CS1,idk? how the glucose bag wieghts more,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
01.01.1970,08.18.53,TUTOR,"Okay, 430CS1 - why would the size of the molecules be relevant?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.42,424CS1,cus theres a solid in in ?BACKSLASH,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,08.19.55,430CS1,no,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
01.01.1970,08.20.09,424CS1,who me ?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.20.51,430CS1,"the glucose probably wieghts more than the iodine, dud e said gluclose is a bigger molecule",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.20.56,TUTOR,430CS1 ...what else can you say about how we use indicators?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.10,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.31,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.55,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.56,430CS1,the gluclpse will somehow go into the distilled water bag,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.07,415CS1,i agree with that,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.26,415CS1,maybe it will weigh more,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.23.50,424CS1,"i cant see ummmm , 'CONDITION D' ?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.24.07,430CS1,click the res square,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.24.12,430CS1,red,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.24.30,424CS1,oah nevermind i got it .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.03,430CS1,the gluclose and the water wil combine making it wieght more,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.25.05,424CS1,"sooo , what would our explanation be ?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.25.27,415CS1,the molecules reacted to each other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.33,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.47,430CS1,the gluclose test strip in the bag will turn dark green as time progress,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.07,430CS1,What do u guys think?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.26.17,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.34,430CS1,lol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.26.36,424CS1,dosnent it show us what haoppens to the strip?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.26.43,424CS1,happens*,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.48,415CS1,i guess not,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.27.16,430CS1,thats what we hav to guess,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01.01.1970,08.27.25,424CS1,but it its green in the water and then they took it out and it turned yellow ?,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.27.47,430CS1,no their 2 different strips,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.27.49,415CS1,so what do we write down?,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.28.16,430CS1,the strip in the vase will tun yellow and in the bag it will turn green,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.28.30,430CS1,it will weight more,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.28.33,424CS1,"oaaaah , i think the strip will stay yellow / green because theres no glucose /",0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
01.01.1970,08.28.34,430CS1,?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.28.35,424CS1,?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.28.59,430CS1,Talor?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.29.17,415CS1,Yes?,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,08.29.33,424CS1,the bags not gonna weight more its just water . .,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.29.46,430CS1,then gluclose will go in it,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.30.14,424CS1,"oah , lol . idk did anything in the other solutions give us the answer ?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
01.01.1970,08.30.15,415CS1,well the strip in the vase turned darker last time so won't it get lighter? and won't the water seep through like always?,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
01.01.1970,08.30.31,430CS1,yes it will,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.30.41,430CS1,thats what deffusion is,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01.01.1970,08.30.45,424CS1,yeah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.30.45,430CS1,tellin you,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.30.55,430CS1,iside=green,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.31.00,430CS1,outside=yellow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.31.03,424CS1,"okay ,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.31.04,430CS1,weight=more,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.31.27,415CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.39.41,415CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.41.33,430CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.41.56,424CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.50.04,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
