DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,EXPLANATION_CONTRIBUTION,MOLECULE_SIZE,FEEDBACKABLE_EXPLANATION,FEEDBACKABLE
01.01.1970,02.29.42,467CS9,the bag weights more because the water went in to the bag,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
01.01.1970,02.29.47,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.55,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.04,478CS9,The bag with the starch in it?,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
01.01.1970,02.31.16,467CS9,no its not starch anymore,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
01.01.1970,02.31.16,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.24,478CS9,Oh okay,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.31.31,478CS9,We moved on.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.40,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.36,478CS9,I dont think anythings gonna happen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.47,478CS9,Im still confused on the whole situation...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.57,467CS9,i think the bag wil leak out n the inside and out side wil be positive for glucose,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
01.01.1970,02.33.01,TUTOR,"Please continue, 467CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.29,467CS9,the water is going to leak out of the bag after 24 hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.42,478CS9,So it's gonna break?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.34.24,467CS9,not realy its just that the cel membraine isnt strong enough to contain it,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.34.35,478CS9,Ohh oky doky,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.35.18,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.50,467CS9,u got it katey?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.35.55,478CS9,So wait what are we for sure writing. That the baggies gonna leak,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
01.01.1970,02.35.57,478CS9,?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.35.59,478CS9,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.02,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.39,467CS9,yeah n that the strips wil both turn gren,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.36.46,478CS9,Lets move on sage,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.00,478CS9,Okay now what are we writing,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
01.01.1970,02.39.33,467CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.57,478CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.41.06,468CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,04.58.51,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
