DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,NUDGEABLE,HELP_REQUEST,NUDGEABLE_INDICATOR,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,ABUSE,TEASING,MOLECULE_SIZE,GROUP_BONDING,NUDGEABLE_MOLECULE_SIZE
01.01.1970,08.24.24,403CS1,no green meanes thers glucose,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.24.35,403CS1,yellow means no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,08.25.07,433CS1,I think so,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.22,422CS1,i agree with Jordan.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.28,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.42,403CS1,whats the perdiction,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.25.57,433CS1,whatever you say,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.26.11,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.26,403CS1,ok,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.26.46,422CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.27.47,422CS1,so what was the prediction?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.28.18,403CS1,when the tube obsorbed the iodian it released the glucose,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.28.27,403CS1,theis ok,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.28.39,433CS1,ya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.02,422CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.29.08,403CS1,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.20,422CS1,bye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.20,422CS1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.29,403CS1,Bye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.30,403CS1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.59,433CS1,good night,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,08.37.14,433CS1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.40.43,422CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.41.46,403CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.42.24,433CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.50.00,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
