DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,FEEDBACKABLE_EXPLANATION
01.01.1970,00.46.52,557CN7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.57,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.00,557CN7,WYD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.00,557CN7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.07,570CN7,"nothing, hbu.?",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
01.01.1970,00.47.10,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.20,557CN7,CHILLIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.32,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.53,557CN7,THE IDONE WENT OUT OF THE BAG INTO THE SOLUTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.54,565CN7,It has starch in it.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.56,570CN7,ohh thats cool.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.12,557CN7,YEA LOL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.14,565CN7,the bag got starch in it,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.31,557CN7,nu uh the starch is in the beaker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.43,557CN7,the bag has idone in it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.53,557CN7,iodine,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.02,565CN7,OOOOHHHH The starch will change colors out of the bag,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
01.01.1970,00.49.11,570CN7,the water is deluting the iodine.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.30,557CN7,yea cuz the iodine came out which turned the water / starch blak,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1
01.01.1970,00.49.40,565CN7,Gotchuu bbg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.49,557CN7,; ],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.58,570CN7,ohkaay good da;shaia.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.50.07,557CN7,oh yea im smart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.10,565CN7,what now sage ?,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,00.50.40,557CN7,idk i think we figured it out we jus gotta come up eith an expalation,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.43,570CN7,you think your smart but your really not.(:,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.50.52,557CN7,lol thats mean,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.01,570CN7,nahuh.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,00.51.05,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.08,557CN7,yu uh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.28,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.48,570CN7,ohkaaay sage.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.59,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.27,557CN7,the glucose came out the bag in went into the water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.36,565CN7,Glucose stays in the bag and doesnt move through out the water .,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,00.52.51,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.55,557CN7,yes it does because the strip turned green,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
01.01.1970,00.52.55,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.06,570CN7,the glucose came out of the bag &&' when into the water.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.09,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.33,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.53.42,557CN7,yes the glucose came out of the bag over time and turned the strip green,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
01.01.1970,00.54.01,570CN7,as time goes on the water gets more glucose in it &&' tures the strip darker green.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,00.54.17,565CN7,agreed .,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.23,557CN7,yupp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,00.54.28,557CN7,<3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.33,565CN7,<333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.42,570CN7,<3333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.42,557CN7,: ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.50,570CN7,(;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.53,557CN7,lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.05,565CN7,Ready for the nexrt one Sage .,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,00.55.07,570CN7,"what now sage,>",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,00.55.13,570CN7,.?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.55.19,557CN7,i love chocolate milk lol,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.55.32,570CN7,saaame.<3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.41,557CN7,oh yea we r awesome,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.56.04,570CN7,ohh yeah.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,00.56.14,557CN7,wat do we do next /,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.43,570CN7,"idk,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.09,557CN7,IDK EITHER = (,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.11,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.20,570CN7,ohkaay Sage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.23,557CN7,kae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.32,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.56,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.15,557CN7,the glucose went into the bag,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.24,570CN7,agreed.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.30,557CN7,which made the strip yellow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.36,565CN7,agreed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.59,570CN7,agreed.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.07,557CN7,agreed x3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.22,557CN7,we gotta do d on the work sheet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.53,570CN7,"nope, just the explanation.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,13.00.12,570CN7,what should we write down.?,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.00.13,557CN7,oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.01.29,570CN7,what are you going to write down.?,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.01.34,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.01.55,557CN7,the glucose went inside the bag which made the strip tun yellow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,13.02.17,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.28,557CN7,^kae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.37,565CN7,The water inside stays in the bag but glucose made the stick turn green . outside of the glucose the stick is yellow because its only water . <---Thats what i wrote down,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1
01.01.1970,13.03.21,557CN7,i dnt understand urs bri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.23,570CN7,ohksssy.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.34,570CN7,ohkaaaay.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.47,565CN7,Make yerself understand ;),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.55,557CN7,lol kae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.22,565CN7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.17.48,557CN7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.18.42,570CN7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.27.02,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
