DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,SMILES,FEEDBACKABLE_EXPLANATION
01.01.1970,08.17.21,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.35,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.59,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.10,427CS1,"the Glucose makes the strip turn green, and the strach makes the strip turn yellos",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.16,427CS1,yellow*,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.43,418CS1,and it gets heavier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.00,427CS1,and the more the glucose gose into the starch the more green it gets,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.07,418CS1,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.19.18,421CS1,"Distilled water has very little or maybe none glucose, and over time the water enters the membrane (bag thingy) and increases the weight of the bag, the water outside is also increasing in its glucose molecules",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.19.26,421CS1,oh and i agreee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.41,418CS1,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.55,421CS1,(^^^),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.20.08,427CS1,YEAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.20.46,418CS1,so whats next,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
01.01.1970,08.21.37,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.43,418CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.21.45,427CS1,OKAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.21.58,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.22,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.32,421CS1,"I think the weight of the bag will increase due to the water entering the membrane, and i think the glucose will become stronger over time in the bag thingy. The glucose on the outside will stay the same.",0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
01.01.1970,08.23.35,427CS1,i think the Glucose will go into the membrane (bag thingy) and it will cause it to wiegh more and make the strip turn green,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
01.01.1970,08.23.58,418CS1,i think the weight will increase,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
01.01.1970,08.24.43,421CS1,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.24.51,421CS1,with everyone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.01,418CS1,lol she said thingy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.25.17,427CS1,:p i dont think water enters the baggy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.26,427CS1,i think it just stays in there,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.34,418CS1,me too,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.36,427CS1,since its only glucose on the outside,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
01.01.1970,08.25.36,421CS1,oh i mean the glucose solution lol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.25.56,418CS1,so wat we agree on,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.00,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.33,418CS1,the weight will increase and cause the strip to change color,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.43,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.53,418CS1,you welcome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.27.01,427CS1,ur not welcome,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.32.37,427CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.39.37,421CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.41.34,418CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.50.03,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
