DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,ABUSE,TEASING,GROUP_BONDING,MOLECULE_SIZE
01.01.1970,02.23.29,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.34,462CS9,My name is Brandon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.23.55,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.08,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.30,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.12,462CS9,it sucked the iodine in,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,02.25.13,479CS9,i think the starch,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.25.13,479CS9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.13,479CS9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.13,479CS9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.15,TUTOR,Ok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.48,462CS9,i like hanna,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.50,462CS9,what noooo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
01.01.1970,02.25.57,462CS9,that was someone else,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.26.19,479CS9,the starch water was pulling out the iodine from that so it whent in the watter,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.10,462CS9,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.45,479CS9,so we all agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.03,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.11,479CS9,k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.26,475CS9,helllooo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.27,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.43,462CS9,hi tori,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.57,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.26,462CS9,glucose test strip wil change after a while,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.29.50,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.53,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.08,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.08,462CS9,ok,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.30.20,462CS9,it turned green,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.32,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.34,475CS9,it got darker as the hours increased,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.44,479CS9,i agree with that,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.53,462CS9,darker (greener),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.17,475CS9,the weight incresed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.34,462CS9,as the hours went passed the weight incresed and it changed colors,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.31.45,479CS9,i agree with that,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.51,475CS9,same,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.23,462CS9,what's next sage?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.32.49,479CS9,so we all agree on that,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.53,462CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.32.54,475CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.34.09,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.30,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.45,462CS9,ok,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.34.54,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.22,462CS9,the test strip will change colors and it will weigh more,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
01.01.1970,02.35.26,TUTOR,"Thanks for starting a prediction, 462CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.40,479CS9,yes i agree with that,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.35.53,462CS9,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.36.08,475CS9,i think the green clucose strip is going to get yellow and weigh more,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
01.01.1970,02.36.12,TUTOR,"Thanks for starting a prediction, 475CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,462CS9,i agree i think we should write that for ,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.12,475CS9,yeaah ?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.37.22,462CS9,why the ? mark,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.37.27,475CS9,iddk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.35,462CS9,ok then :),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.38.32,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.11,462CS9,we all agree with 475CS9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.16,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.55,475CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.00,462CS9,YAY we finished time to go home :) :) : ) :) :) :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,02.40.05,462CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.54.57,479CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,04.58.49,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
