DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,HELP_REQUEST,FEEDBACKABLE,GIVING_OPINION,SCIENCE,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,EXPLANATION_CONTRIBUTION,ABUSE,SILLYNESS,FEEDBACKABLE_EXPLANATION
01.01.1970,00.46.00,TUTOR,:-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.15,457CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.21,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.47.12,457CS7,"jordan, taylor, Whats going on????",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.47.17,TUTOR,"Thanks for that, 457CS7. Can anyone respond?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.30,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.40,458CS7,these changes happened because the iodine was in starch,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
01.01.1970,00.48.54,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.58,457CS7,ooh and it lost weight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,00.49.24,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.29,450CS7,this taking to long,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.17,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.20,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.27,457CS7,haha nice but i think that it has different densitys,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
01.01.1970,00.50.35,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.59,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.03,457CS7,i think the faster we talk the faster it goes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.12,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.13,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.14,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.22,457CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.24,457CS7,idk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.24,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.37,450CS7,so now what,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
01.01.1970,00.51.46,450CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.06,457CS7,write on your papaer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.15,450CS7,write what down?,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01.01.1970,00.52.36,457CS7,like wherer it said iodine inside,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
01.01.1970,00.52.41,TUTOR,457CS7 ...what else can you say about how we use indicators?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.42,457CS7,outside starch,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,00.53.44,458CS7,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,00.53.51,450CS7,or naw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.54.00,450CS7,yea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.26,457CS7,now what,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
01.01.1970,00.54.36,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.54.57,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.13,450CS7,my page is still blank,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.21,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.34,450CS7,im confused,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.38,457CS7,mine has a thong that sais condidion dBACKSLASH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.55.47,450CS7,it has a thong?BACKSLASH,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
01.01.1970,00.55.56,457CS7,no thing dosh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.56.33,457CS7,quick look n write on ur papae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.37,457CS7,peper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.56.42,457CS7,paper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.13,450CS7,lol you cant type,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.17,457CS7,ikr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.36,457CS7,:(,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.42,450CS7,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.43,457CS7,hahaha im so bored,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.57.46,450CS7,me 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.06,457CS7,yinz do all the stuff for civics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.23,450CS7,i didnt finish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.30,458CS7,"mark, answer sage's question",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.58.59,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.11,450CS7,j0rD@n J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.15,457CS7,it extracts glucose form the solution and puts it into the water,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,00.59.19,450CS7,mark sage was talking to you,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.36,458CS7,thankyou mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.36,457CS7,what is out explination,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.59.41,457CS7,ou,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.41,457CS7,r,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.42,458CS7,666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.59.43,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.00.04,457CS7,ha what r we putting down,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01.01.1970,13.00.15,457CS7,we got like a minute,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,13.00.17,458CS7,what you said,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.00.40,457CS7,ok,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,13.01.29,450CS7,mark what were you trying to tell me when i came in here,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.01.52,457CS7,what you mean,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.02.12,450CS7,you and dustin were trying to tell me something,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.27,457CS7,ummmmmmmmmmmmmmmmmmmm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.32,457CS7,idfk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.02.45,450CS7,ask dustin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.23,457CS7,his namer is DYKEBACKSLASH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.03.30,457CS7,i remember,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.36,450CS7,oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.48,450CS7,smh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.57,457CS7,it was on the board,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.03.59,450CS7,at you,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.15,457CS7,ok immm dumb whats smh i forgot,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
01.01.1970,13.04.26,458CS7,what did you guys write in the boxes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.04.26,450CS7,shaking my head,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.33,457CS7,ooo kk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.36,450CS7,i didnt write anything in the boxes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.47,450CS7,i dont get this,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.04.51,457CS7,b- changes its color and weight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,13.05.01,457CS7,c-changes weight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,13.05.15,457CS7,"dgreen,yellow,.57",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.38,450CS7,you mean 0.57g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.53,458CS7,thanks mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.55,457CS7,ya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.59,457CS7,yw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.05.59,457CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.06,450CS7,stop typing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.06.12,450CS7,noooooooooooooooooo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,13.06.26,450CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.07.12,457CS7,whats number 2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,13.07.27,457CS7,damn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
01.01.1970,13.19.03,457CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.20.16,458CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,13.22.49,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
