AUTHOR,TEXT,DATE,TIME
419CS1,like the iodine iS iN tha tube and the startch is sourounding iT lOl idk,19.01.2012,08.14.55
TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",19.01.2012,08.15.00
419CS1,iM sleepy -_-,19.01.2012,08.15.19
429CS1,ANOTHER SET?! wtf i quit,19.01.2012,08.15.21
TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",19.01.2012,08.15.24
426CS1,what?,19.01.2012,08.15.42
TUTOR,Discuss the differences between glucose and starch molecules.,19.01.2012,08.15.54
429CS1,lmaoooo what is glucose though?,19.01.2012,08.16.12
419CS1,the differences is.....,19.01.2012,08.16.15
TUTOR,"Thanks for that, 429CS1. Can anyone respond?",19.01.2012,08.16.16
419CS1,IDK,19.01.2012,08.16.19
426CS1,oh i know,19.01.2012,08.16.26
429CS1,is she bieng smart ?,19.01.2012,08.16.29
429CS1,lmao i think she hates me<3,19.01.2012,08.16.45
TUTOR,We'll use the tube weight as an indicator for water movement.,19.01.2012,08.16.47
TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,19.01.2012,08.16.51
419CS1,how come sage never says iM doing good ; (,19.01.2012,08.16.55
TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",19.01.2012,08.17.05
426CS1,glucos is suger starch is like the skin of the potatoe,19.01.2012,08.17.13
TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",19.01.2012,08.17.29
429CS1,so glucose went into the water?,19.01.2012,08.17.42
426CS1,idk that part,19.01.2012,08.17.52
419CS1,yea iThink iT did,19.01.2012,08.18.09
429CS1,the water absorbed the glucose that was in the thing,19.01.2012,08.18.11
419CS1,"""iN the thing"" -_- lOl",19.01.2012,08.18.31
426CS1,i agree,19.01.2012,08.18.31
429CS1,lololololol i didnt know what to call it (=,19.01.2012,08.18.56
419CS1,lOl,19.01.2012,08.19.14
426CS1,i called the tube a squish thing,19.01.2012,08.19.15
419CS1,lOl,19.01.2012,08.19.21
426CS1,soooo what else??,19.01.2012,08.19.38
419CS1,yea sage can we move on,19.01.2012,08.19.49
TUTOR,"Thanks for keeping the discussion going, 419CS1. :-)",19.01.2012,08.19.53
419CS1,no problem :),19.01.2012,08.20.11
429CS1,alright this is wierd . our tutor just gave marcus a smiley face ! (she wants the D lmfao),19.01.2012,08.20.35
419CS1,cthuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,19.01.2012,08.20.48
426CS1,haha ok so inside the to is sugar outdie of it is water`,19.01.2012,08.20.54
TUTOR,"Okay, everyone - let's move on to the last experiment.",19.01.2012,08.21.06
429CS1,FINALLY,19.01.2012,08.21.14
419CS1,YES!,19.01.2012,08.21.14
426CS1,alrite,19.01.2012,08.21.27
TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",19.01.2012,08.21.27
426CS1,okey,19.01.2012,08.21.38
TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",19.01.2012,08.21.51
419CS1,she iS giving us the same tha thing but she keeps reversing them lOl,19.01.2012,08.21.57
429CS1,why does marcus get to be purple and im stupid red ;( swole,19.01.2012,08.22.01
419CS1,on Mine ur purple nd im red,19.01.2012,08.22.23
429CS1,IM PURPLEEE<3 YAYYYYYYY,19.01.2012,08.22.42
426CS1,i'm red marcus is blue miranda is purple,19.01.2012,08.22.44
419CS1,BLUE! :)))))),19.01.2012,08.23.00
429CS1,tutor person is blue on mine !,19.01.2012,08.23.20
426CS1,can we get to the experiment,19.01.2012,08.23.20
TUTOR,Great! Can someone respond to 426CS1?,19.01.2012,08.23.24
429CS1,lmaoo,19.01.2012,08.23.27
419CS1,yo this tutor makes no sense,19.01.2012,08.23.56
426CS1,i think the stip will be a drak green,19.01.2012,08.24.06
TUTOR,"Please continue, 426CS1.",19.01.2012,08.24.09
429CS1,i only have one picture ? wahhhhhhhh-___-,19.01.2012,08.24.12
426CS1,strip*,19.01.2012,08.24.14
429CS1,ohhhhhh yeah i agree with candace,19.01.2012,08.24.34
419CS1,yea ionly have 1 pic,19.01.2012,08.24.34
TUTOR,:-),19.01.2012,08.24.37
426CS1,same,19.01.2012,08.24.41
419CS1,why r u smiling,19.01.2012,08.24.47
426CS1,who ?,19.01.2012,08.24.56
429CS1,lmao this isnt a laughing matter,19.01.2012,08.25.01
426CS1,i know ! did you read my prediction?,19.01.2012,08.25.17
TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",19.01.2012,08.25.29
429CS1,yeah candace i think we should write it,19.01.2012,08.25.48
419CS1,iDidnt kno we had ta use our worksheets 4 this -_-,19.01.2012,08.25.49
TUTOR,"All right, we're wrapping up. Thanks, team!",19.01.2012,08.26.13
426CS1,i remember at the last minute,19.01.2012,08.26.19
419CS1,hold up wats the prediction,19.01.2012,08.26.27
426CS1,that the strip will be a very dark green,19.01.2012,08.26.41
429CS1,light green on the inside and dark green on the outside ? i think itll wiegh .60,19.01.2012,08.27.01
419CS1,wat about strip color outside,19.01.2012,08.27.17
426CS1,i agree with miranda,19.01.2012,08.27.29
419CS1,wat about strip color outside lOl,19.01.2012,08.28.16
419CS1,o nvm lmao iFell slow,19.01.2012,08.28.26
426CS1,it will be dark green,19.01.2012,08.28.26
429CS1,the work sheet says : strip color inside : light green strip color outside: Dark green Wieght : .60,19.01.2012,08.28.36
429CS1,#EpicWin,19.01.2012,08.28.43
419CS1,*feel,19.01.2012,08.28.44
426CS1,failure,19.01.2012,08.28.52
429CS1,byeeeeee<3,19.01.2012,08.29.01
426CS1,byes,19.01.2012,08.29.18
419CS1,leaves the room,19.01.2012,08.40.54
429CS1,leaves the room,19.01.2012,08.41.40
426CS1,leaves the room,19.01.2012,08.42.27
TUTOR,leaves the room,19.01.2012,08.50.01
