AUTHOR,TEXT,DATE,TIME
423CS1,ur mad,19.01.2012,08.19.53
409CS1,what did i do and yes i an,19.01.2012,08.20.04
409CS1,,19.01.2012,08.20.04
409CS1,am,19.01.2012,08.20.06
409CS1,thank you tutor man,19.01.2012,08.20.31
423CS1,hahahahahah,19.01.2012,08.20.38
413CS1,ok...,19.01.2012,08.20.38
409CS1,?,19.01.2012,08.20.46
423CS1,what,19.01.2012,08.20.54
TUTOR,"Okay, everyone - let's move on to the last experiment.",19.01.2012,08.21.04
409CS1,aight,19.01.2012,08.21.09
423CS1,okayyyyy,19.01.2012,08.21.22
TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",19.01.2012,08.21.25
TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",19.01.2012,08.21.49
409CS1,the strip will change colors and become lighter or heavier,19.01.2012,08.22.21
423CS1,i dont knoww lol,19.01.2012,08.22.49
TUTOR,can you say more about the color changes?,19.01.2012,08.22.50
413CS1,the water will asorb glucose from the outside,19.01.2012,08.23.01
409CS1,the color will change to either yellow or green from what we have llearned,19.01.2012,08.23.23
423CS1,it turns yellow when theres gluclose in it,19.01.2012,08.23.52
409CS1,wldnt it b green,19.01.2012,08.24.14
TUTOR,does everyone agree with 423CS1?,19.01.2012,08.24.16
413CS1,yellow with no glucose and green with glucose,19.01.2012,08.24.29
409CS1,nope shldnt it b green remeber what we just did,19.01.2012,08.24.34
423CS1,whaaaaaaaaaat,19.01.2012,08.25.10
TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",19.01.2012,08.25.27
409CS1,the strip wouldnt it turn green?,19.01.2012,08.25.39
TUTOR,"ok, so why does the water absorb the glucose? what happens with molecule movement?",19.01.2012,08.25.41
423CS1,ohhhhhhhhh i get ittttttt,19.01.2012,08.26.01
TUTOR,"All right, we're wrapping up. Thanks, team!",19.01.2012,08.26.11
409CS1,so are they both green,19.01.2012,08.26.32
413CS1,ya sure,19.01.2012,08.27.16
423CS1,no,19.01.2012,08.27.16
409CS1,y not,19.01.2012,08.27.31
413CS1,,19.01.2012,08.27.47
413CS1,,19.01.2012,08.27.50
423CS1,becausseee the one with the glucose in it is green,19.01.2012,08.27.51
423CS1,and when itss out of the solution its yellow',19.01.2012,08.28.06
409CS1,true but y,19.01.2012,08.28.07
409CS1,ok that makes sense now haha,19.01.2012,08.28.25
413CS1,yeah and the one with none is yellow,19.01.2012,08.28.37
409CS1,yes,19.01.2012,08.28.47
423CS1,yayyyyyyy im smart,19.01.2012,08.28.48
409CS1,sure lets go with that,19.01.2012,08.28.58
423CS1,shuttupppp lol,19.01.2012,08.29.29
409CS1,lol sure byeee,19.01.2012,08.29.41
423CS1,ignorantt,19.01.2012,08.29.51
423CS1,leaves the room,19.01.2012,08.33.07
413CS1,leaves the room,19.01.2012,08.41.33
409CS1,leaves the room,19.01.2012,08.41.48
TUTOR,leaves the room,19.01.2012,08.49.59
